N	3gram	Propp_Isto_5	Otkroven
1	для того чтобы	3	3
2	а не в	1	2
3	это было бы	1	2
4	что у него	1	2
5	не может быть	3	2
6	но и в	2	2
7	с тем что	1	2
8	все еще не	1	1
9	не в том	1	1
10	потому что в	1	1
11	в самом деле	1	1
12	и все эти	1	1
13	он не только	1	1
14	о том как	2	1
15	во всяком случае	1	1
16	сам по себе	1	1
17	само по себе	1	1
18	после того как	3	1
19	о том что	4	1
20	с которой связан	1	1
21	в том что	2	1
22	а иногда и	1	1
23	на то что	2	1
24	что есть на	1	1
25	не в ней	1	1
26	друг с другом	2	1
27	не потому ли	2	1
28	как и в	2	1
29	прежде всего и	1	1
30	в одно время	1	1
31	все что есть	1	1
