N	2gram	Losev_Prob_2	Sovremen
1	не может	13	17
2	может быть	18	12
3	точки зрения	2	12
4	таким образом	4	11
5	мы не	7	9
6	в каждом	1	8
7	в этом	17	7
8	не можем	4	7
9	и в	35	7
10	каждый раз	3	6
11	мы можем	6	6
12	ничего не	10	6
13	как и	5	6
14	и не	37	6
15	в результате	4	6
16	и наконец	3	5
17	все эти	7	5
18	что же	9	5
19	каждом отдельном	1	5
20	прежде всего	11	5
21	в условиях	2	5
22	в дальнейшем	1	4
23	в зависимости	2	4
24	вопрос о	3	4
25	зависимости от	2	4
26	нет и	3	4
27	мы должны	3	4
28	в том	12	4
29	в целом	3	4
30	если мы	9	4
31	же это	5	4
32	так как	7	4
33	не только	24	4
34	как бы	4	4
35	вместе с	2	4
36	это не	1	4
37	их в	4	4
38	а в	4	4
39	ли мы	2	3
40	он может	1	3
41	с самого	3	3
42	то же	5	3
43	ясно что	8	3
44	всякой науки	1	3
45	но мы	3	3
46	между собой	5	3
47	может не	1	3
48	его развития	1	3
49	отнюдь не	5	3
50	все же	8	3
51	еще не	10	3
52	но в	6	3
53	мы получаем	1	3
54	в этой	9	3
55	в себе	5	3
56	уже в	3	3
57	в наших	1	3
58	что она	4	3
59	ведь это	2	3
60	в одном	1	3
61	в конце	7	3
62	в нем	1	3
63	при этом	3	3
64	на этой	2	3
65	и мы	2	3
66	было бы	8	3
67	само собою	1	3
68	а не	10	3
69	и потому	1	3
70	этим мы	2	3
71	не в	2	3
72	все это	4	3
73	самого начала	2	3
74	при таком	2	3
75	одна из	3	3
76	для нас	9	3
77	и все	5	3
78	в системе	2	3
79	у нас	18	3
80	поэтому мы	1	3
81	состоит из	2	3
82	и к	3	3
83	когда мы	6	3
84	отличается от	2	3
85	к действию	1	3
86	в области	6	3
87	как мы	5	2
88	и есть	4	2
89	тем же	1	2
90	роль в	2	2
91	все те	1	2
92	той же	2	2
93	времени и	1	2
94	в и	2	2
95	каждого из	1	2
96	на этом	1	2
97	и даже	11	2
98	говорить о	10	2
99	говорим о	3	2
100	настоящее время	16	2
101	и что	13	2
102	и во	1	2
103	самом деле	4	2
104	говорить об	3	2
105	в его	7	2
106	и будет	1	2
107	ясного и	1	2
108	может иметь	2	2
109	каждая из	1	2
110	с этим	5	2
111	дает нам	1	2
112	быть и	2	2
113	только один	3	2
114	в самом	5	2
115	не будем	4	2
116	что это	1	2
117	в нашем	3	2
118	из этих	3	2
119	тот или	5	2
120	с одной	5	2
121	ни одна	1	2
122	уже не	8	2
123	то и	4	2
124	так сказать	1	2
125	в виде	6	2
126	тем не	12	2
127	который как	1	2
128	всяком случае	10	2
129	теперь необходимо	1	2
130	и по	3	2
131	но все	2	2
132	то ни	3	2
133	что все	6	2
134	значение в	4	2
135	с общим	1	2
136	или иной	5	2
137	а на	1	2
138	которой он	4	2
139	как угодно	3	2
140	такой же	1	2
141	что такое	18	2
142	всего только	1	2
143	из которых	2	2
144	такого рода	15	2
145	это за	2	2
146	же мы	2	2
147	не менее	13	2
148	о значении	3	2
149	можно назвать	1	2
150	и именно	1	2
151	не знаем	3	2
152	в настоящее	16	2
153	этих двух	1	2
154	в науке	3	2
155	еще более	2	2
156	тот же	4	2
157	представлять себе	1	2
158	такие же	1	2
159	совершенно не	2	2
160	не могут	4	2
