N	3gram	Bakhtin_sl_1	formyVre
1	и т п	23	11
2	с точки зрения	8	8
3	для того чтобы	1	7
4	не только в	2	5
5	то же время	12	4
6	в то же	12	4
7	как мы уже	2	4
8	друг с другом	2	4
9	имеем в виду	1	3
10	мы уже сказали	2	3
11	и в особенности	4	3
12	и в то	5	3
13	но и в	1	3
14	точки зрения не	1	3
15	и в этом	2	3
16	во всех этих	1	3
17	и прежде всего	1	3
18	в большинстве случаев	6	3
19	в том что	1	3
20	и т д	5	3
21	а следовательно и	1	2
22	прежде всего в	1	2
23	равно как и	1	2
24	в этом случае	2	2
25	до сих пор	2	2
26	и во всех	2	2
27	в последнем счете	1	2
28	может быть и	1	2
29	лежит в основе	1	2
30	в истории романа	1	2
31	из самых основных	1	2
32	в этом отношении	1	2
33	у него есть	1	2
34	на протяжении всего	1	2
35	мы имеем в	1	2
36	жизни но и	1	1
37	себе место в	1	1
38	и связанных с	2	1
39	не может не	5	1
40	такие слова и	1	1
41	в той или	9	1
42	и в сущности	2	1
43	то есть как	3	1
44	т п на	1	1
45	не значит конечно	1	1
46	жанров но и	1	1
47	то есть не	1	1
48	и др все	1	1
49	а вовсе не	2	1
50	значит конечно что	1	1
51	в скрытой форме	1	1
52	слова связанные с	1	1
53	там где они	1	1
54	и так сказать	1	1
55	оно не может	1	1
56	с установкой на	1	1
57	роман в письмах	1	1
58	романа у стерна	2	1
59	находится в состоянии	1	1
60	в отличие от	1	1
61	в основе их	2	1
62	и др и	2	1
63	с ним в	1	1
64	точном смысле слова	1	1
65	но в этом	1	1
66	по аналогии с	1	1
67	себе самому и	1	1
68	не является конечно	1	1
69	в литературе и	1	1
70	в романе в	3	1
71	рано или поздно	1	1
72	со всех сторон	1	1
73	с этой точки	1	1
74	на его стиль	1	1
75	одно и то	2	1
76	то время как	2	1
77	в особенности в	1	1
78	всех этих форм	1	1
79	в романе на	2	1
80	как и в	1	1
81	в данном случае	3	1
82	каждый из этих	1	1
83	о которых мы	1	1
84	в них как	2	1
85	с одной стороны	4	1
86	всех этих формах	1	1
87	и все его	1	1
88	так и на	1	1
89	и то же	2	1
90	а также и	1	1
91	имеют громадное значение	1	1
92	обстоит дело с	1	1
93	для своего выражения	1	1
94	этих форм в	1	1
95	у гриммельсхаузена у	1	1
96	это не значит	1	1
97	эта точка зрения	1	1
98	в особенности на	2	1
99	с другой стороны	4	1
100	связанных с ним	1	1
101	и самый язык	1	1
102	не может быть	1	1
103	в широком смысле	2	1
104	но в то	4	1
105	связанные с этой	1	1
106	здесь как бы	1	1
107	этой точки зрения	1	1
108	почти вовсе не	3	1
109	настоящим и прошлым	1	1
110	во всех своих	1	1
111	то есть в	1	1
112	не был бы	1	1
113	в то время	2	1
114	не исчерпываются все	1	1
115	его жизни и	1	1
116	литературных форм и	1	1
117	в свою очередь	2	1
118	и в них	1	1
119	о том что	1	1
120	в одном из	1	1
121	в котором в	1	1
122	с самого начала	1	1
123	в первые ряды	1	1
124	как бы ни	2	1
125	себя в них	1	1
126	выходит за пределы	3	1
127	т п в	1	1
128	не выходит за	3	1
129	можно сказать что	1	1
130	существенную роль в	1	1
131	в основе этой	1	1
132	за тридевять земель	1	1
133	в другом случае	2	1
134	у рабле очень	1	1
135	уже не только	1	1
136	к тому что	2	1
137	и почти вовсе	1	1
138	между словом и	1	1
139	как мы видели	1	1
140	той или иной	9	1
141	в точном смысле	1	1
142	и в другом	2	1
