N	3gram	Losev_Dial_4	EvropaiE
1	с точки зрения	9	16
2	в то же	6	15
3	то же время	6	14
4	в отношении к	1	12
5	и в то	2	8
6	в том что	9	6
7	с этой точки	2	5
8	этой точки зрения	2	5
9	для того чтобы	5	5
10	не только в	1	4
11	и в этом	3	4
12	само по себе	4	4
13	той или иной	1	4
14	в этом смысле	4	3
15	же как и	1	3
16	хотя бы и	2	3
17	ту или иную	2	3
18	как бы ни	1	3
19	и прежде всего	1	3
20	можно сказать что	1	3
21	не является ли	1	3
22	сказать что в	1	2
23	прежде всего в	1	2
24	не говоря уже	3	2
25	отношении к мировому	1	2
26	из того что	1	2
27	рано или поздно	1	2
28	и в частности	2	2
29	в данном случае	1	2
30	но в то	2	2
31	по сравнению с	2	2
32	по общему правилу	1	2
33	с другой стороны	1	2
34	не может быть	6	2
35	по себе не	1	2
36	в свою очередь	2	2
37	мы можем сказать	1	2
38	хотя бы в	1	2
39	на то что	3	2
40	друг от друга	1	2
41	и не имеет	1	2
42	в каком же	1	1
43	в себе поэтому	1	1
44	не может не	1	1
45	не входя в	1	1
46	что в этом	1	1
47	из всего этого	1	1
48	другой стороны в	1	1
49	дело в том	1	1
50	т е прежде	1	1
51	но если так	2	1
52	и не только	1	1
53	и не в	1	1
54	если так то	2	1
55	совершенно очевидно что	1	1
56	в лучшем случае	1	1
57	говоря уже о	3	1
58	и то и	1	1
59	рассматривать с точки	1	1
60	том случае если	1	1
61	то и другое	2	1
62	есть то что	5	1
63	в отличие от	1	1
64	и та же	1	1
65	и чем больше	1	1
66	е прежде всего	1	1
67	с тем что	1	1
68	ее в себе	1	1
69	качестве одного из	1	1
70	то или иное	3	1
71	говорить не о	1	1
72	в силу этого	1	1
73	может быть установлена	1	1
74	не имеет никаких	1	1
75	принимая во внимание	1	1
76	не нужно думать	1	1
77	во внимание что	1	1
78	нужно думать что	1	1
79	здесь говорить о	1	1
80	в том случае	1	1
81	в качестве одного	1	1
82	в связи с	1	1
83	так как мы	1	1
84	мы отнюдь не	1	1
85	одна и та	1	1
86	как одно из	1	1
87	в каком смысле	1	1
88	указать на то	1	1
89	это должно быть	1	1
90	не имеет значения	1	1
91	вовсе не в	2	1
92	но также и	1	1
93	та или иная	2	1
94	связи с этим	1	1
95	это значит что	7	1
96	можем сказать что	1	1
97	и тем более	4	1
98	речь идет о	1	1
99	не более как	1	1
100	что оно не	2	1
101	тех или иных	1	1
102	т е не	2	1
103	а именно в	1	1
104	в себе не	1	1
105	только тогда когда	4	1
106	поскольку речь идет	1	1
107	и т д	15	1
