N	3gram	Berdyaev_O_1	Problema
1	не может быть	2	11
2	и прежде всего	1	5
3	в самом деле	1	3
4	в иных случаях	1	3
5	в том что	1	3
6	в строгом смысле	1	2
7	но и в	2	2
8	и не может	1	2
9	не могут быть	2	2
10	для того чтобы	3	2
11	в этом отношении	1	2
12	хотя и не	1	1
13	а вовсе не	1	1
14	о том как	1	1
15	он необходим для	1	1
16	с тем что	2	1
17	но никогда не	1	1
18	на то что	1	1
19	а иногда и	1	1
20	и не в	1	1
21	все что есть	1	1
22	и в его	1	1
23	смысле этого слова	1	1
24	и в этом	2	1
25	по сравнению с	1	1
26	не в том	1	1
27	прежде всего и	1	1
28	и в том	1	1
29	строгом смысле этого	1	1
30	одна из сторон	1	1
31	художественного творчества это	1	1
32	должно быть ясно	1	1
33	то что в	1	1
34	в нем нет	3	1
35	и есть та	1	1
36	и в самом	1	1
37	ли может быть	1	1
38	как и в	1	1
39	ничто не может	1	1
40	ничего нет кроме	1	1
41	из сторон его	1	1
