N	3gram	Tiupa_Hudo_1	PoTuStor
1	с точки зрения	3	6
2	по ту сторону	1	4
3	в этом смысле	3	3
4	по крайней мере	1	3
5	не может быть	3	3
6	может быть это	1	3
7	можно сказать что	3	3
8	так же как	1	2
9	не могут быть	1	2
10	все то что	1	2
11	о том что	1	2
12	в конечном счете	5	2
13	я и мир	1	1
14	и того же	2	1
15	всех без исключения	3	1
16	мы имеем в	3	1
17	имеем в виду	3	1
18	подобно тому как	1	1
19	одного и того	2	1
20	то же самое	1	1
21	ни в коем	2	1
22	бы то ни	1	1
23	сказать что для	1	1
24	однако в рамках	1	1
25	с этой точки	1	1
26	в коем случае	2	1
27	и со всеми	1	1
28	то ни было	1	1
29	с одной стороны	2	1
30	в связи с	1	1
31	как один из	1	1
32	а с другой	2	1
33	имеем дело с	1	1
34	его за пределы	1	1
35	в том что	7	1
36	этой точки зрения	1	1
37	на наших глазах	2	1
38	это и есть	1	1
39	во внешнем мире	1	1
40	и теперь в	1	1
41	и прежде всего	1	1
42	что иное как	1	1
43	в известной степени	1	1
44	таким образом и	1	1
45	не что иное	1	1
46	быть не может	1	1
47	для того чтобы	2	1
48	на первый взгляд	1	1
49	обратим внимание на	1	1
50	таким образом с	1	1
51	я и его	4	1
52	той или иной	4	1
