N	4gram	Tiupa_Lite_3	DiskursI
1	в то же время	7	3
2	может быть определена как	1	2
3	с одной стороны и	2	2
4	в том числе и	2	2
5	не говоря уже о	3	2
6	взаимодействия трех говорящего автора	1	1
7	же самое можно сказать	1	1
8	герой в эстетической деятельности	1	1
9	можно сказать и о	1	1
10	едва ли не наиболее	1	1
11	справедливо не только по	1	1
12	о чем говорят героя	1	1
13	ком или о чем	1	1
14	другим участникам речевого общения	1	1
15	субъекта объекта и адресата	1	1
16	состоит в том что	1	1
17	только по отношению к	1	1
18	самое можно сказать и	1	1
19	и герой в эстетической	1	1
20	состоит в том чтобы	1	1
21	автор и герой в	1	1
22	то же самое можно	1	1
23	в начале х годов	3	1
24	социального взаимодействия трех говорящего	1	1
25	не только по отношению	1	1
26	того о ком или	1	1
27	о ком или о	1	1
28	или о чем говорят	1	1
29	читателя и того о	1	1
30	к другим участникам речевого	1	1
31	и того о ком	1	1
32	но по сути своей	1	1
33	продукт социального взаимодействия трех	1	1
