N	3gram	Medvedev_F_1	Komedia
1	в том что	1	5
2	вместе с тем	1	4
3	по отношению к	4	3
4	в том числе	1	3
5	так или иначе	1	3
6	в связи с	2	3
7	то же время	8	3
8	до тех пор	1	3
9	в то же	8	3
10	не говоря уже	1	2
11	в этом смысле	1	2
12	до сих пор	6	2
13	говоря уже о	1	2
14	в той же	1	2
15	в отличие от	1	2
16	бы то ни	3	2
17	в это время	1	2
18	то ни было	1	2
19	с одной стороны	4	2
20	в самом начале	1	2
21	во всяком случае	4	2
22	и т п	4	2
23	к тому что	1	2
24	что и в	1	2
25	ко времени появления	1	1
26	и здесь нет	1	1
27	сводится к тому	2	1
28	однако едва ли	1	1
29	с этим же	1	1
30	как и во	1	1
31	каждой из них	1	1
32	так и не	1	1
33	с точки зрения	13	1
34	и во всех	1	1
35	и в то	1	1
36	с самого начала	1	1
37	но и в	1	1
38	том числе и	1	1
39	и не менее	3	1
40	в чем же	1	1
41	по сравнению с	1	1
42	тот или другой	1	1
43	так и на	1	1
44	в целом ряде	2	1
45	с другой стороны	1	1
46	и в том	1	1
47	вместо того чтобы	1	1
48	не может быть	5	1
49	того или иного	2	1
50	более или менее	6	1
51	и в свою	1	1
52	так и в	4	1
53	в свою очередь	6	1
54	связи с этим	2	1
55	было ясно что	1	1
56	хотя бы в	1	1
57	при ознакомлении с	1	1
58	но все же	1	1
59	именно в эту	1	1
60	как мы знаем	1	1
61	друг от друга	2	1
62	но все эти	1	1
63	в большинстве случаев	2	1
64	в общественном сознании	1	1
65	концы с концами	1	1
66	тем не менее	1	1
67	независимо друг от	1	1
68	в пределах одного	1	1
69	происходит и в	1	1
70	вслед за этим	1	1
71	как мы видели	2	1
72	может быть более	1	1
