N	3gram	Nazirov_Vr_1	Problema
1	не может быть	2	11
2	с точки зрения	2	6
3	в высшей степени	1	5
4	с другой стороны	1	4
5	в этом смысле	1	3
6	то же время	4	3
7	в том что	2	3
8	в то же	4	3
9	тем не менее	1	3
10	в том же	1	2
11	на первый план	1	2
12	и не может	1	2
13	и в то	1	2
14	в этом отношении	1	2
15	а между тем	1	1
16	его в том	1	1
17	в свою очередь	1	1
18	далеко не все	1	1
19	о том как	1	1
20	имеется в виду	1	1
21	а следовательно и	1	1
22	до сих пор	1	1
23	более того в	1	1
24	не было бы	1	1
25	на то что	1	1
26	может быть и	1	1
27	но в то	2	1
28	и в этом	1	1
29	в связи с	3	1
30	равно как и	1	1
31	в то время	1	1
32	его отношение к	1	1
33	это и есть	1	1
34	всего то что	1	1
35	и в самом	1	1
36	к нему с	1	1
37	к вопросу о	1	1
