N	2gram	Medvedev_I_1	Myshleni
1	и в	1	28
2	в этом	2	27
3	того что	1	24
4	что в	2	17
5	и не	2	11
6	по отношению	1	10
7	понятий и	1	10
8	того чтобы	1	10
9	отношению к	1	10
10	никогда не	1	8
11	тем что	1	8
12	для того	1	8
13	того же	1	7
14	он не	2	7
15	если бы	1	7
16	для него	1	6
17	так и	1	6
18	я не	1	4
19	что при	1	4
20	очевидно что	1	3
21	от этого	1	3
22	а по	1	3
23	первую очередь	1	3
24	в них	1	3
25	в основе	1	3
26	в первую	1	3
27	в целом	1	3
28	бы в	1	3
29	все эти	1	2
30	на котором	1	2
31	значительной мере	1	2
32	он с	1	2
33	в значительной	1	2
34	с другой	1	2
35	и др	1	2
36	по существу	1	2
37	как только	1	2
38	все это	1	2
39	но когда	1	2
40	только что	1	2
41	а в	1	2
42	другой стороны	1	2
43	не остается	1	1
44	тех же	1	1
45	бы что	2	1
46	нам в	1	1
47	и тот	1	1
48	и еще	1	1
49	нее и	1	1
50	и с	3	1
51	это было	1	1
52	этим и	1	1
53	и без	1	1
54	оказывается для	1	1
55	и очень	1	1
56	а для	1	1
57	есть только	1	1
58	и о	1	1
59	когда его	1	1
60	утверждает что	1	1
61	то и	1	1
62	бы все	1	1
63	в руки	1	1
64	а с	1	1
65	факты и	1	1
66	самого себя	2	1
67	должен быть	2	1
