N	2gram	Vinokur_Ku_1	Literetu
1	не только	10	24
2	при этом	6	19
3	в качестве	7	17
4	но и	6	17
5	в том	30	16
6	а не	8	16
7	в частности	4	15
8	том что	21	14
9	в году	1	13
10	тогда как	2	13
11	может быть	13	13
12	и не	12	12
13	в этом	14	12
14	в своем	3	11
15	состоит в	3	11
16	своего рода	1	11
17	прежде всего	9	11
18	то что	9	10
19	или иначе	2	9
20	в целом	4	8
21	так или	2	8
22	не в	11	8
23	и в	24	8
24	только в	11	8
25	как это	3	8
26	я и	1	7
27	я не	2	7
28	как бы	7	7
29	в себе	3	7
30	не менее	7	7
31	в его	12	7
32	уже не	8	7
33	в рамках	4	6
34	как и	2	6
35	точки зрения	14	6
36	и сам	1	6
37	того что	9	6
38	связи с	7	6
39	в жизни	1	6
40	себя в	1	6
41	xix века	5	6
42	одним из	2	5
43	то же	8	5
44	отличие от	1	5
45	как в	4	5
46	не столько	2	5
47	в отличие	1	5
48	в то	2	5
49	для себя	1	5
50	казалось бы	3	5
51	а также	1	5
52	же время	2	5
53	в конечном	1	5
54	же в	4	5
55	что он	6	5
56	уже в	3	5
57	не может	7	5
58	в данном	4	5
59	с этой	2	5
60	я в	1	5
61	с его	4	5
62	тем самым	4	5
63	в своей	2	4
64	еще не	5	4
65	столь же	1	4
66	но не	5	4
67	в этой	3	4
68	все же	12	4
69	всего лишь	1	4
70	по преимуществу	2	4
71	в случае	1	4
72	в силу	10	4
73	лишь в	2	4
74	в чужом	1	4
75	для этого	3	4
76	и его	5	4
77	никогда не	2	4
78	так и	7	4
79	и тем	2	4
80	из них	4	4
81	в конце	1	4
82	как раз	8	4
83	в связи	3	4
84	со стороны	4	4
85	это не	7	4
86	культуры в	1	4
87	в своих	1	4
88	например в	5	3
89	в сфере	1	3
90	тех же	1	3
91	и есть	2	3
92	исходит из	1	3
93	также и	2	3
94	самого себя	1	3
95	что его	2	3
96	по отношению	8	3
97	субъекта и	1	3
98	в самом	10	3
99	бы не	1	3
100	с их	3	3
101	таким образом	12	3
102	той же	3	3
103	его в	1	3
104	далеко не	1	3
105	русской культуры	1	3
106	несмотря на	3	3
107	не мог	2	3
108	в их	3	3
109	но в	2	3
110	том же	2	3
111	что ему	1	3
112	дело в	1	3
113	одна из	1	3
114	в области	7	3
115	к себе	4	3
116	ли не	3	3
117	в виду	5	3
118	в пределах	4	3
119	по аналогии	1	3
120	одного из	1	3
121	сводится к	3	3
122	нуждается в	3	3
123	один из	4	3
