N	3gram	Medvedev_U_1	VerxiiNi
1	с одной стороны	1	7
2	более или менее	1	5
3	до сих пор	2	5
4	по крайней мере	2	5
5	друг с другом	1	5
6	так или иначе	1	3
7	в конце концов	2	3
8	в том что	2	3
9	то же самое	2	2
10	в этом отношении	2	2
11	в значительной мере	1	2
12	то ни было	3	2
13	бы то ни	3	2
14	то же время	3	2
15	можно сказать что	1	2
16	на то что	1	2
17	в то же	3	2
18	а между тем	2	1
19	каждом шагу и	1	1
20	в широком смысле	1	1
21	иначе связанные с	1	1
22	с другом не	1	1
23	имеем в виду	1	1
24	в самом деле	2	1
25	другом не связанных	1	1
26	и в то	1	1
27	в первую очередь	1	1
28	с тем что	1	1
29	на каждом шагу	2	1
30	которые могли бы	1	1
31	в этой области	3	1
32	в данном случае	1	1
33	и т.д в	1	1
34	но в то	1	1
35	или иначе связанные	1	1
36	или по крайней	1	1
37	и в этой	2	1
38	не в том	1	1
39	с другой стороны	3	1
40	не может быть	4	1
41	но по существу	1	1
42	мы имеем в	1	1
43	что мы можем	1	1
44	может быть в	1	1
