N	2gram	Vygotskiy__5	Sotsiolo
1	все это	2	7
2	в этом	25	5
3	в том	18	5
4	для нас	1	3
5	более чем	1	3
6	не только	16	3
7	как же	1	3
8	в его	11	3
9	и в	16	3
10	не в	6	3
11	и только	1	3
12	только в	10	2
13	может быть	9	2
14	и что	12	2
15	в результате	4	2
16	это и	3	2
17	главным образом	1	2
18	то же	8	2
19	нашей науки	1	2
20	должна быть	5	2
21	было бы	10	2
22	и заключается	1	2
23	таким образом	19	2
24	но и	6	2
25	как будто	2	2
26	тем более	4	2
27	еще не	4	2
28	то что	26	2
29	или даже	1	2
30	за пределы	4	2
31	по отношению	12	2
32	в частности	3	2
33	к которому	4	2
34	отношению к	12	2
35	очевидно что	2	2
36	по существу	3	2
37	как только	1	2
38	в конце	1	2
39	что в	16	2
40	как бы	5	2
41	в смысле	3	2
42	том что	15	2
43	дело не	1	2
44	в систему	1	1
45	и не	12	1
46	развития по	1	1
47	эти вопросы	1	1
48	в область	2	1
49	кто не	1	1
50	свойств и	1	1
51	и есть	7	1
52	более не	1	1
53	в этой	6	1
54	столь же	2	1
55	для изучения	1	1
56	в процессе	13	1
57	в своей	2	1
58	бы в	4	1
59	может не	1	1
60	еще и	3	1
61	по себе	7	1
62	все эти	4	1
63	в заключение	1	1
64	только то	1	1
65	лучшем случае	4	1
66	представить себе	1	1
67	и его	3	1
68	не дает	2	1
69	а между	1	1
70	в целом	4	1
71	влияет на	5	1
72	с другой	4	1
73	это как	1	1
74	их друг	1	1
75	в сущности	13	1
76	связи с	3	1
77	от друга	4	1
78	может означать	1	1
79	что она	2	1
80	в них	2	1
81	в связи	1	1
82	что он	25	1
83	чтобы сделаться	1	1
84	тем же	1	1
85	это происходит	2	1
86	происходит не	1	1
87	представляется нам	1	1
88	что все	6	1
89	не было	1	1
90	в каждом	1	1
91	в лучшем	3	1
92	невозможно никакое	1	1
93	на отдельные	2	1
94	образом в	2	1
95	а с	2	1
96	но не	10	1
97	факта что	2	1
98	потому его	1	1
99	которые предлагает	1	1
100	никак не	3	1
101	этой области	1	1
102	зависит от	4	1
103	подняться на	1	1
104	и более	3	1
105	они ни	1	1
106	но она	1	1
107	основной вопрос	1	1
108	вовсе не	2	1
109	все же	3	1
110	что на	1	1
111	мы думаем	1	1
112	между тем	3	1
113	но как	3	1
114	а в	3	1
115	это значит	5	1
116	теоретической мысли	1	1
117	образования понятий	1	1
118	это не	4	1
119	в то	5	1
120	те же	2	1
121	не меняет	1	1
122	мы должны	8	1
123	между ними	1	1
124	и наконец	1	1
125	для этого	1	1
126	в чем	3	1
127	на первый	1	1
128	это обусловливается	1	1
129	никогда не	5	1
130	в силу	10	1
131	собой не	1	1
132	во всяком	2	1
133	в котором	2	1
134	развития развитие	2	1
135	стоит только	2	1
136	больше того	2	1
137	тому что	5	1
138	благодаря этому	2	1
139	и русская	1	1
140	иначе говоря	1	1
141	и о	1	1
142	же это	1	1
143	в этих	3	1
144	том как	2	1
145	без этого	1	1
146	у него	6	1
147	на определенных	1	1
148	как и	8	1
149	с помощью	10	1
150	не способен	2	1
151	вот в	1	1
152	с ним	5	1
153	место в	1	1
154	мысли в	4	1
155	ни на	2	1
156	и понятие	1	1
157	первый план	1	1
158	на все	5	1
159	есть процесс	2	1
160	как совокупность	2	1
161	один из	1	1
162	из себя	1	1
163	и естествознания	1	1
164	научной мысли	2	1
165	и как	3	1
166	сама по	4	1
167	его в	2	1
168	с одной	3	1
169	о том	8	1
170	на что	1	1
171	или нет	1	1
172	же по	2	1
173	одной стороны	3	1
174	и должны	1	1
175	же самое	4	1
176	и связь	1	1
177	их на	1	1
178	и потому	2	1
179	хотя бы	5	1
180	по необходимости	2	1
181	и по	4	1
182	ничего не	5	1
183	развиваться в	1	1
184	что это	1	1
185	и благодаря	1	1
186	между собой	13	1
187	на основании	2	1
188	на этот	4	1
189	мы не	3	1
190	новые и	1	1
191	не может	18	1
192	а тем	2	1
193	но только	2	1
194	перейти к	3	1
195	система не	1	1
196	даже не	1	1
197	прежде всего	3	1
198	они не	3	1
199	по самому	1	1
200	из понимания	1	1
201	благодаря тому	1	1
202	развития и	11	1
203	всяком случае	1	1
204	он говорит	1	1
205	или не	2	1
206	друг от	4	1
207	тем что	5	1
208	что эти	2	1
209	полагает что	1	1
210	так и	7	1
211	в данном	1	1
212	в виде	1	1
213	именно в	4	1
214	что без	1	1
215	только когда	1	1
216	и будет	1	1
217	это же	1	1
218	только для	2	1
219	перед нами	1	1
220	ни были	1	1
221	в области	12	1
