N	3gram	Tiupa_Hudo_2	PoTuStor
1	с точки зрения	2	6
2	с самого начала	1	4
3	до сих пор	2	3
4	не может быть	3	3
5	можно сказать что	1	3
6	так же как	2	2
7	в самом деле	3	2
8	о том что	7	2
9	в конечном счете	3	2
10	и в этом	2	2
11	не нуждается в	1	2
12	все что угодно	1	1
13	одних и тех	1	1
14	то что я	1	1
15	а иногда и	1	1
16	не следует что	1	1
17	дело в том	1	1
18	подобно тому как	4	1
19	то же самое	2	1
20	что на этом	1	1
21	же как и	1	1
22	бы то ни	1	1
23	в этом отношении	1	1
24	можно было бы	2	1
25	именно то что	1	1
26	только для того	1	1
27	и тех же	1	1
28	в данном случае	2	1
29	с одной стороны	3	1
30	а с другой	1	1
31	имеем дело с	1	1
32	в этом и	2	1
33	в том что	11	1
34	на наших глазах	1	1
35	мы знаем что	1	1
36	на этом пути	1	1
37	в этой плоскости	1	1
38	для того чтобы	3	1
39	к отцу и	1	1
40	как мы знаем	1	1
41	обратим внимание на	1	1
42	той или иной	1	1
