N	2gram	Berdyaev_M_1	Morfolog
1	может быть	30	52
2	и т	1	49
3	не может	28	17
4	в этих	4	16
5	т е	2	16
6	могут быть	2	15
7	с этим	3	14
8	и в	28	13
9	действующих лиц	1	13
10	в этом	20	13
11	так как	3	12
12	и др	1	12
13	мы видим	2	11
14	мы имеем	1	9
15	так и	1	9
16	прежде всего	10	9
17	а не	25	9
18	и не	11	9
19	что и	4	8
20	вопрос о	2	7
21	имеем в	1	7
22	и этим	1	7
23	все же	2	7
24	но если	3	7
25	этот случай	2	6
26	но не	8	6
27	это не	5	6
28	во время	1	6
29	в иное	2	6
30	не могут	5	6
31	в том	6	6
32	а в	4	6
33	п он	1	5
34	мы не	1	5
35	во всех	1	5
36	не все	2	5
37	то что	5	5
38	в образе	1	5
39	не менее	1	5
40	потому что	16	5
41	этот момент	1	5
42	один из	4	5
43	мы увидим	3	5
44	наряду с	1	5
45	как бы	2	5
46	также и	2	4
47	тех же	1	4
48	то это	1	4
49	то мы	1	4
50	если в	1	4
51	как в	2	4
52	и как	2	4
53	не только	29	4
54	на этом	3	4
55	об этом	1	4
56	его в	3	4
57	было бы	10	4
58	вовсе не	1	4
59	как и	5	4
60	точки зрения	4	4
61	ничего не	3	4
62	тем что	4	4
63	по отношению	2	4
64	так же	1	4
65	в иных	3	4
66	на пути	4	4
67	отношению к	2	4
68	что в	10	4
69	начинается с	1	3
70	связана с	2	3
71	самом деле	1	3
72	на самом	1	3
73	момент когда	1	3
74	и для	2	3
75	целый ряд	1	3
76	но в	7	3
77	к чему	2	3
78	в пределах	1	3
79	он должен	3	3
80	и по	4	3
81	прежде чем	2	3
82	входит в	2	3
83	сам он	1	3
84	том что	3	3
85	в то	2	3
86	того чтобы	2	3
87	от того	1	3
88	на нем	1	3
89	с собой	3	3
90	если бы	2	3
91	очень многое	1	3
92	с того	2	3
93	но и	25	3
94	он не	24	3
95	значит что	4	3
96	к нему	7	3
97	и ее	1	3
98	в начале	2	3
99	что они	1	3
100	но это	1	3
101	иное чем	1	3
102	можно назвать	1	3
103	смысле слова	4	2
104	по отдельным	1	2
105	все ли	1	2
106	время как	2	2
107	и к	2	2
108	та же	1	2
109	переходит на	1	2
110	не значит	2	2
111	которое может	1	2
112	можно было	1	2
113	мы уже	1	2
114	это было	1	2
115	в ином	2	2
116	с тем	9	2
117	для него	11	2
118	что такое	1	2
119	что до	1	2
120	нельзя было	1	2
121	и более	1	2
122	и наоборот	1	2
123	все эти	2	2
124	в обоих	1	2
125	не имеет	3	2
126	знать что	1	2
127	элемент в	1	2
128	и его	9	2
129	в каком	2	2
130	к себе	1	2
131	для того	2	2
132	оно не	1	2
133	совершается в	1	2
134	можно сделать	1	2
135	то время	2	2
136	и что	2	2
137	является в	1	2
138	означает что	1	2
139	путь на	1	2
140	о том	2	2
141	может не	2	2
142	ни к	1	2
143	путь к	1	2
144	и только	1	2
145	более сложный	1	2
146	того что	7	2
147	же можно	2	2
148	иных случаях	1	2
149	быть и	1	2
150	хотя бы	3	2
151	этот вопрос	1	2
152	что он	10	2
153	только в	6	2
154	себя в	3	2
155	уже не	4	2
156	его и	1	2
157	никто не	2	2
158	у нее	1	2
159	момент в	2	2
160	или потому	1	2
161	себя и	3	2
162	а на	1	2
163	не знает	4	2
164	сказать что	2	2
165	что мы	1	2
166	в частности	1	2
167	исходит от	1	2
168	самого себя	2	2
169	есть и	3	2
170	не существует	2	2
171	сразу же	1	2
172	от него	4	2
173	или нет	1	2
174	не от	1	2
175	одной из	1	2
176	а во	1	2
177	к этому	2	2
178	к людям	1	1
179	и то	1	1
180	многих отношениях	1	1
181	между двумя	1	1
182	она все	1	1
183	приходит к	1	1
184	он ничего	1	1
185	есть не	4	1
186	она в	1	1
187	ответить на	1	1
188	установить что	1	1
189	имеет смысла	1	1
190	но она	1	1
191	что иное	1	1
192	не вполне	1	1
193	оно есть	1	1
194	и такой	1	1
195	ему в	1	1
196	средство для	1	1
197	в виду	2	1
198	оказывается что	2	1
199	собой в	1	1
200	он был	14	1
201	тем как	1	1
202	одним словом	1	1
203	друг к	1	1
204	мы еще	2	1
205	же она	1	1
206	ответ на	1	1
207	отношение к	4	1
208	отличие от	1	1
209	она есть	1	1
210	которые не	1	1
211	обнаруживается что	1	1
212	более чем	1	1
213	его не	3	1
214	отвечает не	1	1
215	совершенно другой	1	1
216	более и	1	1
217	может найти	1	1
218	говорит что	1	1
219	и наконец	1	1
220	его к	1	1
221	и был	1	1
222	в этот	2	1
223	то нет	4	1
224	духа в	3	1
225	со своей	1	1
226	в которой	6	1
227	к другому	1	1
228	он идет	1	1
229	привести к	4	1
230	каком это	1	1
231	не в	16	1
232	в этой	6	1
233	отношение между	1	1
234	но во	1	1
235	интересно что	1	1
236	во многих	1	1
237	но ведь	1	1
238	уже иное	1	1
239	а вовсе	1	1
240	зрения его	1	1
241	вообще не	2	1
242	что она	1	1
243	слова а	1	1
244	всех этих	1	1
245	и вот	3	1
246	в россии	2	1
247	и этот	4	1
248	лишь с	1	1
249	они идут	1	1
250	в каждом	1	1
251	через все	2	1
252	они должны	1	1
253	к другу	1	1
254	них не	1	1
255	на все	1	1
256	от одного	1	1
257	кажется что	1	1
258	в это	1	1
259	в цели	1	1
260	нет в	4	1
261	к героям	1	1
262	церковь и	2	1
263	оно имеет	1	1
264	чем в	2	1
265	многие другие	1	1
266	увидим как	1	1
267	нисколько не	1	1
268	тайну своей	1	1
269	и их	3	1
270	этой связи	1	1
271	относится ко	1	1
272	в их	4	1
273	не столько	1	1
274	в первый	1	1
275	что я	1	1
276	ее он	1	1
277	и уж	2	1
278	наука о	1	1
279	но он	9	1
280	земле и	1	1
281	все это	6	1
282	имеет свою	1	1
283	не должно	1	1
284	интересен он	1	1
285	бы быть	1	1
286	возвращается к	2	1
287	есть всегда	1	1
288	она не	4	1
289	а от	1	1
290	стоит в	1	1
291	встреча с	1	1
292	что ему	1	1
293	идет на	1	1
294	всего также	1	1
295	то чего	1	1
296	и сама	2	1
297	в основе	2	1
298	как его	1	1
299	есть путь	4	1
300	действительно в	1	1
301	к концу	4	1
302	у кого	1	1
303	же он	1	1
304	свобода в	7	1
305	все с	1	1
306	одним из	2	1
307	у нас	5	1
308	в момент	3	1
309	если он	5	1
310	всего в	2	1
311	или злой	1	1
312	к тому	3	1
313	будет дальше	1	1
314	не есть	9	1
315	все еще	1	1
316	на это	1	1
317	людей в	1	1
318	будет видно	1	1
319	же не	1	1
320	формах ее	1	1
321	на той	1	1
322	и исчезает	1	1
323	приводит к	2	1
324	роль в	1	1
325	ее даже	1	1
326	в глаза	1	1
327	мог бы	4	1
328	еще в	2	1
329	предмет его	1	1
330	и с	3	1
331	связанная с	1	1
332	находится в	1	1
333	иное как	1	1
334	но к	1	1
335	в темную	1	1
336	как они	1	1
337	доходит до	1	1
338	за этим	1	1
339	и всякая	1	1
340	в его	9	1
341	на одном	1	1
342	во всей	1	1
343	в другой	1	1
344	которой все	2	1
345	к ней	4	1
346	все формы	1	1
347	в него	3	1
348	теряет свою	1	1
349	на которой	1	1
350	о его	1	1
351	в новой	1	1
352	характерна для	1	1
353	ли он	1	1
354	и действительно	1	1
355	в эти	1	1
356	же и	1	1
357	к земле	1	1
358	и у	2	1
359	эти и	1	1
360	в нашей	1	1
361	что не	1	1
362	должны привести	1	1
363	и небо	1	1
364	не так	3	1
365	всяком случае	1	1
366	но путь	2	1
367	в одном	1	1
368	ее не	1	1
369	у него	17	1
370	и никогда	1	1
371	лишь один	1	1
372	уже совершенно	1	1
373	вопрос вопрос	1	1
374	дневной свет	1	1
375	он же	1	1
376	быть названа	1	1
377	существенным для	1	1
378	и даже	1	1
379	точек зрения	1	1
380	до сих	2	1
381	была такова	1	1
382	может ли	1	1
383	а именно	1	1
384	человека а	3	1
385	на этот	2	1
386	решить вопрос	2	1
387	не на	1	1
388	как ни	1	1
389	может создать	1	1
390	о чем	2	1
391	для их	1	1
392	этом основании	1	1
393	все более	1	1
394	вступает в	1	1
395	но оно	1	1
396	о себе	3	1
397	в одной	1	1
398	мы опять	1	1
399	по своему	2	1
400	в течение	1	1
401	ведет к	6	1
402	есть на	1	1
403	и там	4	1
404	это его	1	1
405	отношения к	4	1
406	в ряду	1	1
407	это значит	3	1
408	как будто	2	1
409	быть не	2	1
410	о жизни	1	1
411	что же	1	1
412	с этой	4	1
413	сих пор	2	1
414	только для	1	1
415	отношении между	1	1
416	потому не	3	1
417	она может	2	1
