N	3gram	Medvedev_S_1	Problemy
1	то же время	1	9
2	в то же	1	9
3	по отношению к	2	8
4	в том что	2	6
5	и в этом	1	5
6	в конце концов	2	5
7	во всяком случае	1	3
8	в лучшем случае	1	2
9	и в то	1	2
10	только то что	1	2
11	бы он ни	1	2
12	и наконец в	1	1
13	в том и	1	1
14	то же самое	1	1
15	том что это	1	1
16	не было бы	1	1
17	то что в	1	1
18	в противном случае	1	1
19	по крайней мере	1	1
20	в этом не	1	1
21	не в том	2	1
22	поставить и разрешить	1	1
23	но только в	1	1
24	из тех кто	1	1
25	именно в том	1	1
26	а в том	1	1
27	это и есть	1	1
28	выходит за пределы	1	1
29	в настоящее время	1	1
30	они ни были	1	1
31	конечно не в	1	1
32	сама по себе	1	1
33	как бы он	1	1
