N	4gram	Vinokur_Ku_1	VeschiIm
1	не что иное как	1	8
2	д и т д	2	7
3	и т д и	2	7
4	т д и т	2	7
5	одно и то же	1	5
6	в то же время	2	4
7	и в то же	1	3
8	заключается в том что	2	2
9	с этой точки зрения	1	2
10	свидетельствует о том что	1	1
11	а в том что	2	1
12	и вместе с тем	1	1
13	и мы увидим как	1	1
14	не только потому что	1	1
15	в том смысле что	1	1
16	заключается не в том	1	1
17	нуждается в том чтобы	1	1
18	когда речь идет о	1	1
19	что с точки зрения	1	1
20	одного и того же	2	1
21	т д все это	1	1
22	общем смысле этого слова	1	1
23	не имеющая ничего общего	1	1
24	и т д все	1	1
25	еще и потому что	1	1
26	в том что он	3	1
27	себе по крайней мере	1	1
