N	2gram	Vinokur_Vv_1	VeschiIm
1	не есть	4	49
2	т е	38	42
3	не может	13	33
4	не только	21	31
5	может быть	24	29
6	и не	13	28
7	и в	27	26
8	вещи и	1	24
9	то что	17	24
10	и есть	3	23
11	значит что	1	22
12	это значит	1	22
13	и т	43	21
14	т д	37	20
15	а не	3	20
16	не просто	4	18
17	есть только	2	17
18	что она	3	14
19	только в	13	14
20	по себе	9	13
21	и что	4	13
22	того что	12	13
23	и то	5	12
24	есть не	3	12
25	все же	8	12
26	в себя	1	12
27	что это	3	12
28	было бы	5	12
29	и ее	4	12
30	но и	5	12
31	сказать что	5	12
32	а и	1	11
33	таким образом	19	11
34	что же	3	11
35	то же	8	10
36	есть нечто	1	10
37	в ней	3	10
38	не значит	1	10
39	как бы	5	10
40	что такое	10	10
41	потому что	14	10
42	уже не	5	10
43	что мы	2	10
44	бы то	1	9
45	в самом	12	9
46	то ни	1	9
47	и с	2	9
48	вещей и	1	9
49	в том	31	9
50	что не	5	9
51	еще и	3	9
52	прежде всего	8	9
53	ни было	1	9
54	что иное	4	8
55	иное как	5	8
56	в себе	4	8
57	на то	1	8
58	и это	6	8
59	ничего не	2	8
60	она есть	5	8
61	но это	1	8
62	не что	4	8
63	также и	16	7
64	говорить о	3	7
65	в этом	34	7
66	его в	6	7
67	с другими	1	7
68	том что	26	7
69	в то	5	7
70	ли это	1	7
71	что оно	2	7
72	в свете	1	7
73	д и	1	7
74	себя в	2	7
75	так как	13	7
76	как раз	4	7
77	е в	4	7
78	совершенно не	1	7
79	есть и	4	7
80	со стороны	12	6
81	и как	9	6
82	но в	10	6
83	есть ли	1	6
84	бы и	2	6
85	это есть	2	6
86	одно и	1	6
87	точки зрения	7	6
88	но если	3	6
89	по крайней	4	6
90	с ним	1	6
91	ее не	1	6
92	отличается от	1	6
93	можно было	7	6
94	ясно что	9	6
95	должно быть	2	6
96	крайней мере	4	6
97	а если	2	6
98	так что	5	6
99	ни с	2	6
100	для него	1	6
101	но что	3	6
102	когда мы	2	6
103	в результате	3	6
104	жизни и	2	6
105	что в	11	6
106	того же	3	5
107	это и	1	5
108	и до	2	5
109	ведь и	1	5
110	в сущности	3	5
111	в чем	4	5
112	но не	7	5
113	чем же	3	5
114	как к	1	5
115	должна быть	2	5
116	же это	2	5
117	вообще не	3	5
118	что тут	1	5
119	это не	8	5
120	с тем	6	5
121	а есть	1	5
122	не в	8	5
123	тем не	8	5
124	в отношении	2	5
125	не менее	8	5
126	одна из	2	5
127	у нас	2	5
128	для себя	1	5
129	свою очередь	1	5
130	в ее	11	5
131	должны быть	1	5
132	если бы	2	5
133	для этого	3	5
134	другими словами	1	5
135	еще не	4	5
136	или не	1	5
137	она имеет	1	5
138	с этой	4	5
139	и для	4	5
140	из себя	1	5
141	а в	5	5
142	в свою	1	5
143	но тогда	1	4
144	собственном смысле	2	4
145	в и	4	4
146	мы не	2	4
147	так чтобы	3	4
148	то это	3	4
149	в их	11	4
150	во всех	2	4
151	для всякого	1	4
152	нет и	1	4
