N	4gram	Propp_Morf_1	Problema
1	в то время как	3	4
2	и тем не менее	1	3
3	бы то ни было	2	3
4	одно и то же	1	3
5	не имеет ничего общего	1	3
6	то это значит что	1	2
7	в этих случаях не	1	1
8	но это и не	1	1
9	и т д в	2	1
10	но если это так	2	1
11	говорить о том что	1	1
12	указанием на то что	1	1
13	и т д все	1	1
14	друг к другу и	2	1
15	в собственном смысле слова	3	1
16	и т д можно	1	1
17	не может быть и	1	1
18	это не значит что	2	1
19	в том что он	1	1
20	во что бы то	1	1
21	что бы то ни	1	1
22	с теми или другими	1	1
23	бы то ни стало	1	1
24	в этом случае он	1	1
25	если это так то	1	1
26	в тех случаях когда	2	1
