N	2gram	Ircho_Kome_1	VrazhdaK
1	в году	3	18
2	не только	10	9
3	в этом	3	8
4	и в	22	8
5	и что	1	8
6	но и	11	7
7	и все	3	7
8	года в	1	7
9	то что	2	7
10	что в	6	7
11	все же	3	6
12	но в	4	6
13	в нем	4	6
14	как и	9	6
15	в котором	4	6
16	и с	3	6
17	о нем	1	6
18	в начале	3	6
19	и даже	5	6
20	то же	6	5
21	об этом	1	5
22	в то	10	5
23	же время	4	5
24	между тем	5	5
25	у него	3	5
26	и не	8	5
27	г а	1	5
28	х годов	3	4
29	в ней	1	4
30	что он	6	4
31	в истории	5	4
32	целый ряд	1	4
33	при этом	5	4
34	несмотря на	4	4
35	все это	5	4
36	с ним	1	4
37	о том	8	4
38	уже в	5	4
39	может быть	9	4
40	он считал	1	4
41	как бы	1	4
42	в своих	2	4
43	так же	3	4
44	речь идет	3	3
45	одним из	1	3
46	который был	1	3
47	он был	2	3
48	в чем	3	3
49	в своем	1	3
50	и как	3	3
51	в этот	1	3
52	раз в	2	3
53	на то	3	3
54	его в	3	3
55	он не	3	3
56	далеко не	1	3
57	и уже	1	3
58	том что	12	3
59	но он	2	3
60	в русской	1	3
61	и его	8	3
62	человека в	1	3
63	и о	3	3
64	что у	2	3
65	и во	2	3
66	в его	5	3
67	в том	11	3
68	и у	3	3
69	в конце	6	3
70	тем что	4	3
71	эти слова	1	3
72	наряду с	2	3
73	т е	13	3
74	к этому	4	3
75	же как	3	2
76	и он	1	2
77	столь же	2	2
78	ответ на	1	2
79	в эти	2	2
80	отнюдь не	1	2
81	в известном	2	2
82	в той	1	2
83	в этой	7	2
84	что к	2	2
85	в себе	2	2
86	время и	2	2
87	после этого	1	2
88	о которой	1	2
89	нашего времени	1	2
90	таким образом	8	2
91	в мире	1	2
92	в них	3	2
93	а с	1	2
94	мы знаем	2	2
95	не мог	3	2
96	в эту	1	2
97	во время	5	2
98	точки зрения	4	2
99	и ее	3	2
100	место в	3	2
101	не менее	3	2
102	том же	1	2
103	одна из	2	2
104	п в	1	2
105	к себе	1	2
106	его с	1	2
107	на это	1	2
108	и это	1	2
109	же не	1	2
110	в в	4	2
111	так в	4	2
112	еще не	2	2
113	а также	4	2
114	там же	3	2
115	после смерти	3	2
116	по мнению	1	2
117	об их	1	2
118	из них	10	2
119	могли быть	2	2
120	отношение к	3	2
121	как раз	3	2
122	о чем	1	2
123	эти годы	2	2
124	в честь	3	2
125	не может	2	2
126	вместе с	2	2
127	и а	1	2
128	в это	1	2
129	но это	2	2
130	же в	4	2
131	а в	6	2
132	в период	2	2
133	в свою	2	2
134	это в	1	2
135	которых не	1	1
136	широкое распространение	1	1
137	а между	1	1
138	как известно	2	1
139	к людям	2	1
140	можно говорить	1	1
141	ко всем	1	1
142	также и	1	1
143	постепенно в	1	1
144	того же	2	1
145	свидетельствует что	1	1
146	бы назвали	1	1
147	идет о	3	1
148	ему не	1	1
149	ему что	1	1
150	автору этих	1	1
151	едва ли	7	1
152	уже по	1	1
153	в их	4	1
154	по его	1	1
155	из всех	2	1
156	той же	1	1
157	проводить свою	1	1
158	что уже	1	1
159	героя нашего	1	1
160	именно к	1	1
161	совпадает с	1	1
162	говорить о	1	1
163	хуже чем	1	1
164	это отношение	1	1
165	ему в	1	1
166	это время	2	1
167	собой в	1	1
168	одном из	4	1
169	поставил на	1	1
170	служит для	1	1
171	по своему	3	1
172	как правило	3	1
173	совсем не	2	1
174	но не	2	1
175	не все	1	1
176	если в	1	1
177	есть по	1	1
178	в комедии	22	1
179	ничуть не	1	1
180	чтобы потом	1	1
181	что они	4	1
182	к сожалению	2	1
183	как по	2	1
184	независимо от	2	1
185	как в	5	1
186	с этим	1	1
187	для создания	1	1
188	дает нам	1	1
189	для всех	2	1
190	нападает на	1	1
191	себе на	1	1
192	не являются	1	1
193	них он	1	1
194	то в	1	1
195	нему с	1	1
196	поэтому он	1	1
197	в самом	2	1
198	что это	1	1
199	мы получаем	1	1
200	в целом	3	1
201	что же	1	1
202	только два	1	1
203	и и	3	1
204	тому же	6	1
205	как он	1	1
206	начал писать	1	1
207	не могла	1	1
208	да и	3	1
209	от которого	1	1
210	одному из	2	1
211	высшей степени	1	1
212	в первой	2	1
213	содержались в	1	1
214	в силу	2	1
215	сказал что	1	1
216	из него	1	1
217	людей и	1	1
218	однако в	3	1
219	это конечно	1	1
220	конечно в	1	1
221	а их	1	1
222	говорить не	1	1
223	это было	1	1
224	как тот	1	1
225	дома и	1	1
226	следить за	1	1
227	было бы	2	1
228	был очень	1	1
229	в жизни	1	1
230	под своим	1	1
231	в высшей	1	1
232	соответствии с	1	1
233	всю жизнь	1	1
234	которой он	1	1
235	восходят к	2	1
236	года и	1	1
237	такой же	2	1
238	которую он	2	1
239	в этих	1	1
240	разных лиц	1	1
241	можно найти	1	1
242	не последнее	1	1
243	предполагать что	1	1
244	всяком случае	2	1
245	этому же	1	1
246	каким был	1	1
247	его современников	1	1
248	представление о	1	1
249	войне и	1	1
250	тем не	2	1
251	доказывает что	1	1
252	не могли	1	1
253	с такими	1	1
254	времени а	1	1
255	их художественных	1	1
256	на три	1	1
257	вплоть до	1	1
258	но они	1	1
259	это о	1	1
260	без ответа	1	1
261	правда в	2	1
262	первая часть	1	1
263	близок к	1	1
264	также что	1	1
265	следовательно и	1	1
266	нельзя не	2	1
267	ничего не	3	1
268	того как	3	1
269	по своей	2	1
270	ему и	2	1
271	потому что	5	1
272	до того	1	1
273	этом отношении	3	1
274	в каком	1	1
275	ли это	2	1
276	вот в	1	1
277	следует рассматривать	1	1
278	и отличие	1	1
279	один раз	1	1
280	этот факт	1	1
281	в духе	1	1
282	могут быть	3	1
283	резкое недовольство	1	1
284	ли не	4	1
285	уже на	1	1
286	с ее	2	1
287	но при	1	1
288	только при	2	1
289	то время	5	1
290	роль в	1	1
291	и сам	3	1
292	этот период	1	1
293	так и	5	1
294	в цитированных	1	1
295	ясно что	4	1
296	еще в	5	1
297	во второй	3	1
298	последнее место	1	1
