N	2gram	Bakhtin_fo_1	UchenyiS
1	и в	50	14
2	а не	3	10
3	не только	9	10
4	и не	14	8
5	прежде всего	15	8
6	в этом	25	7
7	не может	6	7
8	то что	6	7
9	может быть	11	6
10	в искусстве	1	6
11	и только	1	5
12	все это	4	5
13	то же	11	5
14	хотя бы	2	5
15	в их	6	4
16	с другой	2	4
17	конечно не	4	4
18	но и	8	4
19	в этой	1	4
20	у нас	1	3
21	в своей	2	3
22	все же	6	3
23	не как	2	3
24	в то	9	3
25	же время	9	3
26	и формы	1	3
27	в частности	6	3
28	не следует	1	3
29	для него	2	3
30	но в	10	3
31	не о	2	3
32	и то	4	3
33	было бы	2	3
34	и т.д	1	3
35	это не	6	3
36	как и	8	3
37	только к	3	3
38	не столько	1	2
39	одним из	1	2
40	и через	1	2
41	для всех	2	2
42	в себе	3	2
43	бы и	1	2
44	и с	4	2
45	если не	1	2
46	именно как	4	2
47	нас в	3	2
48	по себе	2	2
49	мы и	4	2
50	все они	1	2
51	но не	5	2
52	с его	9	2
53	смысле этого	1	2
54	ничего не	9	2
55	сколько угодно	2	2
56	по существу	12	2
57	и у	5	2
58	тем что	2	2
59	и для	4	2
60	но конечно	2	2
61	о чем	1	2
62	их и	2	2
63	и является	2	2
64	в широком	2	2
65	это было	1	2
66	что он	1	2
67	что все	2	2
68	формы и	3	2
69	в том	9	2
70	только в	4	2
71	могли бы	1	2
72	таким образом	11	2
73	это уже	1	2
74	на первый	1	2
75	что и	3	2
76	всех этих	5	2
77	в его	13	2
78	сих пор	3	2
79	в буквальном	2	2
80	если бы	5	2
81	как раз	13	2
82	могут быть	5	2
83	что мы	2	2
84	не в	5	2
85	его и	2	2
86	не приходится	1	2
87	в самом	8	2
88	самом деле	1	2
89	мы не	3	2
90	а как	3	2
91	этом отношении	3	2
92	в конце	9	2
93	том что	4	2
94	не могут	3	2
95	до сих	3	2
96	в некоторых	2	2
97	ряда но	1	1
98	то и	1	1
99	это то	2	1
100	к простому	1	1
101	которое мы	1	1
102	друг с	1	1
103	для изучения	1	1
104	в процессе	4	1
105	но идея	1	1
106	связанные с	1	1
107	степени и	1	1
108	в которой	2	1
109	целого но	1	1
110	до конца	4	1
111	в качестве	3	1
112	он не	5	1
113	с другом	1	1
114	об этом	2	1
115	и единого	1	1
116	в точном	2	1
117	отсюда и	2	1
118	переходит в	1	1
119	какие мы	1	1
120	отнюдь не	5	1
121	в словах	1	1
122	не обладает	1	1
123	приводит к	1	1
124	в значительной	2	1
125	объясняется и	1	1
126	широком и	1	1
127	не входит	2	1
128	с тем	3	1
129	он может	1	1
130	тот же	1	1
131	этой же	1	1
132	в различных	2	1
133	что было	3	1
134	бы в	1	1
135	по его	1	1
136	находятся в	1	1
137	в виду	3	1
138	этот процесс	5	1
139	форма в	1	1
140	эта работа	1	1
141	в течение	2	1
142	тем более	1	1
143	независимо от	1	1
144	данном случае	1	1
145	буквальном смысле	2	1
146	в данное	1	1
147	входит в	3	1
148	же как	2	1
149	ряда и	1	1
150	частности с	1	1
151	или даже	1	1
152	при построении	1	1
153	в совокупности	1	1
154	единства и	2	1
155	не связанных	1	1
156	время на	1	1
157	дан в	2	1
158	одно из	3	1
159	и разнообразие	1	1
160	она не	1	1
161	себя на	1	1
162	первый план	1	1
163	но он	2	1
164	литературы в	1	1
165	где бы	1	1
166	сказать что	3	1
167	мы можем	1	1
168	о том	1	1
169	не столь	2	1
170	и дается	2	1
171	не существует	1	1
172	не без	2	1
173	было и	4	1
174	ее в	2	1
175	определяется не	2	1
176	и потому	3	1
177	правда не	2	1
178	все его	3	1
179	но по	2	1
180	равно как	2	1
181	даже не	2	1
182	что в	5	1
183	он был	1	1
184	тогда когда	2	1
185	для себя	7	1
186	и искусства	1	1
187	представляется чрезвычайно	1	1
188	же в	3	1
189	того что	2	1
190	существование в	1	1
191	с одной	3	1
192	должно быть	1	1
193	той же	2	1
194	речи в	2	1
195	в этот	2	1
196	на одно	1	1
197	уже не	2	1
198	в которых	2	1
199	к этому	3	1
200	не делает	1	1
201	так и	12	1
202	в таком	3	1
203	мы имеем	1	1
204	формы как	1	1
205	является только	1	1
206	о которой	1	1
207	время не	2	1
208	он становится	2	1
209	человека и	11	1
210	искусство и	1	1
211	из самых	1	1
212	что еще	1	1
213	точном смысле	2	1
214	в той	4	1
215	нет и	2	1
216	друг другу	2	1
217	широком смысле	2	1
218	и литературного	1	1
219	и все	6	1
220	к построению	1	1
221	и строится	1	1
222	сюда же	1	1
223	и это	4	1
224	не было	7	1
225	и др	9	1
226	на то	1	1
227	одной стороны	2	1
228	тех кто	1	1
229	и всей	2	1
230	никогда не	2	1
231	и даже	2	1
232	приобретает характер	1	1
233	в котором	4	1
234	имеем в	1	1
235	в пределах	5	1
236	быть тем	1	1
237	с самим	5	1
238	и единственно	1	1
239	его на	2	1
240	и вне	3	1
241	из которых	1	1
242	момент является	1	1
243	у него	6	1
244	этом случае	1	1
245	в нем	24	1
246	и эта	2	1
247	что этот	1	1
248	в ней	4	1
249	все в	1	1
250	этого и	1	1
251	и прежде	2	1
252	была уже	2	1
253	значительной мере	1	1
254	далеко не	2	1
255	то есть	33	1
256	место и	3	1
257	в порядке	3	1
258	не вполне	1	1
259	смысле и	1	1
260	жанра в	1	1
261	не для	2	1
262	которой и	1	1
263	вне его	2	1
264	их в	3	1
265	но для	2	1
266	в своем	4	1
267	в данном	2	1
268	слагается из	2	1
269	именно к	1	1
