N	2gram	Propp_Isto_5	slovoVRo
1	и в	25	41
2	в нем	7	30
3	и т	20	28
4	могут быть	6	19
5	во всех	2	17
6	не только	13	16
7	и не	11	16
8	точки зрения	2	16
9	языка в	1	16
10	но и	13	16
11	а не	2	15
12	то же	4	14
13	и на	8	14
14	в то	3	14
15	и его	9	14
16	в пределах	4	14
17	может быть	17	14
18	и др	3	14
19	не может	6	14
20	в его	12	13
21	в этом	10	12
22	же время	1	12
23	как бы	2	12
24	язык и	2	10
25	себя в	6	9
26	все эти	8	9
27	таким образом	9	9
28	или иной	1	9
29	как в	6	8
30	но в	1	8
31	с точки	1	8
32	как мы	5	8
33	в особенности	3	8
34	или в	6	8
35	слова в	1	8
36	прежде всего	6	8
37	отношение к	1	7
38	все же	10	7
39	в своей	2	7
40	не в	6	7
41	вовсе не	2	7
42	с ним	4	7
43	они могут	1	7
44	все они	1	7
45	во всяком	1	7
46	того же	2	6
47	при этом	1	6
48	это не	6	6
49	к своему	1	6
50	оно не	1	6
51	только в	7	6
52	и даже	1	6
53	а в	3	6
54	языку и	1	5
55	и к	1	5
56	в самом	1	5
57	он в	1	5
58	т д	18	5
59	с другими	4	5
60	всяком случае	1	5
61	все это	4	5
62	в основе	1	5
63	со своим	1	5
64	к нему	3	5
65	с другой	9	5
66	ту же	2	4
67	одним из	2	4
68	в ней	5	4
69	еще не	8	4
70	словом в	1	4
71	перед нами	2	4
72	и наконец	1	4
73	в которой	4	4
74	всех этих	1	4
75	не как	4	4
76	связанных с	1	4
77	и с	3	4
78	входит в	5	4
79	на почве	1	4
80	как и	7	4
81	в их	1	4
82	в процессе	1	4
83	и для	2	4
84	ничего не	2	4
85	автор не	1	4
86	о нем	3	4
87	все его	2	4
88	один из	2	4
89	ли он	2	4
90	с одной	7	4
91	одной стороны	7	4
92	и все	3	4
93	там где	6	4
94	и потому	2	4
95	и от	1	4
96	здесь в	1	4
97	и часто	1	4
98	другой стороны	8	4
99	также и	1	3
100	почти всегда	1	3
101	в зависимости	1	3
102	зависимости от	1	3
103	как таковые	2	3
104	данном случае	2	3
105	в своем	1	3
106	не требует	1	3
107	в себе	1	3
108	его но	1	3
109	связанные с	2	3
110	и сам	2	3
111	его в	9	3
112	было бы	1	3
113	он не	4	3
114	и ее	1	3
115	от его	1	3
116	на всю	1	3
117	а иногда	1	3
118	она не	2	3
119	нем в	1	3
120	не могло	1	3
121	никогда не	3	3
122	и здесь	7	3
123	в других	2	3
124	к тому	1	3
125	смысле в	1	3
126	и этим	2	3
127	образом в	2	3
128	формы и	2	3
129	о том	7	3
130	нем и	3	3
131	в него	5	3
132	того что	2	3
133	в том	6	3
134	в качестве	7	3
135	конечно не	1	3
136	и других	2	3
137	из них	2	3
138	его и	2	3
139	для него	1	3
140	так как	11	3
141	друг друга	3	3
142	у него	2	3
143	в свою	3	3
144	по всей	1	3
145	не было	1	3
146	в истории	4	3
147	но оно	3	3
148	не были	1	3
149	с этим	5	3
150	в данном	3	3
151	и следует	1	3
152	и там	1	3
153	есть как	1	3
154	по существу	2	3
155	с этой	2	3
156	как только	1	3
157	в основном	4	3
158	хотя бы	1	3
159	одной из	1	3
160	из этого	1	3
161	в свое	2	3
162	но эти	3	3
163	например в	5	2
164	на самом	1	2
165	то в	2	2
166	в котором	1	2
167	мы уже	4	2
168	той же	1	2
169	а как	2	2
170	мы не	5	2
171	же как	4	2
172	время как	1	2
173	категории и	1	2
174	они были	1	2
175	мы и	2	2
176	и заставляет	1	2
177	свою очередь	1	2
178	по своему	1	2
179	одним словом	1	2
180	в ее	4	2
181	он может	2	2
182	но не	5	2
183	что они	1	2
184	сих пор	2	2
185	как к	1	2
186	пределах одной	1	2
187	от этого	4	2
188	не пытается	1	2
189	сливается с	1	2
190	в целом	3	2
191	случае этот	1	2
192	или во	1	2
193	нами в	1	2
194	они в	1	2
195	и по	2	2
196	на этом	3	2
197	на ту	1	2
198	том что	8	2
199	в этих	6	2
200	но он	2	2
201	и эти	1	2
202	без всяких	2	2
203	войти в	1	2
204	вместе со	1	2
205	даже в	2	2
206	в самых	1	2
207	дело не	1	2
208	из него	2	2
209	явление в	1	2
210	для нас	5	2
211	в сознании	1	2
212	вокруг него	1	2
213	и о	1	2
214	то время	1	2
215	так в	2	2
216	роль в	2	2
217	на том	3	2
218	иногда в	1	2
219	и вообще	3	2
220	за пределами	1	2
221	одного из	1	2
222	можно сказать	2	2
223	а также	1	2
224	наконец в	1	2
225	здесь не	1	2
226	мы видим	8	2
227	и тем	4	2
228	так что	2	2
229	же и	1	2
230	связи с	8	2
231	уже не	11	2
232	и у	1	2
233	только на	1	2
234	в виде	9	2
235	или даже	1	2
236	остаются в	1	2
237	характерно что	1	2
238	в одном	1	2
239	с этими	1	2
240	для того	3	2
241	в другой	3	2
242	до сих	2	2
243	с другом	2	2
244	а с	1	2
245	в определенных	1	2
246	а на	2	2
247	с которым	2	2
248	совершенно не	2	2
249	что все	4	2
250	связь с	8	2
251	в частности	7	2
252	так же	5	2
253	такого рода	1	2
254	друг с	2	2
255	этом случае	7	2
256	одна из	2	2
257	у них	1	2
258	потому что	7	2
259	вносят в	1	2
260	с ней	2	2
261	сказать что	2	2
262	к этому	2	2
263	эти категории	1	2
264	себя как	1	1
265	рассматривается как	1	1
266	тех же	2	1
267	и есть	1	1
268	из его	1	1
269	не имеют	1	1
270	последние два	1	1
271	его не	3	1
272	тридевять земель	3	1
273	героя на	1	1
274	мы имеем	14	1
275	за язык	2	1
276	господствующее в	1	1
277	и свой	1	1
278	что уже	1	1
279	двух и	1	1
280	как из	1	1
281	именно к	1	1
282	место в	1	1
283	приводят к	1	1
284	и такой	1	1
285	но даже	1	1
286	в некотором	2	1
287	вариации этого	1	1
288	и он	6	1
289	форм в	1	1
290	не нужно	1	1
291	мы читаем	1	1
292	без всякого	1	1
293	его так	1	1
294	но как	1	1
295	силы и	1	1
296	иногда и	1	1
297	отличие от	1	1
298	широкого круга	1	1
299	в одной	1	1
300	его на	4	1
301	в течение	2	1
302	по которому	3	1
303	стороны и	1	1
304	те стороны	1	1
305	что как	1	1
306	в очень	1	1
307	целый ряд	1	1
308	его к	3	1
309	них он	1	1
310	отнесены к	1	1
311	в себя	3	1
312	у наиболее	2	1
313	в этой	3	1
314	часто даже	1	1
315	и тот	1	1
316	только один	3	1
317	чем его	1	1
318	путем он	1	1
319	на то	2	1
320	и если	1	1
321	в чужую	1	1
322	что она	1	1
323	задний план	1	1
324	приведенные нами	1	1
325	в переводе	1	1
326	резче чем	1	1
327	за тридевять	4	1
328	он должен	1	1
329	не изучены	1	1
330	пределах одного	1	1
331	формы его	1	1
332	по всем	1	1
333	эта мотивировка	1	1
334	не исчерпывают	1	1
335	в комнату	1	1
336	в нее	6	1
337	человека в	3	1
338	а затем	7	1
339	в состоянии	1	1
340	не дает	1	1
341	этих форм	1	1
342	здесь как	2	1
343	есть не	1	1
344	особенно в	2	1
345	чаще всего	1	1
346	в жизни	1	1
347	в ином	3	1
348	но уже	3	1
349	в ведении	1	1
350	о которых	2	1
351	гл iv	2	1
352	этого не	1	1
353	и уже	1	1
354	несмотря на	2	1
355	мы видели	7	1
356	и некоторые	1	1
357	как таковой	1	1
358	смысл и	1	1
359	века когда	1	1
360	места в	1	1
361	но если	1	1
362	ответа но	1	1
363	таким же	2	1
364	в отличие	1	1
365	в которых	3	1
366	бы мы	2	1
367	тем не	4	1
368	и более	1	1
369	изнутри в	1	1
370	например и	1	1
371	то с	1	1
372	мир он	1	1
373	не менее	4	1
374	самого начала	1	1
375	правда в	1	1
376	указанном смысле	1	1
377	к изучению	1	1
378	он еще	1	1
379	того чтобы	3	1
380	на котором	1	1
381	но чаще	1	1
382	не признают	1	1
383	в другую	2	1
384	видим что	5	1
385	во всем	2	1
386	же он	1	1
387	в каком	1	1
388	их от	1	1
389	в стиле	1	1
390	тем это	2	1
391	очень часто	1	1
392	иногда даже	2	1
393	не знаем	3	1
394	его за	1	1
395	его с	1	1
396	быть отнесены	1	1
397	всегда есть	1	1
398	он видит	4	1
399	на это	1	1
400	время он	1	1
401	должен быть	2	1
402	и это	4	1
403	живет на	2	1
404	в виду	1	1
405	на задний	1	1
406	с каким	1	1
407	каждая такая	1	1
408	смерти в	1	1
409	с самого	1	1
410	приводит к	1	1
411	по степеням	1	1
412	на свой	1	1
413	формами и	1	1
414	что может	1	1
415	переход к	1	1
416	каждого из	1	1
417	извне в	1	1
418	часто в	1	1
419	это только	1	1
420	если бы	2	1
421	для этого	1	1
422	со стороны	2	1
423	погружается в	1	1
424	иного порядка	1	1
425	находится в	2	1
426	через этот	1	1
427	сводится к	1	1
428	не был	1	1
429	и что	8	1
430	находятся в	1	1
431	или на	2	1
432	в которое	1	1
433	там в	1	1
434	в различных	2	1
435	как у	2	1
436	это было	2	1
437	это может	1	1
438	эту форму	1	1
439	борьба с	1	1
440	во втором	1	1
441	на одном	2	1
442	что и	6	1
443	и только	1	1
444	может иметь	1	1
445	и она	3	1
446	в литературе	1	1
447	где не	1	1
448	время в	2	1
449	тот же	1	1
450	характерна для	1	1
451	которым он	1	1
452	вступить в	1	1
453	которых они	1	1
454	и так	1	1
455	исключают друг	2	1
456	или же	3	1
457	не мешает	1	1
458	именно на	2	1
459	в эти	1	1
460	ответами и	1	1
461	в указанном	1	1
462	и они	2	1
463	должны иметь	1	1
464	специфическая особенность	1	1
465	него нет	1	1
466	в форме	3	1
467	др все	1	1
468	другие более	1	1
469	эти формы	1	1
470	со всем	1	1
471	исходят из	1	1
472	эти две	1	1
473	уходит в	1	1
474	человек может	1	1
475	что не	1	1
476	социальной жизни	2	1
477	что для	1	1
478	только по	1	1
479	на смену	4	1
480	то и	1	1
481	которое по	1	1
482	сюда не	1	1
483	его по	2	1
484	о чем	2	1
485	мы остановимся	1	1
486	героя так	1	1
487	что мы	2	1
488	в руках	1	1
489	этот рассказ	1	1
490	нет ничего	1	1
491	вместе с	22	1
492	до этого	2	1
493	относятся к	1	1
494	книге о	1	1
495	даже с	1	1
496	мы до	1	1
497	быть не	1	1
498	в это	2	1
499	как за	1	1
500	эти два	1	1
501	на пути	1	1
502	жизни или	1	1
503	но это	7	1
504	новые и	1	1
505	с большой	2	1
506	но с	1	1
507	в более	3	1
508	которых он	1	1
509	потому не	1	1
510	не исключают	2	1
511	он по	1	1
512	части его	2	1
513	другими формами	1	1
514	от них	2	1
515	души в	1	1
516	от него	1	1
517	бы в	1	1
518	особенности в	2	1
519	же в	2	1
520	есть уже	1	1
521	героя и	3	1
522	не знает	1	1
523	только как	1	1
524	состоит из	3	1
525	равно как	1	1
526	который оно	1	1
527	сам в	2	1
528	есть и	1	1
529	та же	1	1
530	на третьем	1	1
531	строится на	2	1
532	жизни и	2	1
533	и другие	1	1
534	им и	2	1
535	как на	1	1
536	в таком	1	1
537	все что	1	1
538	этой точки	1	1
539	они не	3	1
