N	3gram	Ircho_Kome_3	KulturaY
1	и т п	3	41
2	с точки зрения	3	16
3	в самом деле	6	11
4	для того чтобы	6	11
5	тем не менее	3	9
6	до сих пор	9	8
7	в том что	9	8
8	и т д	1	8
9	в зависимости от	1	7
10	в этом случае	2	4
11	с одной стороны	3	4
12	и в этом	1	4
13	в связи с	3	4
14	до тех пор	3	4
15	и в самом	3	4
16	после того как	1	4
17	зависимости от того	1	3
18	сих пор еще	1	3
19	то обстоятельство что	2	3
20	на мой взгляд	1	3
21	в том чтобы	1	3
22	в первую очередь	1	3
23	с другой стороны	2	3
24	так и в	1	3
25	о том что	4	3
26	в какой мере	2	2
27	по отношению к	3	2
28	не говоря уже	1	2
29	в том числе	1	2
30	говоря уже о	1	2
31	в отличие от	1	2
32	в первом случае	1	2
33	на себя внимание	1	2
34	так как он	1	2
35	на русский язык	1	2
36	более или менее	1	2
37	если бы не	1	2
38	что и в	2	2
39	к тому же	4	2
40	в свое время	1	2
41	я мог бы	1	1
42	таким образом если	1	1
43	потому что он	1	1
44	хотя и не	2	1
45	само собой разумеется	2	1
46	и к тому	1	1
47	чуть ли не	1	1
48	то же самое	3	1
49	и не может	1	1
50	и в то	1	1
51	что он не	2	1
52	наряду с этим	2	1
53	бы то ни	2	1
54	и если бы	1	1
55	по крайней мере	1	1
56	не о чем	1	1
57	с этой точки	1	1
58	из этих слов	1	1
59	вместе с тем	3	1
60	было до сих	1	1
61	и после этого	1	1
62	в то время	2	1
63	обращает на себя	1	1
64	ответа на вопрос	1	1
65	дома т е	1	1
66	пор еще не	1	1
67	не дает и	1	1
68	то что он	1	1
69	т е в	2	1
70	и в отношении	1	1
71	во всяком случае	3	1
72	по тому что	1	1
73	не имеет ничего	1	1
74	этой точки зрения	1	1
75	речь идет здесь	1	1
76	то же время	4	1
77	и о том	1	1
78	с тем как	1	1
79	же самое что	1	1
80	однако в том	1	1
81	в свою очередь	6	1
82	речь шла о	2	1
83	именно к этой	1	1
84	в конечном счете	2	1
85	те моменты в	1	1
86	и остается в	1	1
87	о котором он	1	1
88	но все же	2	1
89	тому что она	1	1
90	не с точки	1	1
91	мы имеем в	1	1
92	она не могла	1	1
93	а в ее	1	1
94	в то же	4	1
95	по этому поводу	1	1
96	к тому что	1	1
97	друг от друга	1	1
98	т е о	1	1
99	только для того	2	1
100	именно потому что	2	1
101	что речь идет	1	1
