N	2gram	Tiupa_Narr_1	Marksizm
1	точки зрения	5	34
2	может быть	15	26
3	и не	23	26
4	не может	8	24
5	с точки	1	20
6	и в	11	19
7	и его	10	19
8	языка как	1	17
9	таким образом	1	17
10	в этом	12	16
11	как бы	6	15
12	как мы	2	13
13	прежде всего	4	13
14	как и	13	12
15	так и	5	11
16	связи с	2	11
17	и для	2	11
18	самом деле	3	10
19	в нем	4	10
20	в слове	3	10
21	ни было	1	10
22	и т.п	8	10
23	в самом	6	10
24	лишь в	3	9
25	только в	12	9
26	для него	4	9
27	в результате	2	9
28	бы то	1	8
29	все же	4	8
30	не только	31	8
31	при этом	19	8
32	то ни	1	8
33	система языка	1	8
34	друг друга	2	8
35	до сих	2	8
36	но и	27	8
37	в контексте	1	8
38	сих пор	2	8
39	то что	9	8
40	язык как	2	7
41	во всех	1	7
42	в ее	1	7
43	точка зрения	5	7
44	но в	7	7
45	то же	8	7
46	слова как	1	7
47	бытия в	1	7
48	а не	13	7
49	в связи	2	7
50	так же	1	7
51	отнюдь не	2	6
52	так сказать	2	6
53	мы не	3	6
54	и того	2	6
55	ничего не	2	6
56	в пределах	2	6
57	и здесь	1	6
58	в его	6	6
59	в том	8	6
60	с помощью	1	6
61	другой стороны	2	6
62	того же	1	6
63	связи между	1	5
64	отличие от	2	5
65	входит в	2	5
66	одного и	1	5
67	в отличие	2	5
68	не в	6	5
69	необходимо чтобы	1	5
70	того чтобы	4	5
71	и все	3	5
72	ясно что	1	5
73	в начале	3	5
74	в конце	2	5
75	с другой	2	5
76	именно в	3	5
77	до конца	2	5
78	как системы	1	5
79	и потому	1	5
80	хотя бы	2	5
81	к этому	1	5
82	во всяком	2	5
83	переход от	2	4
84	что слово	1	4
85	и на	5	4
86	как в	4	4
87	так называемая	2	4
88	и тот	1	4
89	к одному	1	4
90	не будет	2	4
91	не менее	3	4
92	по себе	4	4
93	внутренней жизни	1	4
94	не является	3	4
95	в единство	1	4
96	в ней	4	4
97	еще не	4	4
98	только на	2	4
99	для того	3	4
100	далеко не	1	4
101	с этим	1	4
102	в данном	11	4
103	тот же	1	4
104	а в	13	4
105	отношении к	1	4
106	жизни в	2	4
107	между ними	2	4
108	сказать что	2	4
109	что в	3	4
110	на самом	1	3
111	и есть	1	3
112	между двумя	5	3
113	в сущности	2	3
114	по отношению	3	3
115	один и	2	3
116	целый ряд	1	3
117	и как	3	3
118	и к	1	3
119	в первом	4	3
120	в которой	1	3
121	в корне	1	3
122	но все	1	3
123	различие между	1	3
124	его в	1	3
125	но именно	3	3
126	он не	3	3
127	он является	1	3
128	том что	7	3
129	в своей	5	3
130	и ее	3	3
131	не становится	1	3
132	в котором	1	3
133	является в	1	3
134	в то	4	3
135	для каждого	1	3
136	для всего	1	3
137	не имеет	2	3
138	же время	4	3
139	этом отношении	3	3
140	в области	2	3
141	же самое	2	3
142	не существует	3	3
143	сводится к	3	3
144	т.п в	1	3
145	одного из	6	3
146	можно сказать	5	3
147	с другими	1	3
148	того что	4	3
149	быть и	2	3
150	одной из	1	3
151	нуждается в	1	3
152	правда и	1	3
153	между тем	3	3
154	из них	4	3
155	момент в	1	3
156	или иной	4	3
157	не было	3	3
158	на этот	1	3
159	все это	1	3
160	слова и	1	3
161	и от	2	3
162	она может	2	3
163	сознания и	1	3
164	не утрачивая	1	3
165	речи и	1	3
166	совершенно не	1	3
167	первом случае	3	3
168	они еще	1	3
169	это и	1	3
170	одним из	1	2
171	же как	1	2
172	не остается	1	2
173	внутренний мир	1	2
174	мы уже	1	2
175	той же	1	2
176	не приходится	1	2
177	зависимости от	2	2
178	и он	6	2
179	свою очередь	2	2
180	но при	3	2
181	быть в	1	2
182	в чем	2	2
183	во внешнем	1	2
184	как если	2	2
185	не все	1	2
186	не просто	1	2
187	внутреннее бытие	1	2
188	в своем	3	2
189	мы тем	1	2
190	в действительности	1	2
191	и иными	1	2
192	глава вторая	2	2
193	то в	4	2
194	в нашем	3	2
195	из этих	4	2
196	в себе	6	2
197	как он	1	2
198	тем не	3	2
199	не как	1	2
200	человека в	2	2
201	могла бы	1	2
202	в другом	1	2
203	и с	3	2
204	глубокий и	1	2
205	в данной	1	2
206	и иных	2	2
207	для них	2	2
208	жизни но	2	2
209	для одного	2	2
210	говорящего как	1	2
211	имеет место	4	2
212	точку зрения	1	2
213	тому что	1	2
214	в русской	3	2
215	и сама	2	2
216	не могло	2	2
217	одна из	4	2
218	людей так	1	2
219	как она	2	2
220	и является	2	2
221	в сознании	4	2
222	у нас	3	2
223	ни о	2	2
224	могут быть	1	2
225	далеко за	1	2
226	числе и	1	2
227	к тому	6	2
228	они и	2	2
229	она не	2	2
230	с ее	2	2
231	в виду	1	2
232	и та	1	2
233	во внутренний	1	2
234	как знак	1	2
235	как с	1	2
236	никогда не	4	2
237	по аналогии	1	2
238	мог бы	1	2
239	между собой	2	2
240	если бы	7	2
241	и вообще	1	2
242	и даже	2	2
243	по мере	2	2
244	ситуации и	2	2
245	и т.д	6	2
246	о том	4	2
247	за пределами	2	2
248	во втором	6	2
249	что и	1	2
250	и только	2	2
251	сознание может	1	2
252	в литературе	4	2
253	в двух	1	2
254	знаков в	1	2
255	что он	3	2
256	между этими	1	2
257	в качестве	14	2
258	где они	2	2
259	глава первая	2	2
260	всяком случае	2	2
261	так как	1	2
262	мы можем	2	2
263	как раз	6	2
264	тем что	1	2
265	что не	2	2
266	нового времени	1	2
267	зависит от	2	2
268	одну из	1	2
269	там где	1	2
270	в частности	14	2
271	из которых	1	2
272	установкой на	2	2
273	для всех	1	2
274	образ и	1	2
275	в первой	2	2
276	но для	3	2
277	говорящего и	1	2
278	или в	6	2
279	с установкой	2	2
280	в свою	2	2
281	в романе	2	2
282	не знает	1	2
283	к его	2	2
284	отношению к	3	2
285	жизни и	6	2
286	к этой	1	2
287	в таком	2	2
288	том числе	1	2
289	обращено к	2	1
290	также и	3	1
291	например в	1	1
292	должен быть	1	1
293	не видим	1	1
294	и то	3	1
295	отметим что	1	1
296	получает в	1	1
297	оказываются в	1	1
298	тем же	2	1
299	и до	1	1
300	о каждом	1	1
301	в предыдущей	1	1
302	в театре	2	1
303	из всех	1	1
304	чего в	1	1
305	речевой деятельности	2	1
306	что вся	1	1
307	и само	1	1
308	связаны между	1	1
309	что между	1	1
310	мир не	1	1
311	высказывания в	2	1
312	в каждый	1	1
313	из сказанного	1	1
314	принадлежит к	1	1
315	объективна и	1	1
316	и другая	1	1
317	но любое	1	1
318	жизни как	2	1
319	в целом	3	1
320	жизни это	1	1
321	и самого	2	1
322	история с	1	1
323	он сам	3	1
324	здесь не	2	1
325	столь же	5	1
326	в различных	1	1
327	с его	4	1
328	различия между	1	1
329	но как	3	1
330	а только	1	1
331	языка например	1	1
332	не входит	1	1
333	со всеми	1	1
334	ответ на	1	1
335	должны были	1	1
336	отношение к	1	1
337	в едином	2	1
338	как со	1	1
339	этим оно	1	1
340	в особом	1	1
341	его на	1	1
342	первого лица	1	1
343	хотя и	4	1
344	и наконец	1	1
345	бы стать	1	1
346	следующее в	1	1
347	более или	1	1
348	следующим образом	1	1
349	следует сказать	1	1
350	между историей	1	1
351	для которого	1	1
352	со своей	1	1
353	именно эта	2	1
354	еще на	1	1
355	совершается переход	1	1
356	та же	2	1
357	что это	1	1
358	ни один	1	1
359	тоже не	1	1
360	следующей главе	1	1
361	в этой	6	1
362	в известном	2	1
363	иных форм	1	1
364	видим и	1	1
365	во многих	1	1
366	но ведь	1	1
367	направлено на	1	1
368	не могла	2	1
369	иным как	2	1
370	главным образом	1	1
371	жизни является	1	1
372	большей или	2	1
373	и вот	2	1
374	к каждому	1	1
375	их в	3	1
376	какой бы	1	1
377	подобно тому	3	1
378	и по	1	1
379	в образе	1	1
380	так например	1	1
381	в нее	1	1
382	именно это	1	1
383	и символы	1	1
384	значительной степени	1	1
385	значение в	1	1
386	речи или	1	1
387	фактов не	1	1
388	в предыдущем	1	1
389	а по	2	1
390	косвенной речи	1	1
391	нашем случае	1	1
392	это не	3	1
393	уже знаем	1	1
394	что один	1	1
395	лишь на	1	1
396	и тем	4	1
397	но уже	1	1
398	окружающей действительности	1	1
399	с тем	1	1
400	и вся	1	1
401	результате чего	1	1
402	со своими	1	1
403	одна и	1	1
404	мы видели	1	1
405	чтобы они	1	1
406	еще в	3	1
407	может идти	1	1
408	в один	1	1
409	нисколько не	1	1
410	в окружающей	1	1
411	или менее	1	1
412	во время	1	1
413	и мышления	1	1
414	или точнее	1	1
415	представить себе	1	1
416	и языка	1	1
417	что я	1	1
418	от его	1	1
419	втором случае	1	1
420	что было	1	1
421	освободиться от	1	1
422	людьми в	1	1
423	тем самым	5	1
424	того как	1	1
425	не по	4	1
426	следует здесь	1	1
427	чтобы стать	1	1
428	о них	3	1
429	не сводимая	1	1
430	из их	1	1
431	бы между	1	1
432	его от	1	1
433	этих двух	2	1
434	к ней	1	1
435	по своей	1	1
436	не останется	1	1
437	сознанием и	1	1
438	потому что	5	1
439	даже из	1	1
440	соотносится с	1	1
441	с другом	1	1
442	знак который	3	1
443	еще одна	1	1
444	отличается от	1	1
445	посредством которых	1	1
446	содержание в	1	1
447	той или	5	1
448	предыдущей главе	1	1
449	если же	1	1
450	деле в	1	1
451	на предмет	1	1
452	утрачивая своей	1	1
453	значения и	2	1
454	языковыми знаками	1	1
455	от друга	1	1
456	здесь говорить	1	1
457	своей индивидуальности	1	1
458	реальной действительности	1	1
459	в особенности	2	1
460	только то	1	1
461	действия и	1	1
462	приводит к	1	1
463	внутреннюю жизнь	2	1
464	и совершенно	1	1
465	друг для	2	1
466	из двух	1	1
467	на нее	1	1
468	свою историю	1	1
469	времени и	9	1
470	это вовсе	1	1
471	особенно в	2	1
