N	3gram	Trubetskoy_1	Literetu
1	в то же	2	7
2	то же время	2	7
3	к тому же	5	5
4	о том что	4	4
5	с одной стороны	2	4
6	по отношению к	9	4
7	в том что	15	4
8	в данном случае	3	4
9	не говоря уже	1	4
10	в том числе	1	3
11	не может быть	3	3
12	с точки зрения	8	3
13	говоря уже о	1	3
14	так или иначе	5	2
15	из того что	1	2
16	с другой стороны	4	2
17	а и в	7	2
18	то же самое	1	2
19	в самом деле	5	2
20	бы то ни	2	2
21	в то что	1	2
22	в мире не	1	2
23	том числе и	1	2
24	на то что	7	2
25	то ни было	2	2
26	состоит в том	1	2
27	данном случае не	1	1
28	в связи с	3	1
29	при этом не	1	1
30	лишь тогда когда	2	1
31	не только по	1	1
32	не только не	1	1
33	исходит из того	1	1
34	а затем и	1	1
35	не знает что	1	1
36	и у нас	1	1
37	для того чтобы	7	1
38	может быть вполне	1	1
39	две стороны одного	1	1
40	в мире есть	1	1
41	между тем как	1	1
42	тогда когда оно	1	1
43	вместе с ними	1	1
44	самого себя и	1	1
45	в каждый данный	4	1
46	к тому что	1	1
47	в целом ряде	3	1
48	ничего общего с	2	1
49	за ним и	1	1
50	что несмотря на	2	1
51	но и с	1	1
52	то что для	1	1
53	этой точки зрения	1	1
54	не тем что	1	1
55	на самом деле	7	1
56	и то что	3	1
57	и в целом	1	1
58	более или менее	7	1
59	в индивидуальном сознании	1	1
60	может быть не	1	1
61	только по отношению	1	1
62	тогда как сам	1	1
63	том что они	1	1
64	в истинном смысле	1	1
65	все же остается	1	1
66	целом ряде других	1	1
67	в чистом виде	1	1
68	начало и конец	4	1
69	но и всех	1	1
70	с тех пор	1	1
71	потому не может	1	1
72	но при этом	1	1
73	только в том	1	1
74	вместе с ней	1	1
75	и в том	2	1
76	в себе и	1	1
77	ничем не лучше	1	1
78	все же являются	1	1
79	друг от друга	6	1
80	с этой точки	1	1
81	вместе с тем	2	1
82	каждый данный момент	3	1
83	я не могу	1	1
84	тем не менее	4	1
85	в свою очередь	2	1
86	на первый взгляд	1	1
87	хотя и не	1	1
