N	2gram	Tiupa_Disk_2	IolandNe
1	и с	2	3
2	и не	15	2
3	должен быть	1	2
4	в этом	16	2
5	он не	3	2
6	ничего не	1	2
7	оба они	1	2
8	самого себя	1	2
9	что в	5	2
10	все эти	3	1
11	своего исследования	1	1
12	с другой	5	1
13	человеке и	1	1
14	для него	5	1
15	того что	1	1
16	отношению к	4	1
17	пушкина и	1	1
18	говорить о	2	1
19	странное и	1	1
20	же это	1	1
21	не дает	1	1
22	тех же	1	1
23	вплоть до	1	1
24	в целом	2	1
25	так и	9	1
26	и со	1	1
27	а для	1	1
28	в основе	4	1
29	а позднее	2	1
30	могло бы	1	1
31	жизни и	3	1
32	по отношению	4	1
33	как о	1	1
34	себя в	6	1
35	и сам	1	1
36	стало быть	1	1
37	с рассказчиком	1	1
38	того же	2	1
39	а с	5	1
40	и еще	1	1
41	в значительной	1	1
42	в первую	2	1
43	первую очередь	2	1
44	бы его	1	1
45	а также	8	1
46	а в	2	1
47	и в	16	1
48	не случайно	1	1
49	все это	2	1
50	более чем	2	1
51	тем что	1	1
52	и др	1	1
53	я не	1	1
54	другой стороны	2	1
55	о ней	1	1
56	никогда не	2	1
57	в них	3	1
