N	3gram	Berdyaev_N_1	KulturaY
1	в том что	1	15
2	в том чтобы	1	8
3	только потому что	1	6
4	с другой стороны	2	6
5	о том что	1	5
6	в зависимости от	1	5
7	во всяком случае	1	5
8	до сих пор	1	4
9	не в том	1	4
10	в этом смысле	2	3
11	можно было бы	1	3
12	вместе с тем	2	3
13	не может быть	4	3
14	и того же	1	2
15	и потому что	1	2
16	в том и	2	2
17	потому что не	1	2
18	не имеют уже	1	2
19	того чтобы быть	1	2
20	одного и того	1	2
21	к себе отношения	1	1
22	не в силах	1	1
23	что в этом	1	1
24	значение все это	1	1
25	с одной стороны	2	1
26	для себя и	1	1
27	том случае если	1	1
28	сами по себе	1	1
29	в отличие от	1	1
30	мы говорим о	1	1
31	в наше время	3	1
32	но для этого	1	1
33	большую роль в	2	1
34	и не в	1	1
35	в том случае	1	1
36	не только в	1	1
37	не может уже	2	1
38	к вопросу о	1	1
39	потому что такова	1	1
40	и вместе с	1	1
41	это не значит	2	1
42	в том смысле	1	1
43	та или иная	1	1
44	когда мы говорим	2	1
45	так же как	2	1
46	лицом к лицу	3	1
47	лишь в том	1	1
48	не только потому	1	1
49	общества конечно не	1	1
50	совсем не в	2	1
51	в большинстве случаев	1	1
52	было бы сказать	1	1
