N	3gram	Tiupa_Teor_1	Mirosoze
1	не может быть	4	17
2	и в этой	1	4
3	заключает в себе	1	3
4	– один из	1	3
5	по отношению к	4	2
6	но он не	1	2
7	не могут быть	2	2
8	в то время	1	2
9	для того чтобы	1	2
10	красота – это	1	1
11	что иное как	1	1
12	– все это	1	1
13	– как будто	1	1
14	в русской поэзии	2	1
15	имеем в виду	3	1
16	в себе самом	1	1
17	ивана карамазова в	1	1
18	искусство никогда не	1	1
19	если он не	1	1
20	так и не	4	1
21	может быть назван	1	1
22	он мог бы	1	1
23	не все человеческие	1	1
24	том случае если	1	1
25	в иных случаях	1	1
26	в отличие от	6	1
27	жизни не в	1	1
28	но во всех	1	1
29	он ни был	1	1
30	в том случае	1	1
31	может быть и	2	1
32	не несет в	1	1
33	что в основе	2	1
34	в значительной степени	1	1
35	своем отношении к	1	1
36	несет в себе	2	1
37	как бы в	1	1
38	в отношении к	1	1
39	жизни а не	1	1
40	мы имеем в	3	1
41	о том что	1	1
42	но не в	1	1
43	не что иное	1	1
44	в том что	8	1
45	добро и зло	1	1
46	он не принадлежит	1	1
