N	3gram	Propp_Isto_2	EvropaiC
1	в том что	5	16
2	до сих пор	6	12
3	по отношению к	3	10
4	друг с другом	1	9
5	на самом деле	2	7
6	мы знаем что	10	7
7	на то что	2	7
8	друг от друга	1	6
9	в этом случае	5	4
10	к тому же	2	4
11	с другой стороны	2	4
12	не может быть	2	4
13	о том что	2	4
14	тем не менее	1	4
15	естественно поэтому что	1	3
16	так же как	4	3
17	так или иначе	1	3
18	в связи с	4	3
19	и может быть	2	2
20	не в состоянии	1	2
21	но так как	1	2
22	том что он	1	2
23	он все же	1	2
24	несмотря на то	1	2
25	вместе с тем	5	2
26	каждый из этих	1	2
27	с одной стороны	3	2
28	во всех этих	2	2
29	но все же	4	2
30	к тому времени	1	1
31	уже знаем что	2	1
32	мы можем сделать	1	1
33	и то же	1	1
34	с тем как	1	1
35	иметь в виду	2	1
36	не раньше чем	1	1
37	во всем мире	1	1
38	очень много но	2	1
39	приобщиться к ней	1	1
40	случаев в которых	2	1
41	на своем пути	1	1
42	в зависимости от	1	1
43	а может быть	1	1
44	именно в тех	1	1
45	и для европейца	1	1
46	в то что	1	1
47	за то что	1	1
48	точно так же	6	1
49	очень много и	1	1
50	может быть вполне	1	1
51	и на него	1	1
52	так и к	1	1
53	только в этом	1	1
54	стоит в связи	2	1
55	это может быть	1	1
56	выше мы видели	1	1
57	в высшей степени	1	1
58	на задний план	1	1
59	видели что при	1	1
60	все же остается	1	1
61	том что они	1	1
62	но вместе с	1	1
63	что у него	1	1
64	а на самом	1	1
65	и той же	1	1
66	вместо того чтобы	2	1
67	что при этом	1	1
68	но в сущности	1	1
69	образом мы видим	1	1
70	в тех случаях	1	1
71	надо сказать что	1	1
72	может рассматриваться как	1	1
73	таким образом мы	1	1
74	смысле этого слова	1	1
75	с самого начала	2	1
76	не только не	1	1
77	по его мнению	1	1
78	мы видели что	1	1
79	тех случаях когда	1	1
80	в другом случае	1	1
81	мы видим что	5	1
82	одной и той	1	1
83	ясно показывают что	1	1
84	и в нем	1	1
85	мы уже знаем	3	1
86	надо иметь в	1	1
87	и в другом	1	1
