N	2gram	Ircho_Kome_1	FransuaR
1	и в	22	45
2	то есть	1	25
3	и не	8	15
4	в этом	3	14
5	но в	4	14
6	не только	10	14
7	во всех	1	13
8	и его	8	13
9	в его	5	13
10	как бы	1	12
11	во время	5	12
12	что в	6	12
13	то же	6	11
14	в своем	1	11
15	в то	10	11
16	право на	2	10
17	в нем	4	10
18	и с	3	10
19	как и	9	10
20	в том	11	10
21	но и	11	10
22	прежде всего	5	10
23	же время	4	9
24	в ней	1	8
25	таким образом	8	8
26	как мы	4	8
27	мира и	1	8
28	жизни и	1	8
29	вовсе не	2	8
30	и др	1	8
31	так же	3	8
32	также и	1	7
33	он был	2	7
34	мы видели	2	7
35	том что	12	7
36	не в	6	7
37	потому что	5	7
38	что и	4	7
39	в конце	6	7
40	и все	3	7
41	все это	5	7
42	в этой	7	6
43	он не	3	6
44	в них	3	6
45	того чтобы	1	6
46	так и	5	6
47	что он	6	6
48	так как	4	6
49	для того	1	6
50	одним из	1	5
51	на самом	1	5
52	здесь и	2	5
53	с ее	2	5
54	и на	3	5
55	хотя и	3	5
56	и как	3	5
57	и к	1	5
58	в себя	2	5
59	и у	3	5
60	на этом	2	5
61	его в	3	5
62	с ним	1	5
63	этом отношении	3	5
64	одной из	3	5
65	как раз	3	5
66	не может	2	5
67	но это	2	5
68	же как	3	4
69	в доме	2	4
70	мы уже	1	4
71	той же	1	4
72	мы не	3	4
73	и о	3	4
74	в сущности	2	4
75	но не	2	4
76	в общем	1	4
77	перед нами	1	4
78	в самом	2	4
79	тому же	6	4
80	по своему	3	4
81	об этом	1	4
82	зрения на	1	4
83	это было	1	4
84	не мог	3	4
85	точки зрения	4	4
86	в их	4	4
87	эпизоде с	1	4
88	у него	3	4
89	и это	1	4
90	можно было	1	4
91	ничего не	3	4
92	и здесь	2	4
93	о том	8	4
94	и во	2	4
95	только в	3	4
96	в первой	2	4
97	с этим	1	4
98	и даже	5	4
99	здесь в	3	4
100	сказать что	1	4
101	его как	1	4
102	чем же	2	4
103	как это	3	4
104	бы в	1	4
105	а также	4	4
106	а в	6	4
107	как на	1	4
108	по поводу	4	4
109	такой же	2	4
110	том числе	1	4
111	почти всегда	2	3
112	почти все	1	3
113	к началу	1	3
114	того же	2	3
115	и он	1	3
116	из этих	1	3
117	как в	5	3
118	как он	1	3
119	что она	1	3
120	связанные с	2	3
121	и вот	4	3
122	говорить в	1	3
123	ни в	6	3
124	до сих	2	3
125	в которых	1	3
126	не менее	3	3
127	но они	1	3
128	что на	1	3
129	от того	1	3
130	от их	1	3
131	с полной	1	3
132	в латинской	1	3
133	всего этого	2	3
134	то время	5	3
135	в другом	4	3
136	и внутреннее	1	3
137	жизни он	1	3
138	нуждается в	1	3
139	именно в	4	3
140	того что	1	3
141	и прежде	1	3
142	и одновременно	3	3
143	до нас	5	3
144	поэтому и	1	3
145	для всех	2	3
146	в одном	8	3
147	но он	2	3
148	еще и	2	3
149	на весь	1	3
150	о чем	1	3
151	связь с	1	3
152	вместе с	2	3
153	в течение	3	3
154	по существу	1	3
155	сих пор	2	3
156	и для	1	3
157	в году	3	3
158	находим в	1	3
159	на этот	1	3
160	и другие	1	3
161	и наиболее	1	2
162	ту же	2	2
163	можно говорить	1	2
164	чтобы не	1	2
