N	4gram	Bakhtin_Pr_3	Hudozhes
1	в то же время	12	6
2	одно и то же	1	3
3	одного и того же	1	3
4	в той или иной	2	2
5	и в то же	5	2
6	по отношению к герою	1	2
7	той или иной форме	1	1
8	чего бы то ни	2	1
9	однако в отличие от	1	1
10	бы то ни было	4	1
11	по отношению к самому	1	1
12	а в то же	1	1
13	кто бы они ни	1	1
14	с самим собою в	1	1
15	в отношении к нему	1	1
16	бы они ни были	1	1
17	в этом смысле можно	1	1
18	и по отношению к	1	1
19	из уст в уста	1	1
20	и в слове о	2	1
21	во всей своей полноте	1	1
