N	2gram	Bakhtin_Fr_3	IolandNe
1	и с	8	3
2	и не	13	2
3	в этом	15	2
4	он не	9	2
5	что в	12	2
6	ничего не	1	2
7	его произведения	2	1
8	все это	4	1
9	нисколько не	1	1
10	и др	7	1
11	и тот	1	1
12	а для	1	1
13	и в	40	1
14	и о	4	1
15	под редакцией	1	1
16	в эту	4	1
17	с жизнью	1	1
18	них не	1	1
19	комплекс в	1	1
20	того же	2	1
21	значительной мере	1	1
22	было не	1	1
23	с другой	2	1
24	это было	1	1
25	а в	3	1
26	вплоть до	3	1
27	доказать что	1	1
28	того что	1	1
29	в художественном	1	1
30	страхом перед	1	1
31	следовательно в	1	1
32	после смерти	1	1
33	как о	2	1
34	другой стороны	1	1
35	и еще	2	1
36	не так	3	1
37	для него	5	1
38	а также	4	1
39	в основе	5	1
40	что для	2	1
41	в значительной	3	1
42	и сам	2	1
43	отношению к	2	1
44	работы не	1	1
45	так и	3	1
46	он с	2	1
47	от этого	1	1
48	того чтобы	4	1
49	ученики и	1	1
50	во многом	1	1
51	никогда не	1	1
52	только для	3	1
53	не смерть	1	1
54	жизни и	4	1
55	и очень	2	1
56	бы все	1	1
57	эпизод с	2	1
58	тем что	3	1
59	в целом	2	1
60	по отношению	3	1
61	в них	9	1
62	все эти	8	1
63	но когда	1	1
64	со всеми	5	1
65	если бы	3	1
66	для того	3	1
