N	3gram	Trubetskoy_1	Dialekti
1	с точки зрения	6	14
2	в таком случае	1	10
3	тем не менее	3	10
4	не только не	1	7
5	не может быть	1	6
6	в самом деле	1	5
7	по крайней мере	5	5
8	о том что	4	5
9	в то время	1	4
10	крайней мере в	1	3
11	то ясно что	2	3
12	сами по себе	1	3
13	с одной стороны	7	3
14	в том что	3	3
15	на то что	2	3
16	только тогда когда	1	3
17	в силу этого	1	2
18	из двух или	1	2
19	но они не	1	2
20	точно так же	3	2
21	с тех пор	2	2
22	с этой точки	2	2
23	так же как	3	2
24	и в этом	2	2
25	одно из двух	1	2
26	с другой стороны	1	2
27	чтобы она была	1	2
28	во всяком случае	6	2
29	что учение о	1	2
30	этой точки зрения	2	2
31	иметь в виду	1	2
32	это и есть	1	2
33	что это есть	1	2
34	той или иной	2	2
35	и что она	1	2
36	только он один	1	2
37	к тому же	4	2
38	так или иначе	3	2
39	а потому что	1	1
40	и есть то	1	1
41	а следовательно и	1	1
42	о мире как	1	1
43	есть не более	1	1
44	тех пор как	1	1
45	ничем не отличаются	1	1
46	потому что в	1	1
47	чем именно заключается	1	1
48	имеем в виду	1	1
49	то в силу	1	1
50	самом деле если	1	1
51	то же самое	2	1
52	оно превращается в	1	1
53	не отличаются от	1	1
54	до сих пор	5	1
55	одно из таких	1	1
56	и в то	1	1
57	друг на друга	2	1
58	не имеет никакого	1	1
59	в этом отношении	2	1
60	да и сами	1	1
61	до самого основания	1	1
62	а так как	3	1
63	в данном случае	1	1
64	и что он	1	1
65	тот факт что	1	1
66	таком случае эта	1	1
67	пор как этот	1	1
68	как на нечто	1	1
69	или по крайней	1	1
70	не в том	1	1
71	так и от	2	1
72	должны признать что	2	1
73	и таким образом	3	1
74	более или менее	5	1
75	ни к чему	1	1
76	то же время	2	1
77	к чему не	1	1
78	что он существует	1	1
79	из себя не	1	1
80	в одном из	1	1
81	и живых существ	1	1
82	и никогда не	1	1
83	в чем именно	1	1
84	бы то ни	2	1
85	речь идет о	1	1
86	то ни было	2	1
87	мы имеем в	1	1
88	точки зрения подлинной	1	1
89	том что все	1	1
90	отдельных единиц в	1	1
91	это есть продукт	1	1
92	в то же	2	1
93	в связи с	3	1
94	и ничто не	1	1
95	не более как	1	1
96	в себе не	1	1
97	что и в	1	1
