N	2gram	Tiupa_Teor_1	StatiiOP
1	и в	18	29
2	в том	16	27
3	том что	9	27
4	в этом	8	21
5	но и	9	19
6	что в	9	19
7	не только	16	19
8	о том	1	17
9	пушкиным в	1	14
10	в его	6	13
11	что он	1	13
12	то что	3	11
13	в которой	2	11
14	все это	2	11
15	таким образом	3	10
16	к тому	2	10
17	так и	10	9
18	он не	3	9
19	потому что	3	9
20	и не	13	9
21	в своем	4	9
22	как раз	2	8
23	по поводу	1	8
24	но в	9	8
25	в своей	6	7
26	с тем	1	7
27	вместе с	2	7
28	для того	1	7
29	не столько	1	7
30	тому что	2	7
31	в самом	4	7
32	я не	2	7
33	в виду	5	7
34	одним из	2	6
35	вопрос о	1	6
36	вовсе не	3	6
37	об этом	2	6
38	в одном	2	6
39	и его	8	6
40	и на	1	6
41	и что	3	6
42	того чтобы	1	6
43	прежде всего	2	5
44	точки зрения	9	5
45	того что	4	5
46	в той	2	5
47	между тем	5	5
48	в качестве	24	5
49	своего рода	7	5
50	о чем	1	5
51	была бы	3	5
52	а не	9	5
53	было бы	1	5
54	как бы	5	5
55	в русской	6	5
56	но с	1	4
57	в частности	16	4
58	в другом	3	4
59	связи с	1	4
60	после того	1	4
61	в нем	4	4
62	действующих лиц	1	4
63	не в	7	4
64	для него	2	4
65	хотя и	3	4
66	времени и	2	4
67	и к	3	4
68	дело в	2	4
69	и о	4	4
70	в романе	3	4
71	именно в	3	4
72	должен был	1	4
73	с другой	7	4
74	и здесь	2	3
75	отношении к	2	3
76	как у	1	3
77	с нею	1	3
78	но он	3	3
79	могло быть	2	3
80	на нее	1	3
81	так же	2	3
82	еще и	1	3
83	не было	1	3
84	не менее	4	3
85	наконец в	1	3
86	за свою	1	3
87	что это	1	3
88	по себе	1	3
89	в их	2	3
90	но не	9	3
91	в году	1	3
92	оно не	1	3
93	одной из	2	3
94	например в	1	3
95	иметь в	1	3
96	отношений между	1	3
97	никогда не	4	3
98	и даже	2	3
99	в этих	3	3
100	на вопрос	1	3
101	так что	1	3
102	идет о	1	3
103	как в	5	3
104	у нас	2	3
105	подчеркнуть что	1	3
106	ни в	2	3
107	а с	3	3
108	русского языка	1	3
109	тем что	1	3
110	нельзя не	1	3
111	не могло	2	3
112	другой стороны	5	3
113	же как	1	3
114	в известном	1	3
115	обращает на	1	3
116	на себя	2	3
117	не является	4	3
118	из них	1	3
119	и по	2	3
120	все эти	2	2
121	в литературных	1	2
122	в значительной	1	2
123	на его	1	2
124	за него	1	2
125	тогда как	15	2
126	как и	4	2
127	говорит о	1	2
128	бы то	1	2
129	того же	3	2
130	что они	1	2
131	и который	2	2
132	не может	4	2
133	случае не	2	2
134	на это	1	2
135	не по	1	2
136	в сочетании	2	2
137	по пути	3	2
138	из москвы	1	2
139	на произведение	1	2
140	искусства и	1	2
141	в себе	9	2
142	на то	1	2
143	только о	1	2
144	как следствие	1	2
145	в какой	2	2
146	той мере	1	2
147	бы ни	1	2
148	это еще	1	2
149	даже в	3	2
150	и другие	2	2
151	в конце	2	2
152	в области	4	2
153	дело не	2	2
154	как это	8	2
155	первой части	2	2
156	и те	1	2
157	себя внимание	1	2
158	как говорит	3	2
159	в это	1	2
160	в то	6	2
161	тем в	1	2
162	если не	1	2
163	и теперь	1	2
164	его в	2	2
165	и я	1	2
166	с политической	1	2
167	с той	1	2
168	в ее	5	2
169	о мире	1	2
170	совершенно не	1	2
171	по этому	1	2
172	раз в	1	2
173	особенно в	1	2
174	а затем	1	2
175	тем же	1	2
176	на меня	3	2
177	то ни	1	2
178	к своему	1	2
179	значительной степени	1	2
180	то же	7	2
181	из его	1	2
182	с точки	3	2
183	и сам	1	2
184	в статье	1	2
185	они не	1	2
186	в словаре	2	2
187	пребывания в	1	2
188	отличие от	6	2
189	ее в	2	2
190	на почве	4	2
191	не на	2	2
192	в одной	1	2
193	сравнении с	1	2
194	в отношении	3	2
195	сочетании с	2	2
196	и это	2	2
197	и потому	2	2
198	на первом	1	2
199	такого рода	8	2
200	тем не	3	2
201	только в	6	2
202	или менее	2	2
203	это было	2	2
204	со стороны	2	2
205	если бы	3	2
206	по своему	2	2
207	более или	2	2
208	в них	2	2
209	в особенности	1	2
210	только не	2	2
211	ни было	1	2
212	в этой	3	2
213	мере в	1	2
214	том же	1	2
215	при этом	12	2
216	в каком	1	2
217	нигде не	1	2
218	только к	1	2
219	что и	2	2
220	в театральном	1	2
221	в полной	1	2
222	в отличие	6	2
223	в результате	1	2
224	языка в	4	2
225	с его	5	2
226	в которую	1	2
227	также и	1	2
228	ему не	1	2
229	а также	6	2
230	меня в	1	2
231	и вся	1	2
232	по существу	1	2
233	может быть	17	2
234	сказать что	3	2
235	и др	1	2
236	никак не	1	2
237	лирической поэзии	1	2
238	так как	1	2
239	от его	1	2
240	и как	2	2
241	не могли	1	2
242	не своей	1	2
243	и более	1	2
244	в данном	8	2
245	реальности но	1	1
246	для такого	1	1
247	одну из	1	1
248	относится не	1	1
249	русской поэзии	2	1
250	себе отчет	1	1
251	и исторической	1	1
252	с речью	1	1
253	места в	1	1
254	бы в	1	1
255	к которому	3	1
256	еще не	4	1
257	одно и	1	1
258	же время	5	1
259	истинный смысл	1	1
260	данном случае	5	1
261	в связи	1	1
262	в поле	1	1
263	говорить о	3	1
264	можно сказать	3	1
265	место в	5	1
266	об отсутствии	1	1
267	берет под	1	1
268	общения между	2	1
269	или в	3	1
270	в стихах	1	1
271	в двух	1	1
272	для которого	1	1
273	отличается от	2	1
274	не будет	2	1
275	в более	1	1
276	нет в	1	1
277	и для	2	1
278	данном контексте	1	1
279	эти два	1	1
280	ценность и	1	1
281	в поэзии	2	1
282	здесь не	1	1
283	имеет значение	1	1
284	и их	1	1
285	отвечая на	1	1
286	только на	1	1
287	и жизни	1	1
288	к числу	1	1
289	вы говорите	1	1
290	известном смысле	1	1
291	одновременно и	1	1
292	отказаться от	1	1
293	например слова	1	1
294	значение для	1	1
295	основания для	1	1
296	с самим	1	1
297	до прихода	2	1
298	которой обладают	1	1
299	у себя	1	1
300	из того	1	1
301	каждого из	1	1
302	произведения именно	1	1
303	у него	1	1
304	имея в	1	1
305	социального поведения	1	1
306	перевод с	1	1
307	над его	1	1
308	том в	1	1
309	в условиях	1	1
310	в бою	1	1
311	с другими	5	1
312	суда над	1	1
313	а на	3	1
314	если она	1	1
315	а между	1	1
316	вследствие этого	1	1
317	так в	4	1
318	которыми он	1	1
319	говорил о	1	1
320	жизнь в	1	1
321	разного рода	1	1
322	а в	13	1
323	пушкина что	2	1
324	это имеет	1	1
325	образа в	1	1
326	о в	2	1
327	возможным в	1	1
328	в принципе	4	1
329	разрешения проблемы	1	1
330	совсем не	1	1
331	независимо от	1	1
332	нуждается в	1	1
333	всех литературных	1	1
334	и такие	1	1
335	жизни в	2	1
336	внешнего мира	2	1
337	а тем	1	1
338	вокруг него	1	1
339	служить и	1	1
340	всего что	1	1
341	этом смысле	2	1
342	для установления	1	1
343	отношение к	5	1
344	к какой	1	1
345	и некоторые	2	1
346	до нас	1	1
347	между ними	4	1
348	в таких	1	1
349	непременным условием	1	1
350	большей части	1	1
351	отчет в	1	1
352	но как	1	1
353	более чем	1	1
354	тот же	1	1
355	и то	2	1
356	не с	3	1
357	именно эта	1	1
358	что для	1	1
359	статье о	1	1
360	для понимания	2	1
361	их не	1	1
362	через посредство	1	1
363	я это	1	1
364	в момент	2	1
365	не могут	2	1
366	по отношению	4	1
367	ее составе	1	1
368	и ему	1	1
369	на всех	1	1
370	виду что	1	1
371	речь в	1	1
372	и без	1	1
373	на свою	1	1
374	в том-то	1	1
375	том-то и	1	1
376	говорят о	1	1
377	со всех	1	1
378	и принципиальной	1	1
379	как мы	1	1
380	иначе в	1	1
381	из этих	3	1
382	и слово	1	1
383	из этого	1	1
384	данном отношении	1	1
385	что хотят	1	1
386	переход к	1	1
387	русском языке	1	1
388	с которым	1	1
389	поэтического слова	1	1
390	о каком	1	1
