N	3gram	Berdyaev_M_2	Istorich
1	в том что	2	5
2	до сих пор	3	4
3	о том что	2	4
4	но так как	1	3
5	не может быть	8	3
6	потому что он	2	2
7	том что в	1	2
8	но и в	1	2
9	приводит нас к	1	2
10	так как он	2	2
11	т е в	2	2
12	по отношению к	2	2
13	после того как	2	2
14	как и в	2	2
15	что и в	4	2
16	что иное как	3	1
17	в этом мире	1	1
18	его в свое	1	1
19	мы видим в	1	1
20	должны быть признаны	1	1
21	на земле но	1	1
22	в которых он	1	1
23	том что он	1	1
24	ли сказать что	1	1
25	же как и	3	1
26	можно ли сказать	1	1
27	никогда не будет	1	1
28	никогда не видел	1	1
29	сих пор не	1	1
30	но он же	1	1
31	друг на друга	1	1
32	в свою противоположность	2	1
33	но это не	2	1
34	другого человека убивает	1	1
35	который может быть	1	1
36	так же как	3	1
37	не потому что	1	1
38	нет в ней	1	1
39	она не знает	2	1
40	и не могу	1	1
41	с такой силой	1	1
42	и сам он	1	1
43	в этом направлении	1	1
44	но на них	1	1
45	что у него	1	1
46	по ту сторону	1	1
47	есть не что	3	1
48	принадлежат к самым	1	1
49	от того что	3	1
50	не означает что	1	1
51	и те же	2	1
52	подобно тому как	2	1
53	это приводит нас	1	1
54	на то что	1	1
55	как будто что-то	1	1
56	свою противоположность в	1	1
57	не что иное	3	1
58	для того чтобы	4	1
59	смысле этого слова	1	1
60	и этим он	1	1
