N	3gram	Vinokur_St_1	KulturaY
1	и т п	9	41
2	с точки зрения	8	16
3	для того чтобы	10	11
4	в самом деле	5	11
5	можно было бы	8	10
6	тем не менее	2	9
7	в том что	17	8
8	до сих пор	7	8
9	и т д	21	8
10	в зависимости от	1	7
11	той или иной	1	5
12	с одной стороны	2	4
13	в том случае	1	4
14	и в этом	3	4
15	в этом случае	2	4
16	и в самом	3	4
17	после того как	1	4
18	в данном случае	6	4
19	о том что	11	3
20	на мой взгляд	1	3
21	в первую очередь	2	3
22	с другой стороны	6	3
23	на самом деле	6	3
24	а с другой	1	3
25	сих пор еще	1	3
26	то обстоятельство что	2	3
27	не только в	4	3
28	и в области	4	3
29	т п в	3	3
30	в том чтобы	1	3
31	так и в	4	3
32	т п но	1	3
33	того или иного	4	3
34	не может быть	5	3
35	только то что	1	2
36	на точку зрения	2	2
37	не говоря уже	1	2
38	в том числе	2	2
39	самом деле не	1	2
40	одним и тем	2	2
41	что же до	1	2
42	в первом издании	1	2
43	дело не в	2	2
44	не в том	2	2
45	что и в	4	2
46	тем более что	2	2
47	и тем же	2	2
48	по отношению к	3	2
49	как в области	1	2
50	говоря уже о	1	2
51	но если это	2	2
52	я имею в	1	2
53	смысле этого слова	1	2
54	в своей статье	4	2
55	в свое время	2	2
56	только в том	3	2
57	то или иное	3	2
58	в той или	1	2
59	имею в виду	1	2
60	для каждой из	1	2
61	заключается в том	3	1
62	а в том	1	1
63	каждой из этих	1	1
64	п но если	1	1
65	во что бы	1	1
66	в области собственно	1	1
67	в этом смысле	1	1
68	так же как	3	1
69	те или иные	1	1
70	в стилистическом отношении	1	1
71	не сомневаюсь что	1	1
72	не все благополучно	1	1
73	в одном из	1	1
74	как в самом	1	1
75	в то же	4	1
76	что он в	1	1
77	в одной из	1	1
78	в области так	1	1
79	бы то ни	1	1
80	решительно ни на	1	1
81	на этот вопрос	1	1
82	в вопросе о	1	1
83	пушкина и в	1	1
84	что они являются	1	1
85	заключается вовсе не	1	1
86	надо думать будто	1	1
87	том чтобы выяснить	1	1
88	в той мере	1	1
89	том-то и дело	1	1
90	по меньшей мере	3	1
91	тем что в	2	1
92	в другом месте	1	1
93	и в то	1	1
94	вопрос о значении	1	1
95	точки зрения их	2	1
96	в иных случаях	2	1
97	у пушкина но	2	1
98	чуть ли не	2	1
99	т д но	4	1
100	а не для	1	1
101	т е в	2	1
102	вовсе не в	2	1
103	может быть и	2	1
104	за кого же	1	1
105	а может быть	1	1
106	по этому поводу	2	1
107	в данном отношении	5	1
108	той и другой	1	1
109	с нашей точки	1	1
110	к тому что	1	1
111	насчет того что	1	1
112	хотя бы и	2	1
113	мы приходим к	1	1
114	и тех же	1	1
115	что бы то	1	1
116	тем или иным	3	1
117	данном случае можно	1	1
118	вовсе еще не	1	1
119	в целом ряде	1	1
120	вопросы связанные с	2	1
121	мере в какой	2	1
122	ни одного слова	1	1
123	то ни стало	1	1
124	и о том	1	1
125	ответа на вопрос	1	1
126	на той же	1	1
127	во всяком случае	6	1
128	и дело что	1	1
129	не надо думать	1	1
130	то что он	1	1
131	и не может	1	1
132	них вообще можно	1	1
133	и я не	1	1
134	школьной грамматикой то	1	1
135	обязывает нас к	1	1
136	целый ряд таких	1	1
137	в то время	2	1
138	на вопрос в	1	1
139	д и т	1	1
140	более что и	1	1
141	само собой разумеется	1	1
142	в то или	1	1
143	не стоило бы	1	1
144	всякий раз когда	1	1
145	никто не станет	1	1
146	в том смысле	2	1
147	ту или иную	1	1
148	есть такой же	1	1
149	она не могла	1	1
150	оно свидетельствует о	1	1
151	и в отношении	1	1
152	т е с	3	1
153	что он не	1	1
154	в том отношении	4	1
155	не могут и	1	1
156	перестает уже быть	1	1
157	и вы увидите	1	1
158	на вопрос о	2	1
159	которых мы называем	1	1
160	то же время	4	1
161	но все же	3	1
162	но также и	4	1
163	нашей точки зрения	1	1
164	также и такие	2	1
165	если судить по	1	1
166	той мере в	1	1
167	себе целью дать	1	1
168	на язык и	1	1
169	том смысле что	1	1
170	я не сомневаюсь	1	1
171	кого же нужно	1	1
172	это и в	1	1
173	в равной мере	2	1
174	далеко не все	1	1
175	именно в том	1	1
176	но и в	2	1
177	не имеет ничего	2	1
178	это вовсе не	1	1
179	если бы все	1	1
180	уже о том	1	1
181	быть не может	1	1
182	друг от друга	1	1
183	т п которые	1	1
184	также и в	1	1
185	дело именно так	1	1
186	является не только	1	1
187	целом ряде случаев	1	1
188	беда не в	1	1
189	этот вопрос в	1	1
190	что же касается	3	1
191	деле вовсе не	2	1
192	не так уж	1	1
193	говорить как о	1	1
194	том отношении что	2	1
195	это не значит	3	1
196	о них вообще	1	1
197	одних и тех	1	1
198	т д и	2	1
199	как увидим ниже	1	1
200	как и всякая	1	1
201	точки зрения как	1	1
202	вы увидите что	1	1
203	а вовсе не	1	1
204	потому что он	1	1
205	мы говорим о	1	1
206	в том-то и	1	1
207	то тем самым	1	1
208	обратить внимание на	1	1
209	он не знает	1	1
210	ставит себе целью	3	1
211	по крайней мере	2	1
212	а во втором	1	1
