N	2gram	Trubetskoy_1	IolandNe
1	и с	7	3
2	и не	19	2
3	должен быть	1	2
4	в этом	17	2
5	он не	5	2
6	самого себя	7	2
7	что в	4	2
8	нисколько не	2	1
9	что для	3	1
10	все эти	2	1
11	то и	1	1
12	с другой	1	1
13	для него	6	1
14	того чтобы	8	1
15	того что	3	1
16	бы все	1	1
17	и серьезно	2	1
18	отношению к	1	1
19	и о	2	1
20	не так	2	1
21	говорить о	3	1
22	же это	1	1
23	что при	1	1
24	тех же	1	1
25	так и	1	1
26	его личности	1	1
27	и ничего	1	1
28	но когда	1	1
29	доказать что	1	1
30	неудивительно что	1	1
31	в основе	1	1
32	могло бы	1	1
33	жизни и	4	1
34	по отношению	2	1
35	было не	1	1
36	себя в	4	1
37	стало быть	1	1
38	у всех	1	1
39	если бы	6	1
40	того же	1	1
41	от этого	1	1
42	а с	2	1
43	личности для	1	1
44	в значительной	3	1
45	только для	2	1
46	и тот	2	1
47	значительной мере	2	1
48	бы его	2	1
49	для того	6	1
50	есть только	1	1
51	бы в	1	1
52	а в	5	1
53	очевидно что	1	1
54	по существу	5	1
55	и в	14	1
56	как только	1	1
57	придется не	1	1
58	все это	6	1
59	тем что	3	1
60	а по	1	1
61	а если	1	1
62	он с	1	1
63	за границей	1	1
64	никогда не	5	1
65	данной личности	1	1
66	и задача	1	1
67	и без	1	1
