N	2gram	Losev_Vesc_1	VrazhdaK
1	не только	36	9
2	в этом	4	8
3	и в	21	8
4	и что	15	8
5	но и	18	7
6	и все	5	7
7	то что	27	7
8	что в	9	7
9	все же	4	6
10	но в	5	6
11	в нем	2	6
12	как и	8	6
13	в котором	3	6
14	и с	8	6
15	о нем	1	6
16	и даже	6	6
17	– это	1	6
18	то же	6	5
19	об этом	3	5
20	в то	3	5
21	у него	2	5
22	не было	1	5
23	в россии	2	5
24	и не	29	5
25	в ней	12	4
26	что он	1	4
27	в истории	1	4
28	при этом	1	4
29	это не	5	4
30	несмотря на	1	4
31	все это	5	4
32	в виду	2	4
33	с ним	8	4
34	о том	6	4
35	для нас	2	4
36	уже в	1	4
37	может быть	16	4
38	как бы	12	4
39	в своих	1	4
40	так же	1	4
41	я не	4	3
42	в чем	6	3
43	с его	1	3
44	в своем	6	3
45	и как	8	3
46	раз в	1	3
47	на то	4	3
48	его в	2	3
49	далеко не	1	3
50	и уже	1	3
51	том что	8	3
52	но он	2	3
53	что есть	5	3
54	и его	2	3
55	человека в	1	3
56	и о	3	3
57	что у	5	3
58	и во	3	3
59	в его	2	3
60	в том	8	3
61	и у	3	3
62	в конце	2	3
63	тем что	2	3
64	в те	1	3
65	наряду с	1	3
66	т е	55	3
67	к этому	1	3
68	же как	1	2
69	и то	10	2
70	но после	1	2
71	и он	1	2
72	в эти	1	2
73	тогда как	1	2
74	отнюдь не	5	2
75	в той	3	2
76	его на	1	2
77	в этой	3	2
78	в себе	14	2
79	о которой	2	2
80	в нашей	1	2
81	их в	3	2
82	таким образом	8	2
83	мне и	1	2
84	а с	3	2
85	мы знаем	1	2
86	не мог	1	2
87	точки зрения	5	2
88	в своей	5	2
89	и ее	18	2
90	с точки	3	2
91	не менее	3	2
92	одна из	5	2
93	никогда не	2	2
94	к себе	4	2
95	его с	1	2
96	на это	4	2
97	и это	14	2
98	же не	1	2
99	на основе	1	2
100	в в	2	2
101	так в	1	2
102	еще не	8	2
103	а также	1	2
104	с нею	18	2
105	уже не	9	2
106	при помощи	2	2
107	из них	4	2
108	его и	2	2
109	для него	4	2
110	отношение к	1	2
111	как раз	9	2
112	как же	3	2
113	с которым	1	2
114	о чем	1	2
115	деталей и	1	2
116	не может	17	2
117	вместе с	1	2
118	и а	2	2
119	в него	1	2
120	в это	1	2
121	но это	10	2
122	что я	24	2
123	же в	1	2
124	а в	4	2
125	в свою	4	2
126	это в	1	2
127	себя как	2	1
128	можно говорить	2	1
129	также и	6	1
130	от вас	1	1
131	в рукописи	1	1
132	человека и	1	1
133	как имя	2	1
134	что образ	2	1
135	того же	5	1
136	это и	6	1
137	и есть	26	1
138	ему не	1	1
139	о чисто	1	1
140	по преимуществу	2	1
141	едва ли	1	1
142	имя его	1	1
143	из всех	1	1
144	не вдаваясь	1	1
145	той же	2	1
146	именно к	1	1
147	иметь никакого	1	1
148	еще до	1	1
149	равно как	2	1
150	говорить о	6	1
151	в полной	1	1
152	это отношение	1	1
153	ему в	1	1
154	имя и	6	1
155	утверждаю что	3	1
156	а еще	1	1
