N	3gram	Propp_Morf_1	Psycholo
1	совершенно ясно что	1	14
2	в том что	3	9
3	не может быть	9	8
4	на то что	2	8
5	и т д	39	8
6	о том что	1	7
7	во всяком случае	2	6
8	то время как	3	5
9	в то время	3	5
10	подобно тому как	5	5
11	с другой стороны	4	5
12	с одной стороны	1	5
13	для того чтобы	2	5
14	как и в	2	4
15	до сих пор	1	3
16	в собственном смысле	3	3
17	точно так же	1	3
18	хотя и не	1	2
19	состоит в том	2	2
20	более или менее	2	2
21	в настоящее время	3	2
22	мы не можем	1	2
23	с точки зрения	2	2
24	в таком случае	1	2
25	в этом отношении	1	2
26	в том случае	1	2
27	ясно что и	1	2
28	тех или иных	1	2
29	собственном смысле слова	3	2
30	мы увидим что	1	2
31	в целом не	1	2
32	и таким образом	2	2
33	не означает что	1	2
34	и что следовательно	1	2
35	мы видим что	9	2
36	на самом деле	4	2
37	тем не менее	4	2
38	что и в	1	2
39	друг к другу	2	1
40	в чем же	1	1
41	потому что в	1	1
42	оно может быть	2	1
43	уже не может	1	1
44	а вовсе не	1	1
45	но то что	1	1
46	представители этой школы	1	1
47	но так как	1	1
48	во всем ее	1	1
49	и вслед за	1	1
50	том что он	1	1
51	и там где	1	1
52	мы должны будем	1	1
53	который позволил бы	1	1
54	при помощи которых	1	1
55	свои законы и	1	1
56	том случае если	1	1
57	отношении друг к	1	1
58	ни в коем	1	1
59	так как мы	1	1
60	независимо от того	3	1
61	то что в	2	1
62	мы увидим как	1	1
63	с этим и	1	1
64	мы приходим к	2	1
65	составные части но	1	1
66	и тем не	1	1
67	и не всегда	1	1
68	в коем случае	1	1
69	изучения в то	1	1
70	с известными формами	1	1
71	этой формы в	1	1
72	смысле слова она	1	1
73	не потому что	1	1
74	в первом случае	3	1
75	могут быть названы	1	1
76	мы скажем что	1	1
77	и то же	1	1
78	к другу и	2	1
79	если мы не	3	1
80	может быть дано	1	1
81	должны рассматриваться как	1	1
82	не могут быть	2	1
83	можно сравнить с	1	1
84	в какой степени	1	1
85	и пр как	1	1
86	приводит к тому	1	1
87	дело не в	2	1
88	в том или	1	1
89	в связи с	8	1
90	всем ее объеме	1	1
91	то что он	1	1
92	прежде всего и	1	1
93	это и не	2	1
94	на составные части	1	1
95	т д все	1	1
96	вместо того чтобы	1	1
97	бросается в глаза	1	1
98	образом мы видим	3	1
99	в тех случаях	2	1
100	хотя бы только	1	1
101	которое может быть	2	1
102	который может быть	1	1
103	то мы увидим	1	1
104	таким образом мы	5	1
105	коем случае не	1	1
106	вслед за этим	1	1
107	с самого начала	1	1
108	можно сказать что	1	1
109	статей и заметок	1	1
110	даже в тех	1	1
111	со всеми другими	1	1
112	отличие от других	1	1
113	может быть объяснено	1	1
114	одно и то	1	1
115	как раз обратное	1	1
116	а затем уже	1	1
