N	3gram	Losev_Dial_2	FransuaR
1	в то же	3	6
2	то же время	4	6
3	с точки зрения	8	5
4	мы уже говорили	1	5
5	не только в	2	5
6	но и в	1	4
7	до сих пор	2	4
8	не может быть	3	4
9	в этом отношении	1	3
10	с одной стороны	1	3
11	в свое время	1	3
12	о том что	4	3
13	большей или меньшей	1	3
14	с другой стороны	4	3
15	как мы уже	1	3
16	можно сказать что	3	2
17	но даже и	1	2
18	только то что	4	2
19	в себе и	1	2
20	о чем мы	1	2
21	и даже в	2	2
22	исторических лиц и	1	2
23	содержит в себе	3	2
24	и в то	1	2
25	по сравнению с	1	2
26	во всяком случае	2	2
27	но все же	1	2
28	подобно тому как	1	2
29	не есть его	1	1
30	только потому что	1	1
31	всем известно что	1	1
32	мы уже сказали	1	1
33	одной стороны и	1	1
34	так и его	1	1
35	и не может	1	1
36	в этих последних	1	1
37	и та же	4	1
38	на что не	1	1
39	на самом же	1	1
40	дело вовсе не	1	1
41	что в нем	2	1
42	и в литературе	1	1
43	в конце концов	1	1
44	в сущности это	1	1
45	если она и	1	1
46	и вообще всей	1	1
47	друг с другом	1	1
48	ни на что	1	1
49	не могут быть	2	1
50	из этих последних	1	1
51	одна и та	4	1
52	именно в том	1	1
53	того или иного	1	1
54	как и всякая	1	1
55	во всех своих	1	1
56	вовсе не в	3	1
57	здесь в связи	1	1
58	на самом деле	1	1
59	мы можем сказать	1	1
60	можем сказать что	1	1
61	глаза на новое	1	1
62	не только на	1	1
63	более и более	1	1
64	новой точки зрения	1	1
65	и прежде всего	2	1
66	мы будем говорить	1	1
67	самом же деле	1	1
68	и ни на	1	1
69	в том что	6	1
70	все более и	1	1
71	не нуждается в	3	1
72	только тогда когда	4	1
73	можно понимать как	1	1
