N	3gram	Losev_Prob_2	EvropaiC
1	в том что	4	16
2	до сих пор	4	12
3	на самом деле	2	7
4	на то что	4	7
5	более или менее	4	7
6	друг от друга	2	6
7	для того чтобы	2	6
8	в самом деле	2	5
9	о том что	14	4
10	в том случае	2	4
11	в конце концов	7	4
12	с другой стороны	5	4
13	может быть и	2	4
14	том случае если	1	4
15	в этом случае	7	4
16	в этой области	3	4
17	тем не менее	12	4
18	не может быть	3	4
19	заключается в том	2	3
20	так или иначе	6	3
21	отличаются друг от	1	3
22	так же как	1	3
23	в настоящее время	16	3
24	и то что	7	3
25	в связи с	5	3
26	не может не	1	3
27	в данном случае	5	3
28	в то же	4	2
29	бы то ни	2	2
30	в вопросе о	1	2
31	с одной стороны	5	2
32	то ни было	1	2
33	а с другой	1	2
34	мы сказали что	1	2
35	ничего общего с	2	2
36	друг к другу	2	2
37	но все же	1	2
38	что до сих	1	2
39	он не может	1	2
40	только то что	3	2
41	вместе с тем	1	2
42	мы все же	3	2
43	в нашем случае	1	2
44	во всяком случае	10	2
45	несмотря на то	1	2
46	то обстоятельство что	1	1
47	а в том	1	1
48	не тем что	1	1
49	и по своему	2	1
50	с самого начала	2	1
51	во всех отношениях	1	1
52	ввиду того что	1	1
53	между тем как	1	1
54	самом деле если	1	1
55	одной и той	2	1
56	в том числе	2	1
57	точно так же	3	1
58	из отдельных частей	1	1
59	элементы из которых	1	1
60	но даже в	1	1
61	что мы можем	1	1
62	до тех пор	4	1
63	указание на то	1	1
64	во многих отношениях	1	1
65	того что в	1	1
66	такое положение дела	2	1
67	мы не знаем	1	1
68	представление о том	1	1
69	тем что она	1	1
70	и не очень	1	1
71	а на самом	1	1
72	так и от	1	1
73	не только не	2	1
74	не во всех	2	1
75	так что в	2	1
76	одна из этих	1	1
77	а может быть	2	1
78	ни тем более	1	1
79	иметь в виду	1	1
80	даже в этом	1	1
81	это может быть	1	1
82	в другом случае	1	1
83	также и то	2	1
84	самого себя и	1	1
85	ни одна из	1	1
86	несмотря на всю	2	1
87	никак не может	2	1
88	то же самое	5	1
89	тот или иной	4	1
90	и не может	1	1
91	не есть нечто	1	1
92	как и вообще	1	1
93	и то же	1	1
94	может не быть	1	1
95	мысль о том	2	1
96	в том или	1	1
97	дело заключается в	1	1
98	но вместе с	1	1
99	совершенно ясно что	1	1
100	то ни другое	1	1
101	с большим трудом	1	1
102	мы говорили в	1	1
103	и той же	2	1
104	а так как	1	1
105	а для этого	1	1
106	или вовсе не	1	1
107	что многие из	1	1
108	ни то ни	1	1
109	только в этом	1	1
110	это было бы	1	1
111	что мы занимаемся	1	1
112	в чистом виде	3	1
113	пока еще не	4	1
114	в зависимости от	1	1
115	только в том	4	1
116	только тогда когда	3	1
117	та или иная	2	1
118	между прочим в	1	1
119	мы утверждаем что	1	1
120	том числе и	2	1
121	не говоря уже	4	1
122	уже о том	1	1
123	то время как	1	1
124	что в данном	1	1
125	не менее в	1	1
126	еще не вполне	1	1
127	на первый взгляд	1	1
128	то есть в	2	1
129	говоря уже о	4	1
130	ясно также и	2	1
131	если мы возьмем	2	1
132	свидетельствует о том	1	1
133	о котором мы	1	1
134	хотя бы в	1	1
135	том или ином	2	1
136	не отличается от	1	1
137	по крайней мере	6	1
138	в противоречие с	1	1
139	в то время	1	1
