1	у нас	2	3
2	все это	2	2
3	видеть в	1	2
4	больше чем	3	2
5	и не	11	2
6	не то	1	2
7	можно было	7	2
8	и в	28	1
9	все же	2	1
10	на самом	1	1
11	не только	16	1
12	далеко не	1	1
13	таким образом	18	1
14	об этом	1	1
15	в данном	2	1
16	а не	3	1
17	остановиться на	3	1
18	было бы	9	1
19	и более	2	1
20	и о	1	1
21	прежде всего	2	1
22	если таким	1	1
23	кроме того	1	1
24	и во	1	1
25	в пределах	5	1
26	то как	1	1
27	отнюдь не	1	1
28	и на	5	1
29	так и	6	1
30	меньшей мере	2	1
31	работу по	1	1
32	этим вопросам	2	1
33	между ними	7	1
34	никак не	1	1
35	и ее	1	1
36	на которой	1	1
37	еще не	8	1
38	какой-то не	1	1
39	в значительной	2	1
40	совершенно не	1	1
41	с другой	2	1
42	моментом в	2	1
43	в научном	1	1
44	в своей	2	1
45	самостоятельная и	1	1
46	а о	1	1
47	склонен видеть	1	1
48	короче говоря	1	1
49	до конца	3	1
50	тем более	1	1
51	что все	5	1
52	вопрос о	5	1
53	в области	6	1
54	за пределы	1	1
55	значение слова	3	1
56	что в	17	1
57	другой стороны	2	1
