N	2gram	Savitsky_E_1	DiskursI
1	в себе	9	19
2	при этом	1	17
3	в этом	12	16
4	как и	7	16
5	состоит в	1	16
6	и в	37	16
7	в качестве	14	16
8	может быть	6	16
9	и не	14	15
10	а не	2	14
11	отличие от	1	12
12	то есть	6	12
13	в отличие	1	12
14	в частности	5	12
15	тогда как	1	11
16	но в	14	11
17	представляет собой	3	11
18	в мире	2	11
19	но и	14	11
20	со стороны	5	10
21	не только	18	10
22	том что	6	10
23	так и	10	9
24	не может	9	9
25	как в	3	8
26	в том	11	8
27	а также	7	8
28	но не	5	7
29	в данном	3	7
30	в рамках	1	7
31	в нем	1	7
32	не менее	1	7
33	прежде всего	9	7
34	то же	15	6
35	с его	1	6
36	данном случае	2	6
37	отнюдь не	9	6
38	все же	1	6
39	в своей	8	6
40	тем самым	5	6
41	по своей	2	6
42	в своих	2	6
43	и на	6	5
44	в своем	14	5
45	в то	16	5
46	с другой	7	5
47	же время	14	5
48	что в	21	5
49	для него	1	5
50	то что	6	5
51	и то	2	4
52	по отношению	1	4
53	в этой	2	4
54	в основе	1	4
55	потому что	3	4
56	этом отношении	3	4
57	о том	3	4
58	в пределах	25	4
59	одного из	1	4
60	времени в	1	4
61	с одной	8	4
62	одно из	1	4
63	в одном	2	4
64	не сводится	1	4
65	одной стороны	8	4
66	как бы	6	4
67	ни для	1	4
68	не является	3	4
69	мира и	3	4
70	точки зрения	23	4
71	можно назвать	1	4
72	также и	7	3
73	например в	1	3
74	и ее	1	3
75	столь же	5	3
76	к жизни	1	3
77	и как	2	3
78	и наконец	2	3
79	все эти	1	3
80	претендовать на	1	3
81	он не	2	3
82	соответствии с	1	3
83	жизни но	1	3
84	одного и	1	3
85	в этих	2	3
86	в котором	2	3
87	одном из	2	3
88	не в	5	3
89	на рубеже	1	3
90	мире и	1	3
91	могут быть	2	3
92	той или	4	3
93	мысль о	1	3
94	еще в	1	3
95	мире в	1	3
96	в его	2	3
97	только в	9	3
98	и его	1	3
99	уже не	1	3
100	из них	3	3
101	в них	3	3
102	в исторической	1	3
103	или иной	4	3
104	не было	1	3
105	мира в	4	3
106	как будто	2	3
107	иначе говоря	2	3
108	можно сказать	4	3
109	но это	1	3
110	и того	2	3
111	и все	2	3
112	жизни в	3	3
113	жизни и	2	3
114	как на	3	3
115	же как	5	2
116	того же	3	2
117	и это	1	2
118	идет о	3	2
119	перед лицом	1	2
120	по преимуществу	2	2
121	характер как	1	2
122	являет собой	1	2
123	той же	1	2
124	место в	3	2
125	исторической перспективе	1	2
126	говорить о	1	2
127	в ней	4	2
128	в сочетании	1	2
129	не нужно	2	2
130	качестве примера	1	2
131	время в	3	2
132	большей части	2	2
133	к которой	1	2
134	более чем	2	2
135	стороны и	6	2
136	что как	1	2
137	не более	3	2
138	года или	1	2
139	должна быть	2	2
140	в принципе	1	2
141	не к	2	2
142	с таким	1	2
143	этом мире	1	2
144	заключает в	3	2
145	же касается	1	2
146	и с	2	2
147	входит в	1	2
148	который по	1	2
149	или из	1	2
150	должно быть	1	2
151	такой же	2	2
152	с точки	17	2
153	степи и	1	2
154	в обоих	1	2
155	дело в	3	2
156	никогда не	3	2
157	со своим	1	2
158	сводится к	1	2
159	что на	2	2
160	в области	11	2
161	указать на	1	2
162	жизнью и	1	2
163	с их	1	2
164	для себя	1	2
165	пожалуй и	2	2
166	с ее	1	2
167	говорит об	1	2
168	в результате	3	2
169	между тем	8	2
170	что и	3	2
171	себя с	1	2
172	которая в	1	2
173	который не	1	2
174	есть в	2	2
175	в большинстве	2	2
176	не о	1	2
177	бытия и	1	2
178	на примере	1	2
179	именно в	4	2
180	с той	1	2
181	далеко не	2	2
182	и прежде	3	2
183	по большей	1	2
184	в соответствии	1	2
185	не на	4	2
186	человеческой жизни	1	2
187	вместе с	2	2
188	или по	2	2
189	в той	5	2
190	или иного	4	2
191	что же	2	2
192	в свое	1	2
193	в формах	1	2
194	в полном	1	2
195	и для	3	2
196	а к	1	2
197	по природе	1	2
198	а в	2	2
199	с ней	1	2
200	другой стороны	2	2
201	это в	1	2
202	себя как	1	1
203	как нечто	1	1
204	вопросом не	2	1
205	речь идет	1	1
206	для этих	2	1
207	чтобы не	1	1
208	отметим что	1	1
209	тех же	1	1
210	но если	5	1
211	к созданию	1	1
212	есть не	2	1
213	мы не	4	1
214	начало в	2	1
215	вопрос о	4	1
216	сведена к	1	1
217	а для	1	1
218	как было	3	1
219	на практике	1	1
220	но даже	4	1
221	в некотором	4	1
222	и со	3	1
223	об их	1	1
224	оставляя открытым	1	1
225	и быта	1	1
226	а другие	1	1
227	он сам	2	1
228	людей в	1	1
229	бы то	4	1
230	железных дорог	1	1
231	истории в	1	1
232	во всех	6	1
233	тем как	1	1
234	в ее	8	1
235	чем это	1	1
236	точка зрения	2	1
237	в сторону	2	1
238	если в	2	1
239	с совершенно	1	1
240	вхождения в	1	1
241	а через	1	1
242	быть сведена	1	1
243	друг от	2	1
244	за пределы	1	1
245	в истории	2	1
246	в одной	1	1
247	некоторое время	1	1
248	ней в	1	1
249	однако не	1	1
250	хотя и	2	1
251	ценностей в	2	1
252	к числу	1	1
253	себе не	3	1
254	в этот	1	1
255	то в	4	1
256	в самом	4	1
257	как некий	1	1
258	таковы например	1	1
259	в нашем	1	1
260	значение так	1	1
261	о возможности	1	1
262	но на	3	1
