N	2gram	Losev_Vlad_3	Retstnzi
1	не может	14	4
2	и в	40	3
3	один из	1	2
4	если в	1	2
5	нет и	1	1
6	деятельности в	1	1
7	и можно	4	1
8	больше ничего	1	1
9	смысл и	1	1
10	и не	25	1
11	можно и	1	1
12	тому что	4	1
13	не только	25	1
14	связи с	2	1
15	этой проблемы	1	1
16	бы на	2	1
17	точки зрения	13	1
18	конечно и	1	1
19	на примере	1	1
20	во второй	1	1
21	но и	18	1
22	и должно	1	1
23	не менее	9	1
24	в системе	1	1
25	тех же	1	1
26	ничего кроме	1	1
27	по своим	1	1
28	в ней	5	1
29	может и	1	1
30	впадает в	1	1
31	с теми	1	1
32	в то	7	1
33	с точки	6	1
34	и на	6	1
35	категорий то	1	1
36	вопрос что	1	1
37	для него	8	1
38	мы видим	1	1
39	может не	1	1
40	и больше	1	1
41	сравнении с	2	1
42	к тому	7	1
43	а не	8	1
44	его от	1	1
45	может быть	8	1
46	вполне понятно	3	1
47	несмотря на	7	1
48	в его	14	1
49	с самых	1	1
50	он в	1	1
51	же время	2	1
52	без учета	1	1
53	то же	4	1
54	и все	4	1
55	из этих	3	1
56	если бы	3	1
57	исходя из	1	1
58	бы в	2	1
