N	3gram	Vinokur_Ku_2	PoTuStor
1	с точки зрения	8	6
2	на самом деле	2	4
3	с самого начала	1	4
4	в этом смысле	5	3
5	до сих пор	1	3
6	по крайней мере	6	3
7	по сравнению с	1	3
8	во всяком случае	5	3
9	не может быть	4	3
10	и пр и	1	3
11	может быть это	1	3
12	можно сказать что	2	3
13	в большинстве случаев	1	3
14	связанных с ними	1	2
15	так же как	2	2
16	в самом деле	7	2
17	не могут быть	1	2
18	нет никаких оснований	1	2
19	о том что	1	2
20	в конечном счете	2	2
21	пр и пр	1	2
22	не нуждается в	1	2
23	но так ли	1	1
24	то что я	1	1
25	не следует что	1	1
26	уже не может	3	1
27	дело в том	1	1
28	но даже и	2	1
29	сих пор еще	1	1
30	конечно не может	1	1
31	бы то ни	1	1
32	сказать что для	1	1
33	в этом отношении	3	1
34	можно было бы	9	1
35	свой смысл и	1	1
36	и говорить о	1	1
37	может быть только	2	1
38	с этой точки	2	1
39	вместе с тем	2	1
40	в каком отношении	1	1
41	только для того	1	1
42	и то содержание	1	1
43	том что мы	1	1
44	в данном случае	1	1
45	хотя и с	1	1
46	то ни было	1	1
47	с одной стороны	1	1
48	в пределах своего	1	1
49	в связи с	3	1
50	в году в	1	1
51	на это мы	1	1
52	значение как бы	1	1
53	в свое время	2	1
54	в том что	10	1
55	этой точки зрения	2	1
56	мы знаем его	1	1
57	связи с этим	1	1
58	и прежде всего	1	1
59	по его мнению	1	1
60	что иное как	1	1
61	мы знаем что	2	1
62	в этом своем	1	1
63	на этом пути	1	1
64	в том смысле	1	1
65	не что иное	1	1
66	для того чтобы	8	1
67	мы сталкиваемся с	1	1
68	как мы знаем	1	1
