N	3gram	Vygotskiy__5	Analitik
1	в том что	14	7
2	по отношению к	1	7
3	с другой стороны	5	5
4	о том что	6	5
5	мы имеем дело	1	4
6	по крайней мере	1	4
7	в свою очередь	1	4
8	и того же	2	3
9	до известной степени	1	3
10	в русской литературе	1	3
11	в данном случае	2	3
12	не только не	4	3
13	той или иной	2	3
14	одного и того	2	3
15	в этом отношении	3	3
16	дело в том	1	2
17	в ответ на	1	2
18	том что он	1	2
19	с точки зрения	2	2
20	одной и той	2	2
21	в отличие от	2	2
22	едва ли не	1	2
23	с одной стороны	12	2
24	а в том	1	2
25	в конечном счете	1	2
26	том что по	1	2
27	можно сказать что	2	2
28	совершенно очевидно что	2	2
29	и той же	2	2
30	и в сущности	1	1
31	что иное как	2	1
32	одном из двух	1	1
33	с ними в	1	1
34	мы будем иметь	1	1
35	то есть не	1	1
36	ощущать себя в	1	1
37	есть одна из	2	1
38	из этих трех	1	1
39	требует от нас	1	1
40	на самом деле	2	1
41	одной из этих	1	1
42	в самом деле	5	1
43	в этом смысле	1	1
44	в этом случае	2	1
45	обратим внимание на	1	1
46	как если бы	1	1
47	до сих пор	5	1
48	в зависимости от	6	1
49	что он не	1	1
50	естественно вытекают из	1	1
51	каждом отдельном случае	1	1
52	в сущности говоря	8	1
53	на этот вопрос	3	1
54	в основе своей	1	1
55	именно в этом	1	1
56	сам по себе	3	1
57	том что мы	2	1
58	в том чтобы	2	1
59	в противоречие с	1	1
60	не только в	2	1
61	тот факт что	4	1
62	в применении к	1	1
63	принадлежат к числу	1	1
64	не могут быть	1	1
65	и в этой	1	1
66	а с другой	4	1
67	и как бы	4	1
68	имеем дело с	1	1
69	а не как	1	1
70	совпадают с теми	1	1
71	в произведении искусства	1	1
72	как бы в	2	1
73	в полной мере	1	1
74	для того чтобы	19	1
75	один и тот	1	1
76	того или иного	1	1
77	и все же	1	1
78	не может быть	2	1
79	в эстетический объект	1	1
80	само по себе	2	1
81	то что не	1	1
82	вопрос о том	2	1
83	в себя и	1	1
84	именно потому что	2	1
85	речь идет о	1	1
86	они как бы	1	1
87	до тех пор	2	1
88	друг от друга	2	1
89	заключается в том	6	1
90	в каждом отдельном	1	1
91	не что иное	2	1
92	с первых же	1	1
93	в самом центре	1	1
94	обратить внимание на	2	1
95	в стихе как	1	1
96	и тот же	1	1
