N	3gram	Losev_Vlad_1	Otkroven
1	у него в	1	5
2	о человеке и	1	5
3	для того чтобы	2	3
4	и в этом	1	2
5	у него не	2	2
6	что у него	2	2
7	не может быть	3	2
8	с тем что	1	2
9	и никогда не	1	2
10	смысле этого слова	1	1
11	в обычном смысле	1	1
12	и ни с	1	1
13	ни с того	1	1
14	совсем не было	1	1
15	с того ни	1	1
16	в силу чего	1	1
17	и он был	1	1
18	потому что в	1	1
19	том что в	3	1
20	н к михайловского	2	1
21	ни с сего	1	1
22	был для него	2	1
23	у вл соловьева	13	1
24	в самом деле	1	1
25	все это было	2	1
26	и в том	1	1
27	и не очень	1	1
28	он не только	2	1
29	так и не	1	1
30	да и то	1	1
31	и когда он	1	1
32	в его жизни	1	1
33	людей но и	1	1
34	и не может	1	1
35	во всяком случае	2	1
36	и действительно в	1	1
37	было для него	1	1
38	и сразу же	1	1
39	даже и в	1	1
40	о том что	7	1
41	в этом отношении	1	1
42	как это часто	1	1
43	и все это	1	1
44	он говорит в	1	1
45	в том что	7	1
46	на то что	4	1
47	и то что	4	1
48	он никогда не	1	1
49	но он никогда	1	1
50	что он был	1	1
51	того ни с	1	1
