N	4gram	Tiupa_Anal_1	Psycholo
1	с этой точки зрения	1	4
2	одной и той же	1	3
3	не может быть сведена	1	2
4	может быть сведена к	1	2
5	в том и состоит	1	2
6	в собственном смысле слова	1	2
7	не в том чтобы	3	2
8	в той мере в	2	1
9	только тогда когда оно	1	1
10	одного и того же	2	1
11	в том числе и	1	1
12	до тех пор пока	1	1
13	в такой же мере	1	1
14	той мере в какой	2	1
15	одни и те же	1	1
16	один и тот же	1	1
17	но в таком случае	1	1
18	одно и то же	1	1
19	но это отнюдь не	1	1
20	в том или ином	2	1
21	не что иное как	4	1
22	в том случае если	1	1
23	о том что искусство	1	1
24	в коем случае не	2	1
25	состоит в том что	3	1
26	хотел сказать своим произведением	1	1
27	что в произведении искусства	1	1
28	том и состоит что	1	1
29	ни в коем случае	2	1
30	тех или иных элементов	1	1
