N	3gram	Losev_Prob_1	SlovoVZh
1	не может быть	2	7
2	можно сказать что	3	5
3	дело в том	3	4
4	в том что	5	4
5	тем не менее	18	3
6	сколько бы мы	2	3
7	бы то ни	1	3
8	может быть и	3	3
9	до сих пор	3	3
10	бы мы ни	1	3
11	и то же	1	2
12	мы никогда не	3	2
13	на самом деле	4	2
14	с другой стороны	3	2
15	то же самое	9	2
16	с точки зрения	3	2
17	до известной степени	1	2
18	мы можем сказать	1	2
19	но отнюдь не	3	2
20	одно и то	1	2
21	в данном случае	8	2
22	в настоящее время	3	2
23	ни на один	1	2
24	тех или иных	2	1
25	том что всякий	1	1
26	в виду и	2	1
27	нечто само собой	1	1
28	а между тем	1	1
29	и в этом	2	1
30	само собой разумеющееся	1	1
31	с большим трудом	1	1
32	так как будто	1	1
33	собой разумеющееся и	1	1
34	о том кто	1	1
35	с ним на	2	1
36	мы имеем дело	1	1
37	ровно ничего не	1	1
38	бы оно ни	1	1
39	то время как	1	1
40	одним и тем	1	1
41	более или менее	3	1
42	во всяком случае	3	1
43	мы уже сказали	1	1
44	в самом деле	2	1
45	в этом смысле	6	1
46	самом же деле	1	1
47	же как и	1	1
48	то что для	1	1
49	в то время	1	1
50	находит в нем	1	1
51	вступает в свои	1	1
52	в свои права	1	1
53	а не к	1	1
54	оно ни было	1	1
55	деле это не	1	1
56	мы в нем	1	1
57	но уже в	2	1
58	как в жизни	1	1
59	сам по себе	7	1
60	является то что	1	1
61	сами по себе	3	1
62	а эта последняя	1	1
63	но для этого	1	1
64	то что мы	6	1
65	вещи и не	2	1
66	на самом же	1	1
67	о том что	5	1
68	только то что	4	1
69	ничего общего с	7	1
70	в этом отношении	1	1
71	ясно что не	1	1
72	можно было бы	2	1
73	в пределах этого	1	1
74	внутренней и внешней	1	1
75	отношения между людьми	1	1
76	подобно тому как	2	1
77	как мы уже	1	1
78	в основе своей	1	1
79	или может быть	1	1
80	хотя и здесь	1	1
81	по крайней мере	2	1
82	в то же	4	1
83	в своей изоляции	1	1
84	как нечто само	1	1
85	не есть только	1	1
86	в том и	1	1
87	сама по себе	4	1
88	если бы оно	1	1
89	том что все	1	1
90	так же как	2	1
91	как и в	1	1
92	и тем же	1	1
93	в литературе и	4	1
94	сих пор мы	2	1
95	к тому же	1	1
96	но в то	1	1
97	едва ли кто-нибудь	1	1
98	и делает его	1	1
99	в том же	1	1
