N	3gram	Vinokur_St_1	NovoeSre
1	не может быть	5	4
2	в наше время	1	3
3	не значит что	3	3
4	никогда не было	1	2
5	в этом смысле	1	2
6	что в нем	2	2
7	так же как	3	2
8	с одной стороны	2	2
9	это не значит	3	2
10	с другой стороны	6	2
11	значит что в	1	2
12	вопрос о том	2	2
13	совсем не в	1	2
14	в том и	1	2
15	я думаю что	4	1
16	как я уже	1	1
17	а не в	1	1
18	на протяжении всей	1	1
19	то время как	1	1
20	в том числе	2	1
21	жизни и творчества	2	1
22	же как и	1	1
23	потому что не	1	1
24	а не для	1	1
25	до сих пор	7	1
26	и не может	1	1
27	в зависимости от	1	1
28	сами по себе	1	1
29	но и в	2	1
30	не быть в	1	1
31	том числе и	2	1
32	в то что	1	1
33	истории как и	1	1
34	можно было бы	8	1
35	и не в	1	1
36	в том случае	1	1
37	и в наши	1	1
38	другой же стороны	1	1
39	в том чтобы	1	1
40	вообще не существует	2	1
41	не только в	4	1
42	как будто бы	1	1
43	не в том	2	1
44	то что он	1	1
45	во всяком случае	6	1
46	я не могу	1	1
47	о том что	11	1
48	в то время	2	1
49	ни в чем	1	1
50	то что в	2	1
51	что в новом	2	1
52	не существует что	1	1
53	но я не	1	1
54	том что нет	1	1
55	в этой системе	1	1
56	мы говорим о	1	1
57	есть такой же	1	1
58	в том смысле	2	1
59	быть не может	1	1
60	в том что	17	1
61	как и в	2	1
62	с другой же	1	1
