N	3gram	Trubetskoy_1	Narrotol
1	в том что	15	8
2	с одной стороны	2	7
3	о том что	4	6
4	по отношению к	9	6
5	в том числе	1	6
6	не может быть	3	5
7	к тому же	5	4
8	но все же	2	4
9	все же не	3	4
10	в данном случае	3	4
11	том числе и	1	4
12	с другой стороны	4	4
13	в то же	2	3
14	бы то ни	2	3
15	то же время	2	3
16	то ни было	2	3
17	состоит в том	1	3
18	в свою очередь	2	3
19	тем не менее	4	3
20	так или иначе	5	2
21	состоит именно в	1	2
22	все та же	1	2
23	этой точки зрения	1	2
24	так же как	3	2
25	на первый взгляд	1	2
26	можно было бы	1	2
27	именно в том	1	2
28	более или менее	7	2
29	в связи с	3	2
30	в том или	1	2
31	точно так же	1	2
32	не может не	3	2
33	с точки зрения	8	2
34	а не в	1	2
35	то есть в	1	2
36	том или ином	1	2
37	не отличается от	1	2
38	это не так	1	1
39	при этом что	2	1
40	в данный момент	1	1
41	в том же	3	1
42	пока еще не	1	1
43	и то что	3	1
44	друг с другом	9	1
45	к одному из	1	1
46	не может порвать	1	1
47	перед нами два	1	1
48	от друга в	1	1
49	как и в	2	1
50	лет тому назад	1	1
51	и у нас	1	1
52	но по существу	1	1
53	может быть и	4	1
54	никогда не было	1	1
55	до сих пор	8	1
56	иметь в виду	1	1
57	не подлежит сомнению	3	1
58	а с другой	2	1
59	может показаться что	1	1
60	из них в	1	1
61	в этом последнем	1	1
62	тем более что	1	1
63	и того же	3	1
64	должна быть признана	1	1
65	что несмотря на	2	1
66	то же самое	1	1
67	приходится искать в	1	1
68	на самом деле	7	1
69	мысль о том	1	1
70	все то что	1	1
71	живет своей особой	1	1
72	он не может	2	1
73	том что оно	1	1
74	одного и того	3	1
75	двух или нескольких	2	1
76	с этой точки	1	1
77	независимо от того	1	1
78	только то что	2	1
79	так и для	2	1
80	так и от	1	1
81	в самом деле	5	1
82	и т.д в	1	1
83	в чистом виде	1	1
84	точки зрения настоящего	1	1
85	тот или иной	1	1
86	как мы видели	1	1
87	в мире не	1	1
88	дело в том	1	1
89	друг от друга	6	1
90	том что он	2	1
91	из двух или	1	1
92	не в состоянии	2	1
93	в нем не	1	1
94	и с точки	1	1
95	по крайней мере	1	1
