N	2gram	Vinokur_Vv_1	Retstnzi
1	не может	13	4
2	и в	27	3
3	в центре	4	2
4	один из	6	2
5	нет и	1	1
6	в особенности	4	1
7	и не	13	1
8	видящего в	1	1
9	тому что	2	1
10	вещей и	1	1
11	не только	21	1
12	связи с	3	1
13	и истории	2	1
14	литературного языка	1	1
15	бы на	1	1
16	точки зрения	7	1
17	во второй	3	1
18	языка как	2	1
19	так называемая	2	1
20	но и	5	1
21	и должно	1	1
22	не менее	8	1
23	поставить в	1	1
24	в системе	1	1
25	с другими	1	1
26	как искусство	2	1
27	тех же	1	1
28	русской литературы	1	1
29	изучение языка	7	1
30	теми или	1	1
31	в ней	3	1
32	может и	1	1
33	культурной истории	3	1
34	с теми	2	1
35	в то	5	1
36	метода он	1	1
37	с точки	2	1
38	истории но	1	1
39	исследования во	1	1
40	и на	3	1
41	вопрос что	2	1
42	права и	1	1
43	для него	1	1
44	мы видим	1	1
45	понятно не	2	1
46	в языке	1	1
47	сравнении с	1	1
48	на нее	2	1
49	истории русского	1	1
50	науку о	2	1
51	второй части	1	1
52	из крупнейших	1	1
53	анализа и	1	1
54	к тому	4	1
55	а не	3	1
56	его от	1	1
57	может быть	24	1
58	несмотря на	2	1
59	русского литературного	1	1
60	имен вещей	1	1
61	в его	10	1
62	или иными	1	1
63	же время	5	1
64	то же	8	1
65	и все	1	1
66	из этих	5	1
67	можно назвать	1	1
68	нуждаются в	1	1
69	язык как	3	1
70	если бы	2	1
71	в каждом	4	1
72	бы в	1	1
