N	2gram	Berdyaev_O_1	Tragedij
1	и в	19	18
2	в этом	12	9
3	и оскорбленные	1	9
4	униженные и	1	9
5	в бесах	3	9
6	не только	11	8
7	он сам	4	7
8	и с	2	7
9	и на	2	7
10	петр верховенский	1	7
11	достоевский в	1	7
12	может быть	11	7
13	как бы	3	7
14	и не	13	7
15	но в	2	6
16	и его	4	6
17	что он	3	6
18	у него	22	6
19	все же	2	5
20	что это	1	5
21	это не	3	5
22	как и	6	5
23	так и	2	5
24	не может	4	5
25	у достоевского	19	5
26	он всегда	7	4
27	еще не	3	4
28	в себе	3	4
29	что достоевский	2	4
30	в этой	5	4
31	в нем	10	4
32	презрение к	1	4
33	том что	2	4
34	достоевский не	4	4
35	и что	1	4
36	но и	13	4
37	но достоевский	1	4
38	и даже	1	4
39	прежде всего	9	4
40	но это	1	4
41	все это	6	4
42	что в	4	4
43	и все	10	4
44	то что	5	4
45	достоевского в	3	3
46	в мире	1	3
47	и он	8	3
48	как в	1	3
49	в своем	2	3
50	и как	1	3
51	все эти	4	3
52	должно быть	2	3
53	о чем	1	3
54	и сам	1	3
55	с ним	3	3
56	к нему	3	3
57	в его	7	3
58	один из	1	3
59	уже в	2	3
60	записках из	3	3
61	для него	5	3
62	никто не	3	3
63	в конце	1	3
64	как будто	1	3
65	как это	1	3
66	ставрогина и	1	3
67	ивана карамазова	7	2
68	из самых	1	2
69	и до	1	2
70	никогда не	9	2
71	и то	2	2
72	он был	8	2
73	в преступлении	4	2
74	с его	4	2
75	отношение к	5	2
76	так что	2	2
77	и я	1	2
78	романах достоевского	3	2
79	в самом	5	2
80	бы и	1	2
81	зла в	2	2
82	в записках	3	2
83	он не	7	2
84	что она	1	2
85	что все	2	2
86	его в	2	2
87	в глазах	1	2
88	в это	1	2
89	с тем	2	2
90	любви и	1	2
91	что говорит	1	2
92	вопрос о	10	2
93	одном из	1	2
94	права на	1	2
95	не в	11	2
96	этими двумя	1	2
97	одна из	1	2
98	не имеет	2	2
99	в русском	1	2
100	достоевским в	1	2
101	не могут	3	2
102	он и	1	2
103	и это	1	2
104	в ее	2	2
105	как у	1	2
106	а что	1	2
107	ничего не	2	2
108	и здесь	1	2
109	о том	3	2
110	в глаза	1	2
111	что и	2	2
112	и великий	3	2
113	бросается в	1	2
114	князь мышкин	1	2
115	в том	5	2
116	преступлении и	3	2
117	который в	1	2
118	между этими	1	2
119	и ее	3	2
120	человеческой личности	6	2
121	уже не	1	2
122	в душе	2	2
123	не так	1	2
124	в одном	1	2
125	не случайно	1	2
126	тем что	2	2
127	из мертвого	2	2
128	с иваном	1	2
129	в самую	4	2
130	говорит о	1	2
131	до конца	7	2
132	под влиянием	1	2
133	о его	5	2
134	она должна	1	2
135	в силах	1	2
136	для достоевского	5	2
137	потому что	9	2
138	личности и	2	2
139	и наказании	3	2
140	состоит из	1	2
141	в частности	1	2
142	мертвого дома	2	2
143	русской литературы	1	2
144	ту же	1	1
145	например в	1	1
146	от самой	1	1
147	человека и	10	1
148	сам по	1	1
149	самом деле	1	1
150	и женщины	1	1
151	и есть	3	1
152	от самого	2	1
153	за все	2	1
154	поэтому он	1	1
155	должна быть	1	1
156	другом разговоре	1	1
157	не вполне	1	1
158	вместо того	2	1
159	раскрывает свое	1	1
160	самой природе	1	1
161	в виду	1	1
162	в ней	1	1
163	было до	1	1
164	представляет собой	1	1
165	его ума	1	1
166	но не	1	1
167	бесах есть	1	1
168	и достоевский	1	1
169	в истории	2	1
170	в центре	1	1
171	случайно достоевский	1	1
172	своей и	1	1
173	человеческая личность	1	1
174	достоевского не	4	1
175	мысль о	2	1
176	хочет сделать	1	1
177	дается в	1	1
178	со злом	3	1
179	силе и	1	1
180	чего же	1	1
181	добро и	2	1
182	то в	1	1
183	в которой	2	1
184	он в	2	1
185	его а	1	1
186	великого сердца	1	1
187	только один	1	1
188	вы так	1	1
189	в братьях	1	1
190	жизни ее	1	1
191	человек не	7	1
192	на западе	2	1
193	между достоевским	1	1
194	чем у	1	1
195	к одному	1	1
196	что нужно	1	1
197	в россии	5	1
198	так часто	1	1
199	тут нужна	1	1
200	этом мире	2	1
201	он раскрывал	1	1
202	бога но	1	1
203	что сам	1	1
204	же не	1	1
205	да неужто	1	1
206	в другом	2	1
207	лишь в	7	1
208	это было	3	1
209	заключается в	1	1
210	которым все	1	1
211	быть не	1	1
212	а это	1	1
213	лишь на	1	1
214	в них	1	1
215	достоевский и	1	1
216	достоевского и	5	1
217	из подполья	11	1
218	всю жизнь	1	1
219	страстная жажда	1	1
220	ведет к	1	1
221	все герои	5	1
222	в гюго	1	1
223	в своей	2	1
224	эта тема	1	1
225	достоевский всегда	2	1
226	в котором	1	1
227	человеком и	1	1
228	и вот	3	1
229	страха и	1	1
230	но он	7	1
231	над ними	1	1
232	не могли	2	1
233	ставрогин говорит	1	1
234	открывается в	1	1
235	по себе	2	1
236	она не	1	1
237	на земле	4	1
238	того как	1	1
239	него была	1	1
240	чувствуется что	2	1
241	карамазова в	1	1
242	виду не	1	1
243	он еще	1	1
244	творчества достоевского	1	1
245	до самой	3	1
246	в отношениях	1	1
247	в самой	9	1
248	говорит в	1	1
249	к ней	2	1
250	показал что	1	1
251	по своей	1	1
252	перед ним	1	1
253	могут быть	3	1
254	его с	1	1
255	всего что	1	1
256	указывает на	1	1
257	не есть	2	1
258	злом в	2	1
259	это глубоко	1	1
260	с образом	1	1
261	и о	2	1
262	того чтобы	4	1
263	людей в	1	1
264	достоевского к	2	1
265	с каким	1	1
266	человека с	1	1
267	природе своей	1	1
268	умирает в	2	1
269	можно было	1	1
270	по природе	1	1
271	в борьбе	1	1
272	по сравнению	1	1
273	быть может	3	1
274	в эпоху	1	1
275	но может	1	1
276	разрушения и	1	1
277	достоевского все	4	1
278	после того	1	1
279	с того	1	1
280	это должно	1	1
281	раскольникова и	1	1
282	чтобы не	1	1
283	от него	7	1
284	все в	4	1
285	доходит до	1	1
286	это была	1	1
287	ума и	2	1
288	нуждается в	1	1
289	отметить что	1	1
290	говорит он	1	1
291	в форме	1	1
292	все время	1	1
293	боль и	1	1
294	того что	3	1
295	его собственная	1	1
296	и дело	1	1
297	с ними	1	1
298	во всем	1	1
299	приходит в	1	1
300	вот что	1	1
301	достоевский сделал	1	1
302	но от	1	1
303	одно из	2	1
304	всяком случае	1	1
305	всегда оказывается	1	1
306	его речь	1	1
307	братьях карамазовых	1	1
308	был даже	1	1
309	человек слишком	1	1
310	вопрос об	1	1
311	совершенно ином	1	1
312	что не	4	1
313	не было	9	1
314	к ставрогину	1	1
315	попал в	1	1
316	на этот	1	1
317	а не	11	1
318	его как	1	1
