N	3gram	Tiupa_Anal_3	Mirosoze
1	не может быть	1	17
2	и в этой	1	4
3	по отношению к	7	2
4	одно из самых	1	2
5	до сих пор	1	2
6	хотя бы и	1	2
7	что он не	1	2
8	не только в	1	2
9	не могут быть	1	2
10	в самом центре	1	2
11	для того чтобы	1	2
12	что иное как	1	1
13	слова это и	1	1
14	верно по отношению	1	1
15	в русской поэзии	2	1
16	в самом деле	1	1
17	искусство никогда не	1	1
18	так и не	5	1
19	и он же	1	1
20	занимает центральное место	1	1
21	в зависимости от	1	1
22	в отличие от	2	1
23	ни у кого	1	1
24	к порядку и	1	1
25	центральное место в	1	1
26	между свободой и	1	1
27	в значительной степени	2	1
28	по природе своей	1	1
29	не в том	1	1
30	во всяком случае	2	1
31	лишь в том	1	1
32	как бы в	1	1
33	между тем как	1	1
34	ставит его в	1	1
35	как бы не	1	1
36	и не должно	1	1
37	что и в	1	1
38	не мог быть	1	1
39	о том что	5	1
40	не что иное	1	1
41	во многих отношениях	1	1
42	в том что	7	1
43	он не видит	1	1
