N	4gram	Tiupa_Anal_3	Narrotol
1	в то же время	3	3
2	в той или иной	1	2
3	не что иное как	1	2
4	одного сознания к другому	1	2
5	того или иного нарративного	1	2
6	от одного сознания к	1	2
7	должен не у-влекать слушателей	1	1
8	как объекты эстетического наблюдения	1	1
9	однозначности > в нем	1	1
10	существенно связаны с языком	1	1
11	форме индивидуального речевого замысла	1	1
12	уста анекдот как бы	1	1
13	прежде всего к ценностной	1	1
14	оно живет в готовом	1	1
15	объединяет говорящих и слушающих	1	1
16	резюмируя можно сказать что	1	1
17	в качестве бытийной компетенции	1	1
18	риторический предел сказания героическая	1	1
19	синхрония жанра это парадигма	1	1
20	в диахроническом аспекте бахтин	1	1
21	в частности сказание постулирует	1	1
22	слушатель читатель может и	1	1
23	существенная зависимость анекдота не	1	1
24	обладает достоверным но не	1	1
25	сказания и одновременно резко	1	1
26	состоит в смыслополагающей конвенции	1	1
27	не будет адекватным данному	1	1
28	тип высказывания реализующий некоторую	1	1
29	тому же обратное влияние	1	1
30	в наличии у него	1	1
31	разъединяет участников коммуникативного события	1	1
32	от нудительной серьезности бахтин	1	1
33	исконном значении этого слова	1	1
34	нечто смешное но обязательно	1	1
35	параметрам предмета цели и	1	1
36	легкую безответственную передаваемость из	1	1
37	уготованной ему позиции но	1	1
38	дело в том что	2	1
39	том что по убеждению	1	1
40	в сущности застывшее целое	1	1
41	отношение слушателя к содержанию	1	1
42	претерпевшего к тому же	1	1
43	равнодостойности сознаний встречающихся в	1	1
44	здесь действующие лица по	1	1
45	такого рода первофеноменами целого	1	1
46	то есть непосредственно коммуникативными	1	1
47	самому тогда как притчу	1	1
48	всегда предносится целое нашего	1	1
49	жанра сказание моделирует ролевую	1	1
50	или анекдота но как	1	1
51	анекдота но как субъекты	1	1
52	персонажи сказания не от	1	1
53	курьезная риторика окказионального ситуативного	1	1
54	иной преемственно воспроизводимой в	1	1
55	нашего высказывания и в	1	1
56	определенные типы устного диалога	1	1
57	но в таком случае	1	1
58	сложившихся интерсубъективных компетенций определенных	1	1
59	этом остается авторитарной притча	1	1
60	оно объединяет говорящих и	1	1
61	сказание постулирует адресата занимающего	1	1
62	нарративного вкрапления с другой	1	1
63	остается авторитарной притча не	1	1
64	коммуникацию не будет адекватным	1	1
65	и риторического поведения говорящего	1	1
66	есть система исторически сложившихся	1	1
67	сказания исторически восходит к	1	1
68	монолог в чистом виде	1	1
69	компетентность восприятия со стороны	1	1
70	может и не занять	1	1
71	говорит концепты авторской позиции	1	1
72	адресата высказывания феномен жанровости	1	1
73	рамках современной научной парадигмы	1	1
74	окказионального ситуативного диалогизированного слова	1	1
75	сказания еще не такое	1	1
76	в готовом стабильно дифференцированном	1	1
77	строим свою речь нам	1	1
78	концепты героя и картины	1	1
79	жанра состоит в смыслополагающей	1	1
80	диахроническом аспекте бахтин различал	1	1
81	> в нем звучит	1	1
82	умения отрешиться от нудительной	1	1
83	не рассчитан на репродуцирование	1	1
84	воля рекоша но от	1	1
85	здесь только исполнитель передаваемого	1	1
86	но и невымышленные анекдотические	1	1
87	и картины мира креативная	1	1
88	сложившуюся систему традиционных конвенций	1	1
89	иносказательность является своего рода	1	1
90	предметно-смысловые нахождения или изобретения	1	1
91	вкрапления с другой паремия	1	1
92	высказывания феномен жанровости есть	1	1
93	сообщенному знанию как несомненно	1	1
94	и в форме определенной	1	1
95	куста последующих жанровых форм	1	1
96	нередко встречается в качестве	1	1
97	жанра высказывания жанр в	1	1
98	и языковые с еще	1	1
99	событийности сказания и одновременно	1	1
100	общенародной хвале хуле или	1	1
101	речевого замысла говорящего или	1	1
102	притчевого дискурса случается постоянно	1	1
103	перед ним определенные задания	1	1
104	авторские инвенции термин классической	1	1
105	посрамление словесное кощунство и	1	1
106	дозволенное посрамление словесное кощунство	1	1
107	здесь сводится к реализации	1	1
108	предполагает внутренне свободного игрового	1	1
109	возможности когда мы строим	1	1
110	конвенции определяющие референтную компетенцию	1	1
111	предметом целью и ситуацией	1	1
112	или а все-таки она	1	1
113	события на поучающего и	1	1
114	первофеномены жанров в частности	1	1
115	маски наконец существо рецептивной	1	1
116	известном смысле домонологично оно	1	1
117	комическая апофегма то есть	1	1
118	выбора не всегда эксплицированного	1	1
119	не претендуют на статус	1	1
120	свободного выбора в качестве	1	1
121	карнавального отношения к сообщаемому	1	1
122	анекдот не признает никакого	1	1
123	никакого миропорядка жизнь глазами	1	1
124	в коммуникацию не будет	1	1
125	то есть предметно-смысловые нахождения	1	1
126	когда мы строим свою	1	1
127	невымышленные анекдотические истории не	1	1
128	реализующий некоторую коммуникативную стратегию	1	1
129	притчи явственно солирует риторический	1	1
130	человеческих отношений анекдот не	1	1
131	приложение запечатленного в притче	1	1
132	характеристика того кому рассказывается	1	1
133	может быть осуществлено только	1	1
134	кто говорит и как	1	1
