N	2gram	Bakhtin_sl_1	Otkroven
1	у него	3	22
2	и в	41	19
3	но и	16	13
4	и не	16	13
5	в этом	12	12
6	человека в	1	11
7	не в	7	11
8	не только	16	11
9	может быть	14	11
10	а не	15	11
11	в нем	30	10
12	и все	4	10
13	в самой	1	9
14	прежде всего	8	9
15	не было	3	9
16	никогда не	3	9
17	потому что	2	9
18	он был	1	8
19	и он	1	8
20	в его	13	7
21	он не	3	7
22	лишь в	4	7
23	до конца	12	7
24	ни с	1	7
25	нет ничего	1	7
26	но он	2	7
27	от него	1	7
28	как и	4	6
29	все это	5	6
30	отношение к	7	5
31	в том	3	5
32	в самом	5	5
33	в этой	1	5
34	для него	3	5
35	а в	6	5
36	с его	4	4
37	все эти	9	4
38	что не	1	4
39	не может	14	4
40	в романах	2	4
41	того чтобы	1	4
42	и его	14	4
43	всегда есть	1	4
44	только и	1	4
45	и есть	1	3
46	в бесах	1	3
47	различие между	1	3
48	о том	3	3
49	еще не	4	3
50	к нему	5	3
51	было бы	3	3
52	того что	3	3
53	и ее	3	3
54	в себе	3	3
55	не могут	3	3
56	для того	2	3
57	это было	1	3
58	это не	6	3
59	только одно	1	3
60	могут быть	19	3
61	как бы	12	3
62	с ним	7	3
63	и от	4	3
64	в этих	2	3
65	хотя бы	3	3
66	все что	1	3
67	и с	4	2
68	те которые	1	2
69	и то	2	2
70	в ее	2	2
71	от самого	1	2
72	за все	1	2
73	так и	11	2
74	его не	1	2
75	и о	2	2
76	погружается в	1	2
77	и на	14	2
78	не все	1	2
79	что и	1	2
80	что они	2	2
81	в истории	3	2
82	как к	2	2
83	в своем	3	2
84	и нет	1	2
85	все же	7	2
86	и к	5	2
87	в этот	1	2
88	и потому	4	2
89	и этим	3	2
90	в которой	4	2
91	он в	5	2
92	так что	2	2
93	с чем	1	2
94	в душе	1	2
95	что для	1	2
96	он весь	2	2
97	так как	3	2
98	в других	3	2
99	момент в	1	2
100	в другом	2	2
101	его в	3	2
102	сказать что	2	2
103	чем в	1	2
104	личности и	1	2
105	должно быть	2	2
106	том что	2	2
107	ко всем	1	2
108	для всякого	1	2
109	к этому	2	2
110	и там	3	2
111	и для	4	2
112	ничего не	4	2
113	потребность в	1	2
114	не есть	2	2
115	в своей	7	2
116	что все	2	2
117	всего в	1	2
118	хотя и	2	2
119	но в	8	2
120	всегда в	2	1
121	смысле слова	2	1
122	и это	1	1
123	и самое	2	1
124	в обычном	1	1
125	также и	3	1
126	например в	2	1
127	чтобы не	1	1
128	и через	1	1
129	связана с	2	1
130	в виду	1	1
131	совершенно новый	1	1
132	на самом	2	1
133	с каким	1	1
134	науки о	1	1
135	свои силы	1	1
136	характер и	1	1
137	чего не	1	1
138	нет никакой	1	1
139	из самых	1	1
140	к другому	1	1
141	не те	1	1
142	и до	1	1
143	и противоречия	1	1
144	не имеют	1	1
145	можно было	2	1
146	из всех	1	1
147	не с	2	1
148	есть не	1	1
149	собой в	1	1
150	особый мир	1	1
151	и сразу	1	1
152	мы не	2	1
153	ту же	4	1
154	в первый	1	1
155	если бы	1	1
156	и делают	1	1
157	в сущности	13	1
158	находится в	1	1
159	о нем	4	1
160	в ней	4	1
161	и что	1	1
162	его жизни	1	1
163	образе в	1	1
164	и возможности	1	1
165	все его	4	1
166	там и	1	1
167	одним словом	2	1
168	но не	2	1
169	и остаются	1	1
170	в новом	1	1
171	нуждается в	1	1
172	иногда и	1	1
173	в форме	1	1
174	которой все	1	1
175	человек может	1	1
176	все время	3	1
177	быть он	1	1
178	в одной	1	1
179	как в	8	1
180	и мир	5	1
181	к раскрытию	2	1
182	что как	1	1
183	у толстого	4	1
184	в частности	2	1
185	один из	4	1
186	сознания в	1	1
187	динамика ее	1	1
188	с ними	3	1
189	ли он	4	1
190	раскрыть в	1	1
191	от этого	2	1
192	него до	1	1
193	то в	2	1
194	бы и	3	1
195	между этими	2	1
196	есть для	2	1
197	со всеми	1	1
198	в эти	1	1
199	же и	2	1
200	есть уже	1	1
201	только один	1	1
202	уже не	2	1
203	системы и	2	1
204	на то	1	1
205	а вовсе	2	1
206	бы ни	3	1
207	что она	1	1
208	и других	3	1
209	да и	1	1
210	речи и	1	1
211	из них	3	1
212	его и	3	1
213	от которого	1	1
214	единство в	1	1
215	они в	2	1
216	был бы	2	1
217	он должен	1	1
218	чем у	1	1
219	к одному	1	1
220	в одном	2	1
221	свои собственные	2	1
222	месте и	1	1
223	его речь	1	1
224	вовсе не	7	1
225	и сам	3	1
226	у нее	1	1
227	из него	2	1
228	людей и	1	1
229	этом отношении	1	1
230	от того	1	1
231	в каждом	4	1
232	ни был	1	1
233	это движение	1	1
234	же не	1	1
235	и даже	6	1
236	со стороны	1	1
237	интерес к	2	1
238	как у	1	1
239	заключается в	1	1
240	есть без	1	1
241	главное и	1	1
242	подходит к	1	1
243	и прежде	1	1
244	в свой	1	1
245	лишь на	3	1
246	развития эти	1	1
247	в жизни	1	1
248	в это	1	1
249	смерть и	1	1
250	в бытовом	1	1
251	него из	1	1
252	в них	6	1
253	этого слова	1	1
254	а с	2	1
255	был в	1	1
256	на этот	1	1
257	и самый	1	1
258	всегда и	1	1
259	заключено в	1	1
260	о чем	1	1
261	значение что	1	1
262	нисколько не	2	1
263	мира в	1	1
264	он и	1	1
265	и ему	1	1
266	места в	1	1
267	связь с	2	1
268	его как	2	1
269	и без	1	1
270	в иных	1	1
271	в котором	2	1
272	ничего нет	1	1
273	что говорит	1	1
274	этого типа	2	1
275	одном из	1	1
276	мир и	1	1
277	может пользоваться	1	1
278	образ и	1	1
279	всяком случае	5	1
280	и более	1	1
281	друг с	2	1
282	которым он	1	1
283	а потому	1	1
284	исключительный интерес	1	1
285	не внешне	1	1
286	быть не	1	1
287	и напряженной	1	1
288	и формы	4	1
289	в отношении	6	1
290	и здесь	3	1
291	но это	1	1
292	на своем	5	1
293	но у	1	1
294	а иногда	3	1
295	отличается от	1	1
296	она не	3	1
297	и по-новому	1	1
298	дело в	1	1
299	одна из	2	1
300	ближе к	1	1
301	ее с	1	1
302	в процессе	4	1
303	виду не	1	1
304	он еще	1	1
305	связанная с	1	1
306	в высшее	1	1
307	в разных	3	1
308	и способы	1	1
309	быть сопоставлены	2	1
310	и лишь	1	1
311	бы в	1	1
312	еще более	5	1
313	для его	1	1
314	по своей	1	1
315	во всем	1	1
316	вот что	1	1
317	его он	1	1
318	в сознании	2	1
319	отношении к	6	1
320	чтобы самому	1	1
321	с другом	2	1
322	мира он	1	1
323	у нас	2	1
324	и эта	2	1
325	противоречий и	1	1
326	состоит из	1	1
327	среди них	1	1
328	от всех	1	1
329	совершенно не	2	1
330	но оно	3	1
331	та же	1	1
332	в свое	3	1
333	особенно в	1	1
334	люди все	1	1
335	его с	1	1
336	жизни и	1	1
337	во всяком	7	1
338	он видит	1	1
339	он никогда	1	1
