N	2gram	Tiupa_Hudo_2	IolandNe
1	и с	6	3
2	и не	18	2
3	в этом	13	2
4	он не	4	2
5	ничего не	5	2
6	что в	5	2
7	все эти	1	1
8	то и	4	1
9	с другой	3	1
10	человеке и	1	1
11	для него	5	1
12	того чтобы	4	1
13	ученики и	1	1
14	того что	1	1
15	отношению к	7	1
16	когда его	1	1
17	и о	4	1
18	говорить о	2	1
19	автор не	1	1
20	же это	1	1
21	без этого	1	1
22	тех же	1	1
23	произведения и	1	1
24	от нее	1	1
25	для других	3	1
26	к отцу	1	1
27	это было	2	1
28	в художественном	4	1
29	следующим образом	3	1
30	так и	8	1
31	его личности	1	1
32	но когда	1	1
33	автора и	2	1
34	видит в	2	1
35	а для	2	1
36	в основе	2	1
37	а позднее	1	1
38	могло бы	1	1
39	жизни и	6	1
40	по отношению	7	1
41	было не	1	1
42	как о	3	1
43	себя в	8	1
44	и сам	5	1
45	стало быть	1	1
46	по поводу	3	1
47	у всех	3	1
48	если бы	6	1
49	не остается	1	1
50	от этого	1	1
51	а с	3	1
52	и еще	1	1
53	это был	2	1
54	личности для	1	1
55	в значительной	1	1
56	только для	2	1
57	и тот	1	1
58	бы его	1	1
59	а также	2	1
60	для того	4	1
61	есть только	1	1
62	бы в	1	1
63	нам в	1	1
64	а в	6	1
65	по существу	1	1
66	и в	28	1
67	как только	3	1
68	теперь я	1	1
69	не случайно	10	1
70	все это	3	1
71	более чем	2	1
72	со всеми	1	1
73	тем что	6	1
74	а по	2	1
75	а если	1	1
76	свою жену	1	1
77	я не	7	1
78	другой стороны	1	1
79	о ней	1	1
80	никогда не	5	1
81	в них	3	1
82	нее и	1	1
83	автор и	1	1
