N	4gram	Vinokur_St_1	Dialekti
1	в то же время	4	6
2	и т д и	2	3
3	не говоря уже о	1	3
4	одних и тех же	1	2
5	д и т д	1	2
6	не имеет ничего общего	2	2
7	и в то же	1	2
8	но в то же	2	2
9	имеет ничего общего с	2	2
10	вовсе не в том	1	2
11	т д и т	1	2
12	заключается вовсе не в	1	1
13	уже о том что	1	1
14	в каждый отдельный момент	1	1
15	по крайней мере он	1	1
16	ни в каком случае	1	1
17	и т д но	4	1
18	что с точки зрения	1	1
19	но дело в том	1	1
20	и т д в	1	1
21	дело в том что	4	1
22	и т д как	1	1
23	не говорю уже о	2	1
24	неизвестно кем и неизвестно	1	1
25	говорю уже о том	1	1
