N	3gram	Savitsky_E_1	Otkroven
1	для того чтобы	5	3
2	и в этом	4	2
3	в этом мире	1	2
4	не может быть	2	2
5	но и в	1	2
6	не могут быть	1	2
7	с тем что	1	2
8	смысле этого слова	1	1
9	и не быть	1	1
10	по сравнению с	2	1
11	хотя и не	1	1
12	чем в других	1	1
13	он сам и	1	1
14	прежде всего в	2	1
15	это потому что	1	1
16	друг к другу	1	1
17	есть не только	2	1
18	это должно быть	1	1
19	во всяком случае	3	1
20	том случае если	1	1
21	само по себе	4	1
22	в этом отношении	3	1
23	то что в	2	1
24	заключает в себе	3	1
25	в этот период	1	1
26	и прежде всего	3	1
27	в том что	6	1
28	в корне отрицает	1	1
29	но от этого	1	1
30	на то что	2	1
31	и не в	1	1
32	в том случае	1	1
33	друг с другом	3	1
34	вместо того чтобы	1	1
