N	3gram	Losev_Dial_4	VrazhdaK
1	то же время	6	4
2	в то же	6	4
3	в связи с	1	3
4	имел в виду	1	3
5	с точки зрения	9	2
6	но в то	2	2
7	в этот момент	1	2
8	не может быть	6	2
9	в том что	9	2
10	то что я	1	1
11	равно как и	2	1
12	же время и	2	1
13	в этом смысле	4	1
14	на первый план	1	1
15	и не может	1	1
16	в романе достоевского	1	1
17	знали что он	1	1
18	в той же	1	1
19	не было бы	1	1
20	но это не	1	1
21	точно так же	2	1
22	же возникает вопрос	1	1
23	по крайней мере	7	1
24	и то что	1	1
25	и в то	2	1
26	не имеет никаких	1	1
27	в это время	1	1
28	о том как	2	1
29	в свете этой	1	1
30	в конце концов	1	1
31	и в этом	3	1
32	или по крайней	3	1
33	такая же как	1	1
34	что он сам	1	1
35	с другой стороны	1	1
36	как бы в	1	1
37	связи с этим	1	1
38	тем не менее	2	1
39	сама жизнь и	1	1
40	в свою очередь	2	1
41	это и есть	4	1
42	о том что	1	1
43	не только не	1	1
44	он как бы	1	1
45	может быть иначе	1	1
46	на то что	3	1
47	имеется в виду	3	1
48	речь идет о	1	1
