N	4gram	Potebnia_M_1	Marksizm
1	в то же время	3	8
2	одного и того же	2	4
3	бы то ни было	1	4
4	с одной стороны и	1	2
5	все более и более	2	2
6	но тем не менее	3	1
7	вопрос о происхождении языка	2	1
8	уже с самого начала	2	1
9	уже о том что	1	1
10	говоря уже о том	1	1
11	дело в том что	2	1
12	тем не менее в	1	1
13	так а не иначе	1	1
14	несколько слов об отношении	1	1
15	не что иное как	2	1
16	языка с одной стороны	1	1
17	бы они ни были	2	1
18	языка не может быть	1	1
19	в более или менее	1	1
20	не говоря уже о	1	1
21	и в том что	1	1
