N	2gram	Bakhtin_Pr_1	Myslijsy
1	потому что	8	46
2	в том	8	32
3	и в	29	30
4	может быть	24	28
5	то же	14	23
6	не только	15	21
7	только в	10	21
8	но и	14	19
9	того что	1	18
10	том что	7	18
11	то что	15	18
12	не есть	2	17
13	что в	8	17
14	в себе	7	16
15	по себе	8	16
16	и не	31	15
17	не в	7	15
18	в сознании	2	15
19	а не	22	15
20	таким образом	12	14
21	что и	4	13
22	так как	6	13
23	если бы	9	12
24	а в	7	12
25	точно так	1	12
26	так и	7	11
27	что оно	2	11
28	этого слова	1	11
29	как в	6	10
30	в этом	22	10
31	как и	12	10
32	в то	10	10
33	и что	2	10
34	мы не	1	9
35	из этих	1	9
36	в нем	19	9
37	было бы	5	9
38	между тем	5	9
39	для него	18	9
40	в ней	2	8
41	в самом	10	8
42	от того	4	8
43	что не	1	8
44	что мы	1	8
45	только что	1	8
46	но не	9	7
47	тем что	4	7
48	как мы	4	7
49	так что	2	7
50	вовсе не	7	7
51	с другой	3	7
52	к тому	1	7
53	например в	3	6
54	то это	1	6
55	же что	5	6
56	с этим	2	6
57	между собою	1	6
58	с ним	5	6
59	не имеет	1	6
60	те же	2	6
61	что он	8	6
62	уже не	13	6
63	то и	2	6
64	из них	1	6
65	а потому	2	6
66	зависит от	1	6
67	и слово	3	6
68	не может	12	6
69	имеет значение	2	6
70	но это	4	6
71	если б	2	5
72	художественного произведения	1	5
73	и т	4	5
74	еще не	5	5
75	по отношению	8	5
76	независимо от	1	5
77	в своем	8	5
78	и как	7	5
79	не следует	1	5
80	к одному	1	5
81	одно и	1	5
82	с другими	7	5
83	в них	3	5
84	что я	1	5
85	по крайней	1	5
86	же время	9	5
87	слове и	1	5
88	как на	3	5
89	в каком	1	5
90	не могут	6	5
91	сравнительно с	1	5
92	крайней мере	1	5
93	словом и	1	5
94	уже в	3	5
95	одно из	2	5
96	слово как	1	5
97	тому как	3	5
98	отношению к	8	5
99	должно быть	4	5
100	слова и	1	5
101	сказать что	3	5
102	только как	2	5
103	в действительности	1	5
104	тем же	1	4
105	или же	2	4
106	в каждой	1	4
107	не все	1	4
108	относится к	1	4
109	что именно	1	4
110	не было	4	4
111	что это	1	4
112	он не	5	4
113	перестает быть	4	4
114	и по	1	4
115	мы видели	1	4
116	в один	2	4
117	себе не	1	4
118	в котором	2	4
119	себе а	1	4
120	есть нечто	1	4
121	того как	1	4
122	это слово	1	4
123	и его	14	4
124	для того	1	4
125	оно не	3	4
126	и это	5	4
127	то время	1	4
128	в его	24	4
129	один из	2	4
130	что даже	1	4
131	а и	1	4
132	все равно	1	4
133	далеко не	3	4
134	себя и	2	4
135	что для	1	4
136	быть только	1	4
137	для сознания	1	4
138	если не	1	4
139	и потому	6	4
140	для понимания	2	4
141	все это	6	4
142	в смысле	2	4
143	и от	2	4
144	мы должны	3	4
145	слово в	2	4
146	другой стороны	3	4
147	была бы	3	4
148	все что	3	4
149	и есть	2	3
150	в первом	1	3
151	оно есть	1	3
152	бы ни	1	3
153	и на	7	3
154	а только	1	3
155	не то	1	3
156	ответ на	1	3
157	более или	1	3
158	в целом	6	3
159	что она	6	3
160	при этом	2	3
161	т д	1	3
162	мысли как	1	3
163	или вовсе	1	3
164	образа и	1	3
165	в каждом	8	3
166	не будет	1	3
167	что все	1	3
168	его в	6	3
169	художественном произведении	1	3
170	или менее	1	3
171	как бы	19	3
172	место в	1	3
173	образом и	1	3
174	тому что	3	3
175	на него	3	3
176	образом в	1	3
177	того чтобы	1	3
178	заметить что	2	3
179	могут быть	6	3
180	для себя	2	3
181	свою очередь	1	3
182	него самого	2	3
183	в произведении	4	3
184	здесь как	1	3
185	слово и	1	3
186	со стороны	1	3
187	жизни не	2	3
188	искусства и	1	3
189	никак не	2	3
190	можно сказать	1	3
191	к другой	1	3
192	это было	1	3
193	к нему	6	3
194	и следовательно	4	3
195	на которой	1	3
196	мысли не	1	3
197	же и	2	3
198	в начале	1	3
199	за ним	3	3
200	к содержанию	1	3
201	прежде всего	7	3
202	друг друга	3	3
203	само по	3	3
204	до сих	2	3
205	именно в	5	3
206	от другого	1	3
207	там где	10	3
208	в одно	1	3
209	так же	6	3
210	в человеке	3	3
211	сих пор	2	3
212	и оно	1	3
213	не существует	1	3
214	к одной	1	3
215	и все	1	3
216	в свою	1	3
217	не знает	3	3
218	значение не	1	3
219	в которой	2	3
220	в искусстве	1	3
221	как слово	3	3
222	то оно	2	3
223	к этому	1	3
224	в таком	1	3
225	же нам	1	2
226	самом деле	6	2
227	это и	5	2
228	нам кажется	2	2
229	и до	3	2
230	входящих в	1	2
231	в их	3	2
232	мы уже	2	2
233	той же	5	2
234	впрочем и	1	2
235	не столько	1	2
236	все в	3	2
237	на свою	1	2
238	мы ее	2	2
239	предметом и	1	2
240	оно ни	2	2
241	то он	2	2
242	явлений и	1	2
243	о слове	2	2
244	к слову	1	2
245	остаются в	1	2
246	тогда как	1	2
247	отношение к	2	2
248	это сравнение	1	2
249	за пределы	7	2
250	что они	1	2
251	сама по	1	2
252	все же	9	2
253	далее и	1	2
254	и внутреннюю	1	2
255	и каждое	1	2
256	его к	2	2
257	со своей	1	2
258	сливается с	6	2
259	та же	1	2
260	господствует над	1	2
261	в этой	4	2
262	иначе и	1	2
263	так сказать	4	2
264	и если	1	2
