N	3gram	Medvedev_F_3	PoTuStor
1	с точки зрения	14	6
2	на самом деле	12	4
3	с самого начала	1	4
4	в этом смысле	2	3
5	до сих пор	1	3
6	мы полагаем что	1	3
7	во всяком случае	6	3
8	не может быть	14	3
9	и пр и	1	3
10	можно сказать что	1	3
11	в большинстве случаев	4	3
12	и пр при	1	2
13	нам кажется что	2	2
14	друг на друга	1	2
15	в нем нет	1	2
16	так же как	1	2
17	в самом деле	4	2
18	нет никаких оснований	1	2
19	в его целом	1	2
20	все то что	1	2
21	о том что	1	2
22	мы можем сказать	1	2
23	но отнюдь не	1	2
24	пр и пр	1	2
25	не нуждается в	1	2
26	форму и содержание	1	1
27	сводится к следующему	1	1
28	и того же	1	1
29	одних и тех	1	1
30	уже знаем что	2	1
31	в субъективной психике	1	1
32	форма и содержание	1	1
33	и столь же	1	1
34	а иногда и	1	1
35	всех без исключения	1	1
36	не следует что	2	1
37	дело в том	2	1
38	мы имеем в	1	1
39	во всех областях	2	1
40	в нем и	2	1
41	имеем в виду	1	1
42	художественного творчества и	1	1
43	подобно тому как	4	1
44	одного и того	1	1
45	то же самое	3	1
46	всех областях идеологического	2	1
47	общем можно сказать	1	1
48	на первый план	1	1
49	он не был	1	1
50	между собою в	1	1
51	ни в коем	1	1
52	в основе их	1	1
53	бы то ни	4	1
54	как и с	1	1
55	в этом отношении	3	1
56	так во всех	1	1
57	вовсе не их	1	1
58	можно было бы	1	1
59	а то и	1	1
60	мы отвлечемся от	2	1
61	но в основном	1	1
62	и не нуждается	2	1
63	со всех сторон	1	1
64	может быть только	2	1
65	как со стороны	2	1
66	с этой точки	1	1
67	вместе с тем	3	1
68	что его должно	1	1
69	с ее объектом	1	1
70	и тех же	1	1
71	в коем случае	1	1
72	всех других областей	1	1
73	так как он	1	1
74	вытекает из предшествующего	1	1
75	поэтому и не	1	1
76	в данном случае	4	1
77	то ни было	4	1
78	с одной стороны	1	1
79	в высшей степени	2	1
80	областях идеологического творчества	2	1
81	в связи с	4	1
82	каких бы то	1	1
83	так и с	1	1
84	если мы отвлечемся	2	1
85	и пр как	1	1
86	один из моментов	1	1
87	бы оно ни	1	1
88	же самое и	1	1
89	в том что	3	1
90	жизни таким образом	1	1
91	этой точки зрения	1	1
92	оно ни было	1	1
93	а вместе с	1	1
94	и пр в	1	1
95	мы не можем	2	1
96	так и в	2	1
97	нем нет и	1	1
98	на такой почве	1	1
99	вступать между собою	1	1
100	и быть не	1	1
101	а часто и	1	1
102	друг с другом	1	1
103	если отвлечься от	1	1
104	мы уже знаем	2	1
105	для того чтобы	4	1
106	случае не может	1	1
107	что между ними	1	1
108	можем сказать что	1	1
109	мы увидим что	2	1
110	как мы знаем	4	1
111	той или иной	1	1
112	мы еще не	1	1
113	для всех других	1	1
