N	3gram	Savitsky_P_1	StatiiOP
1	в том что	4	16
2	и т д	1	6
3	вместе с тем	1	5
4	для того чтобы	1	5
5	так же как	1	3
6	с другой стороны	1	3
7	во всяком случае	1	3
8	том что в	1	2
9	с точки зрения	3	2
10	сами по себе	3	2
11	в отличие от	1	2
12	нет сомнения что	1	2
13	и в этом	1	2
14	не в том	1	2
15	более или менее	1	2
16	за то что	1	2
17	к о в	1	1
18	что в этом	1	1
19	том что русская	1	1
20	в настоящее время	1	1
21	в этом смысле	1	1
22	между тем в	1	1
23	и именно в	1	1
24	и пр в	1	1
25	в известном смысле	1	1
26	по сравнению с	1	1
27	с с и	1	1
28	то же время	7	1
29	но также и	1	1
30	заключается в том	2	1
31	к л а	2	1
32	в каком смысле	1	1
33	в то же	7	1
34	можно судить по	1	1
35	в том числе	2	1
36	в отношении к	5	1
